url=https://reincarnated-loadout.vercel.app/playtest/cliffside/?touch=1
booted=true boot_ms=7157
kit0 canvas=1688x780 region=200,60,900,460
live_kit0_raf_00.png +0ms
live_kit0_raf_01.png +17ms
live_kit0_raf_02.png +67ms
live_kit0_raf_03.png +117ms
live_kit0_raf_04.png +167ms
live_kit0_raf_05.png +217ms
live_kit0_raf_06.png +267ms
live_kit0_raf_07.png +317ms
live_kit0_raf_08.png +367ms
live_kit0_raf_09.png +417ms
live_kit0_raf_10.png +467ms
live_kit0_raf_11.png +517ms
live_kit0_raf_12.png +567ms
live_kit0_raf_13.png +617ms
live_kit0_raf_14.png +667ms
live_kit0_raf_15.png +717ms
live_kit0_raf_16.png +750ms
live_kit0_raf_17.png +800ms
live_kit0_raf_18.png +850ms
live_kit0_raf_19.png +900ms
live_kit0_raf_20.png +950ms
live_kit0_raf_21.png +1000ms
live_kit0_raf_22.png +1050ms
live_kit0_raf_23.png +1100ms
live_kit0_raf_24.png +1150ms
live_kit0_raf_25.png +1200ms
live_kit0_raf_26.png +1267ms
live_kit0_raf_27.png +1317ms
live_kit0_raf_28.png +1367ms
live_kit0_raf_29.png +1417ms
live_kit0_raf_30.png +1467ms
kit1 canvas=1688x780 region=200,60,900,460
live_kit1_raf_00.png +0ms
live_kit1_raf_01.png +33ms
live_kit1_raf_02.png +83ms
live_kit1_raf_03.png +133ms
live_kit1_raf_04.png +183ms
live_kit1_raf_05.png +233ms
live_kit1_raf_06.png +267ms
live_kit1_raf_07.png +317ms
live_kit1_raf_08.png +367ms
live_kit1_raf_09.png +417ms
live_kit1_raf_10.png +467ms
live_kit1_raf_11.png +517ms
live_kit1_raf_12.png +567ms
live_kit1_raf_13.png +617ms
live_kit1_raf_14.png +667ms
live_kit1_raf_15.png +717ms
live_kit1_raf_16.png +767ms
live_kit1_raf_17.png +817ms
live_kit1_raf_18.png +850ms
live_kit1_raf_19.png +900ms
live_kit1_raf_20.png +950ms
live_kit1_raf_21.png +1000ms
live_kit1_raf_22.png +1050ms
live_kit1_raf_23.png +1100ms
live_kit1_raf_24.png +1150ms
live_kit1_raf_25.png +1200ms
live_kit1_raf_26.png +1250ms
live_kit1_raf_27.png +1283ms
live_kit1_raf_28.png +1333ms
live_kit1_raf_29.png +1383ms
live_kit1_raf_30.png +1433ms
live_kit1_raf_31.png +1483ms
kit2 canvas=1688x780 region=200,60,900,460
live_kit2_raf_00.png +0ms
live_kit2_raf_01.png +33ms
live_kit2_raf_02.png +83ms
live_kit2_raf_03.png +133ms
live_kit2_raf_04.png +183ms
live_kit2_raf_05.png +217ms
live_kit2_raf_06.png +267ms
live_kit2_raf_07.png +317ms
live_kit2_raf_08.png +367ms
live_kit2_raf_09.png +417ms
live_kit2_raf_10.png +467ms
live_kit2_raf_11.png +517ms
live_kit2_raf_12.png +567ms
live_kit2_raf_13.png +617ms
live_kit2_raf_14.png +667ms
live_kit2_raf_15.png +717ms
live_kit2_raf_16.png +767ms
live_kit2_raf_17.png +817ms
live_kit2_raf_18.png +850ms
live_kit2_raf_19.png +900ms
live_kit2_raf_20.png +950ms
live_kit2_raf_21.png +1000ms
live_kit2_raf_22.png +1050ms
live_kit2_raf_23.png +1100ms
live_kit2_raf_24.png +1150ms
live_kit2_raf_25.png +1200ms
live_kit2_raf_26.png +1250ms
live_kit2_raf_27.png +1300ms
live_kit2_raf_28.png +1350ms
live_kit2_raf_29.png +1400ms
live_kit2_raf_30.png +1450ms
live_kit2_raf_31.png +1500ms
kit3 canvas=1688x780 region=200,60,900,460
live_kit3_raf_00.png +0ms
live_kit3_raf_01.png +33ms
live_kit3_raf_02.png +83ms
live_kit3_raf_03.png +133ms
live_kit3_raf_04.png +167ms
live_kit3_raf_05.png +217ms
live_kit3_raf_06.png +267ms
live_kit3_raf_07.png +317ms
live_kit3_raf_08.png +367ms
live_kit3_raf_09.png +417ms
live_kit3_raf_10.png +467ms
live_kit3_raf_11.png +517ms
live_kit3_raf_12.png +567ms
live_kit3_raf_13.png +617ms
live_kit3_raf_14.png +667ms
live_kit3_raf_15.png +717ms
live_kit3_raf_16.png +767ms
live_kit3_raf_17.png +817ms
live_kit3_raf_18.png +867ms
live_kit3_raf_19.png +917ms
live_kit3_raf_20.png +967ms
live_kit3_raf_21.png +1017ms
live_kit3_raf_22.png +1050ms
live_kit3_raf_23.png +1100ms
live_kit3_raf_24.png +1150ms
live_kit3_raf_25.png +1200ms
live_kit3_raf_26.png +1250ms
live_kit3_raf_27.png +1300ms
live_kit3_raf_28.png +1350ms
live_kit3_raf_29.png +1400ms
live_kit3_raf_30.png +1450ms
live_kit3_raf_31.png +1500ms
kit4 canvas=1688x780 region=200,60,900,460
live_kit4_raf_00.png +0ms
live_kit4_raf_01.png +33ms
live_kit4_raf_02.png +83ms
live_kit4_raf_03.png +133ms
live_kit4_raf_04.png +183ms
live_kit4_raf_05.png +217ms
live_kit4_raf_06.png +267ms
live_kit4_raf_07.png +317ms
live_kit4_raf_08.png +367ms
live_kit4_raf_09.png +417ms
live_kit4_raf_10.png +467ms
live_kit4_raf_11.png +517ms
live_kit4_raf_12.png +567ms
