id,canonical_name,source_library,cultural_lineage_canonical,historical_period_canonical,cultural_lineage_confidence,named_mythological_match
11,"shield of Achilles",wikidata,european,classical,1.0,"Achilles (greek, tier_1)"
46,"Shield Depicting Saint George Slaying the Dragon",wikidata,unknown,industrial,0.3,"Saint George (european_medieval, tier_2)"
77,Q88199410,wikidata,unknown,classical,0.3,"Raymond of Toulouse (european_medieval, tier_2)"
107,"Mace-AO 2152",wikidata,middle_eastern,pre_classical,0.9,"Ninurta (mesopotamian, tier_1)"
131,Indraastra,wikidata,south_asian,pre_classical,0.9,"Indra (vedic_hindu, tier_1)"
134,Anjalikastra,wikidata,south_asian,pre_classical,0.9,"Indra (vedic_hindu, tier_1)"
209,Failnaught,wikidata,european,medieval,0.9,"Tristan (european_medieval, tier_1)"
366,Vijaya,wikidata,south_asian,pre_classical,0.9,"Indra (vedic_hindu, tier_1)"
379,"Mjölnir",wikidata,european,medieval,1.0,"Thor (norse, tier_1)"
385,vajra,wikidata,south_asian,pre_classical,0.9,"Indra (vedic_hindu, tier_1)"
387,Gungnir,wikidata,european,medieval,1.0,"Odin (norse, tier_1)"
388,"Ruyi Jingu Bang",wikidata,east_asian,pre_classical,1.0,"Sun Wukong (east_asian, tier_1)"
482,Gandiva,wikidata,south_asian,pre_classical,1.0,"Arjuna (vedic_hindu, tier_1)"
497,Carnwennan,wikidata,european,medieval,0.9,"Arthur (european_medieval, tier_1)"
532,"Hammer of Thor",wikidata,unknown,modern,0.3,"Thor (norse, tier_1)"
603,"Dark Elf Particle Rifle",wikidata,unknown,unknown,0.3,"Thor (norse, tier_1)"
606,"Asgardian Cannon",wikidata,unknown,unknown,0.3,"Thor (norse, tier_1)"
634,mace,wikidata,middle_eastern,pre_classical,0.9,"Shulgi (mesopotamian, tier_2)"
660,"trident of Poseidon",wikidata,european,classical,0.9,"Poseidon (greek, tier_1)"
924,"Green Dragon Crescent Blade",wikidata,east_asian,classical,0.9,"Guan Yu (east_asian, tier_2)"
1006,"Musée Saint-Raymond, D 78 6 6",wikidata,unknown,classical,0.3,"Raymond of Toulouse (european_medieval, tier_2)"
1530,"Musée Saint-Raymond, Niel 2463 n°6",wikidata,unknown,unknown,0.3,"Raymond of Toulouse (european_medieval, tier_2)"
1647,"Hyūga Masamune",wikidata,east_asian,early_modern,1.0,"Masamune (east_asian, tier_2)"
1648,"Kenshin Kagemitsu",wikidata,east_asian,medieval,1.0,"Uesugi Kenshin (east_asian, tier_2)"
1676,"Tutankhamun's meteoric iron dagger blade",wikidata,middle_eastern,pre_classical,0.9,"Tutankhamun (egyptian, tier_2)"
1728,"Hōchō Masamune",wikidata,east_asian,early_modern,1.0,"Masamune (east_asian, tier_2)"
1729,"Terasawa Sadamune",wikidata,east_asian,early_modern,1.0,"Sadamune (east_asian, tier_2)"
1730,"Tokuzen-in Sadamune",wikidata,east_asian,early_modern,1.0,"Sadamune (east_asian, tier_2)"
1734,"Hōchō Masamune",wikidata,east_asian,early_modern,1.0,"Masamune (east_asian, tier_2)"
1736,"Hōchō Masamune",wikidata,east_asian,early_modern,1.0,"Masamune (east_asian, tier_2)"
1737,"Fushimi Sadamune",wikidata,east_asian,early_modern,1.0,"Sadamune (east_asian, tier_2)"
1738,"Kuki Masamune",wikidata,east_asian,early_modern,1.0,"Masamune (east_asian, tier_2)"
2463,Tizona,wikidata,european,medieval,1.0,"El Cid (european_medieval, tier_2)"
2467,Joyeuse,wikidata,european,medieval,1.0,"Charlemagne (european_medieval, tier_2)"
2477,Colada,wikidata,european,medieval,1.0,"El Cid (european_medieval, tier_2)"
3112,Mjolnir,wikidata,european,modern,1.0,"Thor (norse, tier_1)"
3149,"Ishida Masamune",wikidata,east_asian,early_modern,0.9,"Masamune (east_asian, tier_2)"
3164,"Wakisashi by Norimitsu",wikidata,east_asian,early_modern,0.9,"Norimitsu (east_asian, tier_2)"
3224,"Hakusan Yoshimitsu",wikidata,east_asian,early_modern,1.0,"Yoshimitsu (east_asian, tier_2)"
4254,"Tsugaru Masamune",wikidata,east_asian,early_modern,1.0,"Masamune (east_asian, tier_2)"
4255,"Nakatsukasa Masamune",wikidata,east_asian,early_modern,1.0,"Masamune (east_asian, tier_2)"
4256,"Kanze Masamune",wikidata,east_asian,early_modern,1.0,"Masamune (east_asian, tier_2)"
4257,"Tarosaku Masamune",wikidata,east_asian,early_modern,1.0,"Masamune (east_asian, tier_2)"
4288,"Nagasone Kotetsu",wikidata,east_asian,early_modern,0.9,"Kotetsu (east_asian, tier_2)"
