id,canonical_name,source_library,cultural_lineage_canonical,historical_period_canonical,named_mythological_match,cultural_lineage_tags
11,"shield of Achilles",wikidata,european,unknown,"Achilles (greek, tier_1)",
176575,Agni-II,wikipedia,east_asian,unknown,"Agni (vedic_hindu, tier_1)","[""Ballistic missiles of India"", ""Medium-range ballistic missiles"", ""Military equipment introduced in the 2000s""]"
181810,Agni-IV,wikipedia,east_asian,unknown,"Agni (vedic_hindu, tier_1)","[""Ballistic missiles of India"", ""Intermediate-range ballistic missiles"", ""Military equipment introduced in the 2010s""]"
187688,Agni-V,wikipedia,east_asian,unknown,"Agni (vedic_hindu, tier_1)","[""2012 in India"", ""Ballistic missiles of India"", ""Intermediate-range ballistic missiles"", ""Intercontinental ballistic missiles"", ""Military equipment introduced in the 2010s"", ""Surface-to-surface missiles of India"", ""MIRV capable missiles""]"
189522,Agni-VI,wikipedia,south_asian,unknown,"Agni (vedic_hindu, tier_1)","[""Ballistic missiles of India"", ""Intermediate-range ballistic missiles"", ""Intercontinental ballistic missiles"", ""MIRV capable missiles""]"
192956,Agni-P,wikipedia,east_asian,unknown,"Agni (vedic_hindu, tier_1)","[""Ballistic missiles of India"", ""Intermediate-range ballistic missiles"", ""Nuclear missiles of India""]"
174029,Kukri,wikipedia,south_asian,unknown,"Alexander the Great (greek, tier_2)","[""Nepal"", ""Edged and bladed weapons"", ""Culture of Nepal"", ""Gurkhas"", ""Military knives"", ""Machetes"", ""National symbols of Nepal""]"
175087,"Operation Aphrodite",wikipedia,east_asian,unknown,"Aphrodite (greek, tier_1)","[""World War II weapons of the United States"", ""World War II strategic bombing conducted by the United States"", ""1944 in aviation"", ""Guided missiles of the United States"", ""Boeing B-17 Flying Fortress""]"
482,Gandiva,wikidata,south_asian,unknown,"Arjuna (vedic_hindu, tier_1)","[""Weapons in Hindu mythology"", ""Bows (archery)""]"
497,Carnwennan,wikidata,european,unknown,"Arthur (european_medieval, tier_1)","[""Medieval European swords"", ""Mythological weapons""]"
5108,Excalibur,wikidata,european,unknown,"Arthur (european_medieval, tier_1)","[""Fictional swords"", ""Medieval European swords"", ""Mythological swords""]"
176135,"M982 Excalibur",wikipedia,european,unknown,"Arthur (european_medieval, tier_1)","[""155 mm artillery shells"", ""Cannon-launched guided projectiles"", ""Military equipment introduced in the 2000s"", ""Artillery of the United States""]"
204133,Painting,royal_armouries,unknown,unknown,"Augustus (greek, tier_2)","[""place:Britain""]"
219614,Partizan,royal_armouries,unknown,unknown,"Augustus (greek, tier_2)","[""place:Poland""]"
180679,Mistilteinn,wikipedia,european,unknown,"Baldr (norse, tier_1)","[""Baldr"", ""Medieval European swords"", ""Mythological Norse weapons"", ""Mythological swords"", ""Viking swords""]"
5131,Hrunting,wikidata,european,unknown,"Beowulf (norse, tier_1)","[""Medieval European swords"", ""Mythological swords""]"
5135,"Nægling",wikidata,unknown,unknown,"Beowulf (norse, tier_1)",
176855,"Nægling",wikipedia,european,unknown,"Beowulf (norse, tier_1)","[""Medieval European swords"", ""Mythological swords"", ""Beowulf""]"
