1|PROVISIONAL: cross_cultural contemporary staff/axe weapons (military_modern register; category; N=46)
2|PROVISIONAL: cross_cultural contemporary pistol/knife weapons (military_modern register; category; N=105)
3|PROVISIONAL: fantasy_generic fictional axe/greataxe weapons (fantasy register; named_template; N=214)
4|PROVISIONAL: european contemporary pistol/knife weapons (historical register; category; N=91)
5|PROVISIONAL: fantasy_generic fictional club/hammer weapons (fantasy register; category; N=31)
6|PROVISIONAL: fantasy_generic fictional dagger/wand weapons (fantasy register; category; N=77)
7|PROVISIONAL: fantasy_generic fictional wand/axe weapons (fantasy register; named_template; N=149)
8|PROVISIONAL: fantasy_generic fictional pike/sword weapons (fantasy register; named_template; N=59)
9|PROVISIONAL: fantasy_generic fictional axe/spear weapons (fantasy register; named_template; N=249)
10|PROVISIONAL: fantasy_generic classical dagger/wand weapons (fantasy register; named_template; N=155)
11|PROVISIONAL: fantasy_generic fictional javelin weapons (fantasy register; named_template; N=80)
12|PROVISIONAL: fantasy_generic fictional sword/greatsword weapons (fantasy register; category; N=76)
13|PROVISIONAL: fantasy_generic fictional dagger/sword weapons (fantasy register; named_template; N=266)
14|PROVISIONAL: fantasy_generic classical wand weapons (fantasy register; named_template; N=72)
15|PROVISIONAL: fantasy_generic fictional pistol/lance weapons (fantasy register; named_template; N=83)
16|PROVISIONAL: fantasy_generic fictional knife weapons (fantasy register; named_template; N=135)
17|PROVISIONAL: fantasy_generic fictional sword/shortsword weapons (fantasy register; named_template; N=224)
18|PROVISIONAL: fantasy_generic fictional sword/greatsword weapons (fantasy register; named_template; N=317)
19|PROVISIONAL: fantasy_generic fictional sword/longsword weapons (fantasy register; named_template; N=239)
20|PROVISIONAL: east_asian early_modern sword/dagger weapons (historical register; category; N=68)
21|PROVISIONAL: european industrial sword/axe weapons (historical register; category; N=66)
22|PROVISIONAL: cross_cultural contemporary sword/bow weapons (military_modern register; category; N=123)
23|PROVISIONAL: east_asian contemporary rifle/lance weapons (military_modern register; category; N=1256)
24|PROVISIONAL: arctic_circumpolar contemporary lance/rifle weapons (military_modern register; category; N=34)
25|PROVISIONAL: fantasy_generic classical pike/bow weapons (fantasy register; category; N=361)
26|PROVISIONAL: fantasy_generic fictional sword/greatsword weapons (fantasy register; named_template; N=410)
27|PROVISIONAL: fantasy_generic classical staff weapons (fantasy register; named_template; N=244)
28|PROVISIONAL: fantasy_generic fictional spear/mace weapons (fantasy register; category; N=1301)
29|PROVISIONAL: fantasy_generic fictional staff/spear weapons (fantasy register; named_template; N=437)
30|PROVISIONAL: fantasy_generic classical bow/crossbow weapons (fantasy register; named_template; N=76)
31|PROVISIONAL: south_asian contemporary pistol/sword weapons (military_modern register; category; N=77)
32|PROVISIONAL: southeast_asian contemporary rifle weapons (military_modern register; category; N=194)
33|PROVISIONAL: cross_cultural contemporary rifle/shotgun weapons (military_modern register; category; N=121)
34|PROVISIONAL: fantasy_generic fictional sword/greatsword weapons (fantasy register; category; N=54)
35|PROVISIONAL: fantasy_generic fictional bow/club weapons (fantasy register; named_template; N=468)
36|PROVISIONAL: fantasy_generic fictional halberd weapons (fantasy register; named_template; N=152)
37|PROVISIONAL: fantasy_generic fictional glaive weapons (fantasy register; named_template; N=115)
38|PROVISIONAL: fantasy_generic fictional staff/axe weapons (fantasy register; category; N=133)
39|PROVISIONAL: fantasy_generic fictional hammer/pike weapons (fantasy register; named_template; N=349)
40|PROVISIONAL: fantasy_generic fictional pike/lance weapons (fantasy register; named_template; N=143)
41|PROVISIONAL: fantasy_generic fictional scimitar/axe weapons (fantasy register; named_template; N=237)
42|PROVISIONAL: fantasy_generic fictional bow/crossbow weapons (fantasy register; named_template; N=342)
43|PROVISIONAL: fantasy_generic fictional axe/flail weapons (fantasy register; named_template; N=434)
44|PROVISIONAL: fantasy_generic fictional lance/shotgun weapons (fantasy register; named_template; N=114)
45|PROVISIONAL: african contemporary pike/rifle weapons (military_modern register; category; N=72)
46|PROVISIONAL: fantasy_generic fictional flail weapons (fantasy register; named_template; N=110)
47|PROVISIONAL: fantasy_generic fictional rapier/axe weapons (fantasy register; named_template; N=223)
48|PROVISIONAL: european fictional scimitar/bow weapons (fantasy register; named_template; N=107)
49|PROVISIONAL: fantasy_generic classical rifle/shotgun weapons (fantasy register; named_template; N=68)
50|PROVISIONAL: fantasy_generic fictional rifle/axe weapons (fantasy register; named_template; N=68)
51|PROVISIONAL: european contemporary bow weapons (military_modern register; category; N=1907)
52|PROVISIONAL: fantasy_generic classical mace/club weapons (fantasy register; named_template; N=75)
53|PROVISIONAL: fantasy_generic classical spear/musket weapons (fantasy register; named_template; N=1819)
54|PROVISIONAL: fantasy_generic fictional bow/hammer weapons (fantasy register; category; N=161)
55|PROVISIONAL: fantasy_generic fictional axe/rapier weapons (fantasy register; category; N=85)
56|PROVISIONAL: fantasy_generic classical sword/bow weapons (fantasy register; named_template; N=65)
57|PROVISIONAL: fantasy_generic classical axe/rapier weapons (fantasy register; named_template; N=117)
58|PROVISIONAL: fantasy_generic fictional mace/staff weapons (fantasy register; named_template; N=160)
59|PROVISIONAL: east_asian industrial pistol/knife weapons (historical register; category; N=76)
60|PROVISIONAL: fantasy_generic classical hammer/pike weapons (fantasy register; named_template; N=129)
61|PROVISIONAL: fantasy_generic classical bow/glaive weapons (fantasy register; named_template; N=127)
62|PROVISIONAL: fantasy_generic fictional spear/scimitar weapons (fantasy register; named_template; N=272)
63|PROVISIONAL: fantasy_generic fictional axe/greataxe weapons (fantasy register; named_template; N=4807)
64|PROVISIONAL: european industrial sword/mace weapons (historical register; category; N=187)
65|PROVISIONAL: fantasy_generic fictional musket/bow weapons (fantasy register; named_template; N=59)
66|PROVISIONAL: fantasy_generic fictional club weapons (fantasy register; named_template; N=232)
67|PROVISIONAL: unknown unknown pistol/sword weapons (historical register; category; N=103)
68|PROVISIONAL: european modern sword/dagger weapons (historical register; category; N=238)
69|PROVISIONAL: cross_cultural contemporary shotgun/rifle weapons (military_modern register; category; N=502)
70|PROVISIONAL: european contemporary rifle/musket weapons (military_modern register; category; N=77)
71|PROVISIONAL: european contemporary lance/spear weapons (military_modern register; category; N=77)
72|PROVISIONAL: middle_eastern contemporary club/spear weapons (military_modern register; category; N=423)
73|PROVISIONAL: european industrial pistol/dagger weapons (historical register; category; N=327)
74|PROVISIONAL: european early_modern pistol/knife weapons (historical register; category; N=315)
75|PROVISIONAL: southeast_asian early_modern dagger/knife weapons (historical register; category; N=115)
76|PROVISIONAL: south_asian early_modern dagger/knife weapons (historical register; category; N=76)
77|PROVISIONAL: european early_modern sword/rapier weapons (historical register; category; N=183)
78|PROVISIONAL: unknown unknown pistol/knife weapons (historical register; category; N=65)
79|PROVISIONAL: european early_modern pistol/knife weapons (historical register; category; N=311)
80|PROVISIONAL: european modern pistol/dagger weapons (historical register; category; N=116)
81|PROVISIONAL: southeast_asian early_modern knife/dagger weapons (historical register; category; N=192)
82|PROVISIONAL: east_asian contemporary rifle/shotgun weapons (historical register; category; N=250)
83|PROVISIONAL: southeast_asian contemporary rifle weapons (historical register; category; N=104)
84|PROVISIONAL: south_asian contemporary sword/rapier weapons (historical register; category; N=33)
85|PROVISIONAL: european contemporary spear/hammer weapons (historical register; category; N=734)
86|PROVISIONAL: african contemporary musket/lance weapons (historical register; category; N=44)
87|PROVISIONAL: south_american_indigenous contemporary shotgun/rifle weapons (historical register; category; N=36)
88|PROVISIONAL: unknown contemporary shotgun/rifle weapons (historical register; category; N=190)
89|PROVISIONAL: european contemporary rifle weapons (historical register; category; N=63)
90|PROVISIONAL: middle_eastern contemporary spear/mace weapons (historical register; category; N=211)
91|PROVISIONAL: east_asian unknown rifle/spear weapons (historical register; category; N=10087)
92|PROVISIONAL: south_asian early_modern sword/spear weapons (historical register; category; N=161)
93|PROVISIONAL: unknown early_modern lance/shotgun weapons (historical register; category; N=92)
94|PROVISIONAL: east_asian early_modern musket/sword weapons (historical register; category; N=380)
95|PROVISIONAL: european early_modern rifle/sabre weapons (historical register; category; N=164)
96|PROVISIONAL: european early_modern spear/rifle weapons (historical register; category; N=1305)
97|PROVISIONAL: european early_modern bow/crossbow weapons (historical register; category; N=187)
98|PROVISIONAL: east_asian classical sword/bow weapons (historical register; category; N=218)
99|PROVISIONAL: south_asian industrial spear/musket weapons (historical register; category; N=107)
100|PROVISIONAL: european early_modern musket/sabre weapons (historical register; category; N=82)
101|PROVISIONAL: african classical bow/halberd weapons (historical register; category; N=144)
102|PROVISIONAL: unknown industrial lance/rifle weapons (historical register; category; N=64)
103|PROVISIONAL: european industrial shotgun/rifle weapons (historical register; category; N=56)
104|PROVISIONAL: african unknown mace weapons (historical register; category; N=95)
105|PROVISIONAL: east_asian modern rifle/spear weapons (historical register; category; N=491)
106|PROVISIONAL: european classical sword/hammer weapons (historical register; category; N=218)
107|PROVISIONAL: european classical bow/sword weapons (historical register; category; N=984)
108|PROVISIONAL: european industrial rifle/musket weapons (historical register; category; N=337)
109|PROVISIONAL: unknown classical lance/hammer weapons (historical register; category; N=112)
110|PROVISIONAL: middle_eastern classical halberd/spear weapons (historical register; category; N=159)
111|PROVISIONAL: east_asian industrial spear/sword weapons (historical register; category; N=191)
112|PROVISIONAL: european modern shotgun/rifle weapons (historical register; category; N=115)
113|PROVISIONAL: european modern rifle/spear weapons (historical register; category; N=2062)
114|PROVISIONAL: middle_eastern unknown spear/rifle weapons (historical register; category; N=257)
115|PROVISIONAL: south_american_indigenous modern rifle/sabre weapons (historical register; category; N=95)
116|PROVISIONAL: european unknown spear weapons (historical register; category; N=1335)
117|PROVISIONAL: southeast_asian unknown sabre/musket weapons (historical register; category; N=151)
118|PROVISIONAL: south_asian unknown musket weapons (historical register; category; N=127)
119|PROVISIONAL: european industrial spear/rifle weapons (historical register; category; N=1262)
120|PROVISIONAL: unknown unknown rifle/lance weapons (historical register; category; N=1205)
121|PROVISIONAL: southeast_asian modern musket/rifle weapons (historical register; category; N=115)
122|PROVISIONAL: african industrial sword/spear weapons (historical register; category; N=65)
123|PROVISIONAL: european modern rifle/sabre weapons (historical register; category; N=133)
124|PROVISIONAL: middle_eastern modern spear/lance weapons (historical register; category; N=130)
125|PROVISIONAL: middle_eastern medieval rifle/lance weapons (historical register; category; N=56)
