eng_id,regime,play_time_start,play_time_end,pts_start,pts_end,dur_s,kills,coverage,delta_coverage,delta_covered_s,n_frames_decoded,n_ok,n_greedy_path,n_trunc_demoted,n_ocrspike_demoted,unreadable_break_s,hp_max_seen,hp_min,intake_hp,healed_hp,n_drops,drop_p50,drop_max,damage_spent,damage_dps_coverage
0,R1,592,595,238.0,241.5,3.5,2,1.0,0.9965,9.467,143,143,0,0,0,0,250,250,0,0,0,0,0,69.6,0.889
1,R1,611,615,257.5,261.0,3.5,2,1.0,0.9965,9.467,143,143,0,0,0,0,250,250,0,0,0,0,0,61.8,0.944
2,R1,623,625,269.5,271.5,2.0,2,1.0,0.9917,7.933,120,120,0,0,0,0,250,236,14,14,3,5,5,49.7,1.0
3,R1,637,649,283.5,295.0,11.5,6,1.0,0.9981,17.467,263,263,0,0,0,0,250,246,4,4,1,4,4,221.5,1.0
4,R1,655,655,301.0,301.5,0.5,2,1.0,0.9949,6.467,98,98,0,0,0,0,250,246,4,4,1,4,4,53.4,1.0
5,R1,979,981,625.5,627.5,2.0,2,1.0,0.9917,7.933,120,120,0,0,0,0,314,314,0,0,0,0,0,73.1,1.0
6,R1,996,998,642.5,644.5,2.0,2,1.0,0.9917,7.933,120,120,0,0,0,0,314,314,0,0,0,0,0,74.3,1.0
7,R1,1009,1009,655.5,655.5,0.0,1,1.0,0.9889,5.933,90,90,0,0,0,0,314,314,0,0,0,0,0,18.1,0.636
8,R1,1018,1024,664.0,670.5,6.5,4,0.9947,0.9973,12.467,188,187,0,1,0,0,314,259,86,58,15,5,14,119.2,1.0
9,R1,1044,1051,690.5,697.0,6.5,5,1.0,0.9973,12.467,188,188,0,0,0,0,314,314,0,0,0,0,0,222.7,1.0
10,R1,1066,1077,712.0,723.5,11.5,6,1.0,0.9981,17.467,263,263,0,0,0,0,314,302,14,14,3,2,11,296.7,1.0
11,R1,1097,1107,743.5,753.0,9.5,4,1.0,0.9979,15.467,233,233,0,0,0,0,314,314,0,0,0,0,0,145.4,0.9
