i,pts_s,play_time,gate,L,kills,deaths,max_level,life_healed,total_score,health_potions,mana_potions,dps,shield_block_chance,defaultkickattack,defaultweaponattack,onslaught,werewolf1,werewolf1_skill01_claws,werewolf1_skill02_charge
0,0.0,358,OK,1481,2,0,1,16.33,0,0,0,0.0,15.0,,8,,,,
1,0.5,358,OK,1481,2,0,1,16.33,0,0,0,0.0,15.0,,8,,,,
2,1.0,358,OK,1481,2,0,1,16.33,0,0,0,0.0,15.0,,8,,,,
3,1.5,358,OK,1481,2,0,1,16.33,0,0,0,0.0,15.0,,8,,,,
4,2.0,359,OK,1481,2,0,1,16.33,0,0,0,0.0,15.0,,8,,,,
5,2.5,359,OK,1481,2,0,1,16.33,0,0,0,0.0,15.0,,8,,,,
6,3.0,360,OK,1481,2,0,1,16.33,0,0,0,0.0,15.0,,8,,,,
7,3.5,360,OK,1481,2,0,1,16.33,0,0,0,0.0,15.0,,8,,,,
8,4.0,361,OK,1481,2,0,1,16.33,0,0,0,0.0,15.0,,,,,,
9,4.5,361,OK,1481,2,0,1,16.33,0,0,0,0.0,15.0,,,,,,
10,5.0,362,OK,1481,2,0,1,16.33,0,0,0,0.0,15.0,,,,,,
11,5.5,362,OK,1481,2,0,1,16.33,0,0,0,0.0,15.0,,,,,,
12,6.0,363,OK,1481,2,0,1,16.33,0,0,0,0.0,15.0,,,,,,
13,6.5,363,OK,1481,2,0,1,16.33,0,0,0,0.0,15.0,,,,,,
14,7.0,364,OK,1481,2,0,1,16.33,0,0,0,0.0,15.0,,,,,,
15,7.5,364,OK,1481,2,0,1,16.33,0,0,0,0.0,15.0,,,,,,
16,8.0,365,OK,1481,2,0,1,16.33,0,0,0,0.0,15.0,,,,,,
17,8.5,365,OK,1481,2,0,1,16.33,0,0,0,0.0,15.0,,8,,,,
18,9.0,366,OK,1481,2,0,1,16.33,0,0,0,0.0,15.0,,8,,,,
19,9.5,366,OK,1481,2,0,1,16.33,0,0,0,0.0,15.0,,8,,,,
20,10.0,367,OK,1481,2,0,1,16.33,0,0,0,0.0,15.0,,8,,,,
21,10.5,367,OK,1481,2,0,1,16.33,0,0,0,0.0,15.0,,8,,,,
22,11.0,,OK,1481,2,0,1,16.33,0,0,0,0.0,15.0,,8,,,,
