i,pts_s,play_time,gate,L,kills,deaths,max_level,life_healed,total_score,health_potions,mana_potions,dps,shield_block_chance,defaultkickattack,defaultweaponattack,onslaught,werewolf1,werewolf1_skill01_claws,werewolf1_skill02_charge
0,4000.0,4312,OK,1390,,1,9,,0,0,0,74.19,,,,54,,,92
1,4000.5,4312,OK,1390,,1,9,4567.67,0,0,0,74.19,,7,74,54,6,173,92
2,4001.0,4313,OK,1390,,1,9,4567.67,0,0,0,0.0,,7,74,54,6,173,92
3,4001.5,4313,OK,1390,464,1,9,4567.67,0,0,0,0.0,,7,74,54,6,173,92
4,4002.0,4314,OK,1390,464,1,9,4567.67,0,0,0,0.0,,,74,54,6,173,92
5,4002.5,4314,OK,1390,464,1,9,4567.67,0,0,0,0.0,,7,74,54,6,173,
6,4003.0,4315,OK,1390,464,1,9,4567.67,0,0,0,0.0,,7,74,54,6,173,
7,4003.5,4315,OK,1390,464,1,9,4567.67,0,0,0,0.0,,,74,54,6,173,
8,4004.0,4316,OK,1390,464,1,9,4567.67,0,0,0,0.0,,7,74,54,6,173,92
9,4004.5,4316,OK,1390,464,1,9,4567.67,0,0,0,0.0,,7,74,54,6,173,92
10,4005.0,4316,OK,1390,464,1,9,4567.67,0,0,0,0.0,,7,74,54,6,173,92
11,4005.5,4316,OK,1390,464,1,9,4567.67,0,0,0,0.0,,7,74,54,6,173,92
12,4006.0,4317,OK,1390,464,1,9,4567.67,0,0,0,0.0,,7,74,54,6,173,92
13,4006.5,4317,OK,1390,464,1,9,4567.67,0,0,0,0.0,,7,74,54,6,173,92
14,4007.0,4318,OK,1390,464,1,9,4567.67,0,0,0,0.0,,7,74,54,6,173,92
15,4007.5,4318,OK,1390,464,1,9,4567.67,0,0,0,0.0,,7,74,54,6,173,92
16,4008.0,4318,OK,1390,464,1,9,4567.67,0,0,0,0.0,,7,74,54,6,173,92
17,4008.5,4318,OK,1390,464,1,9,4567.67,0,0,0,0.0,,7,74,54,6,173,92
18,4009.0,4318,OK,1390,464,1,9,4567.67,0,0,0,0.0,,7,74,54,6,173,92
19,4009.5,4318,OK,1390,464,1,9,4567.67,0,0,0,0.0,,7,74,54,6,173,92
20,4010.0,4318,OK,1390,464,1,9,4567.67,0,0,0,0.0,,7,74,54,6,173,92
21,4010.5,4318,OK,1390,464,1,9,4567.67,0,0,0,0.0,,7,74,54,6,173,92
22,4011.0,4318,OK,1390,464,1,9,4567.67,0,0,0,0.0,,7,74,54,6,173,92
23,4011.5,4318,OK,1390,464,1,9,4567.67,0,0,0,0.0,,7,74,54,6,173,92
24,4012.0,4318,OK,1390,464,1,9,4567.67,0,0,0,0.0,,7,74,54,6,173,92
25,4012.5,4319,OK,1390,464,1,9,4568.32,0,0,0,0.0,,7,74,54,6,173,92
26,4013.0,4319,OK,1390,465,1,9,4573.5,0,0,0,152.42,,7,74,54,6,173,93
27,4013.5,4320,OK,1390,465,1,9,4574.92,0,0,0,152.42,,7,74,54,6,173,93
28,4014.0,4320,OK,1390,465,1,9,4576.35,0,0,0,152.42,,7,74,54,6,173,93
29,4014.5,4321,OK,1390,465,1,9,4579.32,0,0,0,152.42,,7,74,54,6,173,93
30,4015.0,4321,OK,1390,465,1,9,4579.32,0,0,0,152.42,,7,74,54,6,173,93
