i,pts_s,play_time,gate,L,kills,deaths,max_level,life_healed,total_score,health_potions,mana_potions,dps,shield_block_chance,defaultkickattack,defaultweaponattack,onslaught,werewolf1,werewolf1_skill01_claws,werewolf1_skill02_charge
0,14.753,371,OK,1481,2,0,1,16.33,0,0,0,0.0,15.0,,8,,,,
1,25.466,381,OK,1481,2,0,1,16.33,0,0,0,0.0,15.0,,8,,,,
2,31.485,387,OK,1481,2,0,1,16.33,0,0,0,0.0,15.0,,8,,,,
3,39.083,395,OK,1481,2,0,1,16.33,0,0,0,0.0,15.0,,8,,,,
4,43.69,400,OK,1481,2,0,1,16.33,0,0,0,0.0,15.0,,8,,,,
5,55.384,411,OK,1481,2,0,1,16.33,0,0,0,0.0,15.0,,8,,,,
6,59.446,415,OK,1481,2,0,1,16.33,0,0,0,0.0,15.0,,8,,,,
7,64.117,420,OK,1481,2,0,1,16.33,0,0,0,0.0,15.0,,8,,,,
8,73.33,429,OK,1481,2,0,1,16.33,0,0,0,0.0,15.0,,8,,,,
9,78.004,434,OK,1481,2,0,1,16.33,0,0,0,0.0,15.0,,8,,,,
10,86.247,442,OK,1481,2,0,1,16.33,0,0,0,0.0,15.0,,8,,,,
11,89.728,446,OK,1481,2,0,1,16.33,0,0,0,0.0,15.0,,8,,,,
12,93.648,450,OK,1481,2,0,1,16.33,0,0,0,0.0,15.0,,8,,,,
13,96.431,452,OK,1481,2,0,1,16.33,0,0,0,0.0,15.0,,8,,,,
14,504.599,857,OK,1473,16,0,2,82.41,0,0,0,0.0,15.0,,46,,,,
15,508.995,862,OK,1473,16,0,2,82.41,0,0,0,0.0,15.0,,46,,,,
16,535.348,888,OK,1473,16,0,2,102.41,0,0,0,0.0,15.0,,46,,,,
17,546.268,899,OK,1473,16,0,2,102.41,0,0,0,0.0,15.0,,46,,,,
18,551.173,904,OK,1473,16,0,2,102.41,0,0,0,0.0,15.0,,46,,,,
19,555.292,908,OK,1473,16,0,2,102.41,0,0,0,0.0,15.0,,46,,,,
20,558.962,912,OK,1473,16,0,2,102.41,0,0,0,0.0,15.0,,46,,,,
21,568.363,921,OK,1473,16,0,2,102.41,0,0,0,0.0,15.0,,46,,,,
22,573.382,926,OK,1473,16,0,2,102.41,0,0,0,0.0,15.0,,46,,,,
23,577.181,930,OK,1473,16,0,2,102.41,0,0,0,0.0,15.0,,46,,,,
24,586.68,939,OK,1473,16,0,2,102.41,0,0,0,0.0,15.0,,46,,,,
25,591.112,944,OK,1473,16,0,2,102.41,0,0,0,0.0,15.0,,46,,,,
26,594.661,947,OK,1473,16,0,2,102.41,0,0,0,0.0,15.0,,46,,,,
27,600.398,953,OK,1473,16,0,2,102.41,0,0,0,0.0,15.0,,46,,,,
28,607.571,960,OK,1473,16,0,2,102.41,0,0,0,0.0,15.0,,46,,,,
29,1049.463,1385,OK,1473,45,0,3,277.73,0,0,0,0.0,,4,74,54,,,
30,1054.06,1390,OK,1473,45,0,3,277.73,0,0,0,0.0,,4,74,54,,,
31,1058.657,1394,OK,1473,45,0,3,277.73,0,0,0,0.0,,4,74,54,,,
32,1061.983,1398,OK,1473,45,0,3,277.73,0,0,0,0.0,,4,74,54,,,
33,1066.811,1402,OK,1473,45,0,3,277.73,0,0,0,0.0,,4,74,54,,,
34,1070.414,1406,OK,1473,45,0,3,277.73,0,0,0,0.0,,4,74,54,,,
35,1073.161,1409,OK,1473,45,0,3,277.73,0,0,0,0.0,,4,74,54,,,
36,1082.856,1419,OK,1473,45,0,3,277.73,0,0,0,0.0,,4,74,54,,,
37,1085.045,1421,OK,1473,45,0,3,277.73,0,0,0,0.0,,4,74,54,,,
38,1092.148,1428,OK,1473,45,0,3,277.73,0,0,0,0.0,,4,74,54,,,
39,1094.784,1430,OK,1473,45,0,3,277.73,0,0,0,0.0,,4,74,54,,,
40,1098.568,1434,OK,1473,45,0,3,277.73,0,0,0,0.0,,4,74,54,,,
41,1102.208,1438,OK,1473,45,0,3,277.73,0,0,0,0.0,,4,74,54,,,
42,1106.761,1442,OK,1473,45,0,3,277.73,0,0,0,0.0,,4,74,54,,,
43,1115.568,1451,OK,1473,45,0,3,277.73,0,0,0,0.0,,4,74,54,,,
44,1121.058,1457,OK,1473,45,0,3,277.73,0,0,0,0.0,,4,74,54,,,
45,1211.504,1546,OK,1398,76,0,3,339.75,0,0,0,14.0,,5,74,54,1,19,6
46,1215.393,1550,OK,1398,76,0,3,388.98,0,0,0,0.0,,5,74,54,1,19,6
47,1225.456,1560,OK,1398,80,0,3,481.01,0,0,0,16.38,,5,74,54,1,21,7
48,1368.55,1702,OK,1398,81,0,4,560.81,0,0,0,0.0,,5,74,54,1,23,8
49,1371.44,1705,OK,1398,81,0,4,560.81,0,0,0,0.0,,5,74,54,1,23,8
50,1373.765,1707,OK,1398,81,0,4,560.81,0,0,0,0.0,,5,74,54,1,23,8
51,1376.266,1710,OK,1398,81,0,4,560.81,0,0,0,0.0,,5,74,54,1,23,8
52,1384.587,1718,OK,1398,81,0,4,560.81,0,0,0,0.0,,5,74,54,1,23,8
53,1389.452,1723,OK,1398,81,0,4,560.81,0,0,0,0.0,,5,74,54,1,23,8
54,1393.289,1727,OK,1398,81,0,4,560.81,0,0,0,0.0,,5,74,54,1,23,8
55,1399.27,1733,OK,1398,81,0,4,560.81,0,0,0,0.0,,5,74,54,1,23,8
56,1405.503,1739,OK,1398,81,0,4,560.81,0,0,0,0.0,,5,74,54,1,23,8
57,1410.789,1744,OK,1398,81,0,4,560.81,0,0,0,0.0,,5,74,54,1,23,8
58,1414.79,1748,OK,1398,81,0,4,560.81,0,0,0,0.0,,5,74,54,1,23,8
59,1418.282,1752,OK,1398,81,0,4,560.81,0,0,0,0.0,,5,74,54,1,23,8
60,1422.861,1757,OK,1398,81,0,4,560.81,0,0,0,0.0,,5,74,54,1,23,8
61,1427.942,1762,OK,1398,81,0,4,560.81,0,0,0,0.0,,5,74,54,1,23,8
62,1430.201,1764,OK,1398,81,0,4,560.81,0,0,0,0.0,,5,74,54,1,23,8
63,1433.853,1768,OK,1398,81,0,4,560.81,0,0,0,0.0,,5,74,54,1,23,8
64,1437.172,1771,OK,1398,81,0,4,560.81,0,0,0,0.0,,5,74,54,1,23,8
65,1441.657,1775,OK,1398,81,0,4,560.81,0,0,0,0.0,,5,74,54,1,23,8
66,1447.741,1781,OK,1398,81,0,4,560.81,0,0,0,0.0,,5,74,54,1,23,8
67,1455.082,1789,OK,1398,81,0,4,560.81,0,0,0,0.0,,5,74,54,1,23,8
68,1642.636,1974,OK,1390,126,0,5,805.05,0,0,0,0.0,,5,74,54,2,46,20
69,1673.218,2005,OK,1390,126,0,5,805.05,0,0,0,0.0,,5,74,54,2,46,20
70,1677.526,2009,OK,1390,126,0,5,805.05,0,0,0,0.0,,5,74,54,2,46,20
71,1682.074,2014,OK,1390,126,0,5,805.05,0,0,0,0.0,,5,74,54,2,46,20
72,1685.539,2017,OK,1390,126,0,5,805.05,0,0,0,0.0,,5,74,54,2,46,20
73,1689.133,2021,OK,1390,126,0,5,805.05,0,0,0,0.0,,5,74,54,2,46,20
74,1692.583,2024,OK,1390,126,0,5,805.05,0,0,0,0.0,,5,74,54,2,46,20
75,1697.127,2029,OK,1390,126,0,5,805.05,0,0,0,0.0,,5,74,54,2,46,20
76,1700.474,2032,OK,1390,126,0,5,805.05,0,0,0,0.0,,5,74,54,2,46,20
77,1702.694,2034,OK,1390,126,0,5,805.05,0,0,0,0.0,,5,74,54,2,46,20
78,1706.28,2038,OK,1390,126,0,5,805.05,0,0,0,0.0,,5,74,54,2,46,20
79,1709.859,2041,OK,1390,126,0,5,805.05,0,0,0,0.0,,5,74,54,2,46,20
80,1716.25,2048,OK,1390,126,0,5,805.05,0,0,0,0.0,,5,74,54,2,46,20
81,1719.666,2051,OK,1390,126,0,5,805.05,0,0,0,0.0,,5,74,54,2,46,20
82,1723.039,2055,OK,1390,126,0,5,805.05,0,0,0,0.0,,5,74,54,2,46,20
83,1764.57,2094,OK,1390,149,0,5,884.31,0,0,0,0.0,,5,74,54,3,51,23
84,1788.525,2118,OK,1390,164,0,5,910.78,0,0,0,114.33,,5,74,54,3,53,27
85,1821.363,2151,OK,1390,170,0,5,1154.4,0,0,0,0.0,,5,74,54,3,57,30
86,2183.76,2512,OK,1390,194,0,6,1250.0,0,0,0,0.0,,5,74,54,3,66,34
87,2185.951,2515,OK,1390,194,0,6,1250.0,0,0,0,0.0,,5,74,54,3,66,34
88,2188.257,2517,OK,1390,194,0,6,1250.0,0,0,0,0.0,,5,74,54,3,66,34
89,2191.362,2520,OK,1390,194,0,6,1250.0,0,0,0,0.0,,5,74,54,3,66,34
90,2193.357,2522,OK,1390,194,0,6,1250.0,0,0,0,0.0,,5,74,54,3,66,34
91,2195.666,2524,OK,1390,194,0,6,1250.0,0,0,0,0.0,,5,74,54,3,66,34
92,2197.66,2526,OK,1390,194,0,6,1250.0,0,0,0,0.0,,5,74,54,3,66,34
93,2199.495,2528,OK,1390,194,0,6,1250.0,0,0,0,0.0,,5,74,54,3,66,34
94,2201.623,2530,OK,1390,194,0,6,1250.0,0,0,0,0.0,,5,74,54,3,66,34
95,2203.847,2532,OK,1390,194,0,6,1250.0,0,0,0,0.0,,5,74,54,3,66,34
96,2206.311,2535,OK,1390,194,0,6,1250.0,0,0,0,0.0,,5,74,54,3,66,34
97,2209.924,2539,OK,1390,194,0,6,1250.0,0,0,0,0.0,,5,74,54,3,66,34
98,2214.68,2543,OK,1390,194,0,6,1250.0,0,0,0,0.0,,5,74,54,3,66,34
99,2219.346,2548,OK,1390,194,0,6,1250.0,0,0,0,0.0,,5,74,54,3,66,34
100,2223.207,2552,OK,1390,194,0,6,1250.0,0,0,0,0.0,,5,74,54,3,66,34
101,2225.323,2554,OK,1390,194,0,6,1250.0,0,0,0,0.0,,5,74,54,3,66,34
102,2228.543,2557,OK,1390,194,0,6,1250.0,0,0,0,0.0,,5,74,54,3,66,34
103,2232.482,2561,OK,1390,194,0,6,1250.0,0,0,0,0.0,,5,74,54,3,66,34
104,2237.042,2566,OK,1390,194,0,6,1250.0,0,0,0,0.0,,5,74,54,3,66,34
105,2240.959,2570,OK,1390,194,0,6,1250.0,0,0,0,0.0,,5,74,54,3,66,34
106,2243.046,2572,OK,1390,194,0,6,1250.0,0,0,0,0.0,,5,74,54,3,66,34
107,2246.664,2575,OK,1390,194,0,6,1250.0,0,0,0,0.0,,5,74,54,3,66,34
108,2253.092,2582,OK,1390,194,0,6,1250.0,0,0,0,0.0,,5,74,54,3,66,34
109,2256.859,2585,OK,1390,194,0,6,1250.0,0,0,0,0.0,,5,74,54,3,66,34
110,2264.189,2593,OK,1390,194,0,6,1250.0,0,0,0,0.0,,5,74,54,3,66,34
111,2268.769,2597,OK,1390,194,0,6,1250.0,0,0,0,0.0,,5,74,54,3,66,34
112,2271.985,2601,OK,1390,194,0,6,1250.0,0,0,0,0.0,,5,74,54,3,66,34
113,2275.962,2605,OK,1390,194,0,6,1250.0,0,0,0,0.0,,5,74,54,3,66,34
114,2298.234,2626,OK,1390,194,0,6,1250.0,0,0,0,0.0,,5,74,54,3,66,34
115,2336.349,2664,OK,1390,204,0,6,1250.0,0,0,0,0.0,,5,74,54,4,67,37
116,2355.261,2682,OK,1390,204,0,6,1250.0,0,0,0,0.0,,5,74,54,4,67,37
117,2540.007,2863,OK,1390,213,0,7,1292.32,0,0,0,0.0,,5,74,54,4,71,39
118,2544.955,2868,OK,1390,213,0,7,1292.32,0,0,0,0.0,,5,74,54,4,71,39
119,2548.95,2872,OK,1390,213,0,7,1292.32,0,0,0,0.0,,5,74,54,4,71,39
120,2551.572,2874,OK,1390,213,0,7,1292.32,0,0,0,0.0,,5,74,54,4,71,39
121,2554.727,2877,OK,1390,213,0,7,1292.32,0,0,0,0.0,,5,74,54,4,71,39
122,2559.307,2882,OK,1390,213,0,7,1292.32,0,0,0,0.0,,5,74,54,4,71,39
123,2563.074,2886,OK,1390,213,0,7,1292.32,0,0,0,0.0,,5,74,54,4,71,39
124,2568.139,2891,OK,1390,213,0,7,1292.32,0,0,0,0.0,,5,74,54,4,71,39
125,2572.922,2895,OK,1390,213,0,7,1292.32,0,0,0,0.0,,5,74,54,4,71,39
126,2576.889,2899,OK,1390,213,0,7,1292.32,0,0,0,0.0,,5,74,54,4,71,39
127,2581.858,2904,OK,1390,213,0,7,1292.32,0,0,0,0.0,,5,74,54,4,71,39
128,2586.41,2909,OK,1390,213,0,7,1292.32,0,0,0,0.0,,5,74,54,4,71,39
129,2588.885,2911,OK,1390,213,0,7,1292.32,0,0,0,0.0,,5,74,54,4,71,39
130,2594.95,2918,OK,1390,213,0,7,1292.32,0,0,0,0.0,,5,74,54,4,71,39
131,2597.62,2920,OK,1390,213,0,7,1292.32,0,0,0,0.0,,5,74,54,4,71,39
132,2599.745,2922,OK,1390,213,0,7,1292.32,0,0,0,0.0,,5,74,54,4,71,39
133,2651.157,2972,OK,1390,235,0,7,1577.7,0,0,0,0.0,,5,74,54,4,79,43
134,2691.654,3012,OK,1390,262,0,7,2121.12,0,0,0,128.4,,5,74,54,4,88,49
135,2696.489,3017,OK,1390,262,0,7,2128.91,0,0,0,0.0,,5,74,54,4,88,49
136,2725.938,3046,OK,1390,265,0,7,3158.34,0,0,0,447.72,,5,74,54,4,91,52
137,2730.051,3051,OK,1390,271,0,8,3175.05,0,0,0,662.48,,5,74,54,4,92,53
138,2774.002,3094,OK,1390,271,0,8,3351.78,0,0,0,0.0,,5,74,54,4,94,53
139,2789.289,3108,OK,1390,271,0,8,3368.92,0,0,0,0.0,,5,74,54,4,94,53
140,2830.019,3149,OK,1390,271,0,8,3434.55,0,0,0,0.0,,5,74,54,4,94,53
141,2833.156,3152,OK,1390,271,0,8,3439.58,0,0,0,0.0,,5,74,54,4,94,53
142,2838.22,3157,OK,1390,271,1,8,3446.85,0,0,0,0.0,,5,74,54,4,94,53
143,3209.733,3526,OK,1390,271,1,8,3593.67,0,0,0,0.0,,5,74,54,4,94,53
144,3211.823,3528,OK,1390,271,1,8,3593.67,0,0,0,0.0,,5,74,54,4,94,53
145,3213.581,3530,OK,1390,271,1,8,3593.67,0,0,0,0.0,,5,74,54,4,94,53
146,3216.238,3533,OK,1390,271,1,8,3593.67,0,0,0,0.0,,5,74,54,4,94,53
147,3218.348,3535,OK,1390,271,1,8,3593.67,0,0,0,0.0,,5,74,54,4,94,53
148,3220.646,3537,OK,1390,271,1,8,3593.67,0,0,0,0.0,,5,74,54,4,94,53
149,3222.631,3539,OK,1390,271,1,8,3593.67,0,0,0,0.0,,5,74,54,4,94,53
150,3224.752,3541,OK,1390,271,1,8,3593.67,0,0,0,0.0,,5,74,54,4,94,53
151,3226.901,3543,OK,1390,271,1,8,3593.67,0,0,0,0.0,,5,74,54,4,94,53
