subset,regime,gap_s,count,pmf,exp_null_expected_std_resid
all,R1,0.5,1,0.0333,-1.75
all,R1,1.0,5,0.1667,0.33
all,R1,1.5,5,0.1667,0.6
all,R1,2.0,9,0.3,3.05
all,R1,2.5,0,0.0,-1.73
all,R1,3.0,2,0.0667,-0.41
all,R1,3.5,5,0.1667,1.72
all,R1,4.0,1,0.0333,-0.76
all,R1,4.5,1,0.0333,-0.63
all,R1,5.0,1,0.0333,-0.51
all,R2,0.5,56,0.1898,-3.4
all,R2,1.0,84,0.2847,2.71
all,R2,1.5,63,0.2136,2.76
all,R2,2.0,37,0.1254,0.94
all,R2,2.5,18,0.061,-0.97
all,R2,3.0,14,0.0475,-0.52
all,R2,3.5,9,0.0305,-0.72
all,R2,4.0,3,0.0102,-1.8
all,R2,4.5,10,0.0339,1.74
all,R2,5.0,1,0.0034,-1.54
all,R3,0.5,20,0.2381,-1.39
all,R3,1.0,24,0.2857,1.25
all,R3,1.5,22,0.2619,2.61
all,R3,2.0,4,0.0476,-1.59
all,R3,2.5,6,0.0714,0.03
all,R3,3.0,1,0.0119,-1.51
all,R3,3.5,2,0.0238,-0.46
all,R3,4.0,1,0.0119,-0.65
all,R3,4.5,2,0.0238,0.63
all,R3,5.0,2,0.0238,1.19
long_engagements_ge_10s,R1,0.5,0,0.0,-1.25
long_engagements_ge_10s,R1,1.0,2,0.2,0.5
long_engagements_ge_10s,R1,1.5,1,0.1,-0.23
long_engagements_ge_10s,R1,2.0,3,0.3,1.77
long_engagements_ge_10s,R1,2.5,0,0.0,-1.0
long_engagements_ge_10s,R1,3.0,2,0.2,1.16
long_engagements_ge_10s,R1,3.5,1,0.1,0.22
long_engagements_ge_10s,R1,4.0,1,0.1,0.33
long_engagements_ge_10s,R1,4.5,0,0.0,-0.8
long_engagements_ge_10s,R1,5.0,0,0.0,-0.76
long_engagements_ge_10s,R2,0.5,23,0.1825,-1.96
long_engagements_ge_10s,R2,1.0,34,0.2698,1.68
long_engagements_ge_10s,R2,1.5,21,0.1667,0.49
long_engagements_ge_10s,R2,2.0,20,0.1587,1.62
long_engagements_ge_10s,R2,2.5,8,0.0635,-0.72
long_engagements_ge_10s,R2,3.0,9,0.0714,0.49
long_engagements_ge_10s,R2,3.5,3,0.0238,-1.11
long_engagements_ge_10s,R2,4.0,2,0.0159,-1.07
long_engagements_ge_10s,R2,4.5,6,0.0476,1.66
long_engagements_ge_10s,R2,5.0,0,0.0,-1.51
long_engagements_ge_10s,R3,0.5,8,0.2105,-0.25
long_engagements_ge_10s,R3,1.0,8,0.2105,0.41
long_engagements_ge_10s,R3,1.5,7,0.1842,0.65
long_engagements_ge_10s,R3,2.0,3,0.0789,-0.65
long_engagements_ge_10s,R3,2.5,5,0.1316,0.84
long_engagements_ge_10s,R3,3.0,0,0.0,-1.65
long_engagements_ge_10s,R3,3.5,2,0.0526,-0.11
long_engagements_ge_10s,R3,4.0,1,0.0263,-0.55
long_engagements_ge_10s,R3,4.5,2,0.0526,0.55
long_engagements_ge_10s,R3,5.0,2,0.0526,0.89
short_engagements_lt_10s,R1,0.5,1,0.05,-1.26
short_engagements_lt_10s,R1,1.0,3,0.15,0.06
short_engagements_lt_10s,R1,1.5,4,0.2,0.9
short_engagements_lt_10s,R1,2.0,6,0.3,2.48
short_engagements_lt_10s,R1,2.5,0,0.0,-1.41
short_engagements_lt_10s,R1,3.0,0,0.0,-1.33
short_engagements_lt_10s,R1,3.5,4,0.2,1.96
short_engagements_lt_10s,R1,4.0,0,0.0,-1.17
short_engagements_lt_10s,R1,4.5,1,0.05,-0.2
short_engagements_lt_10s,R1,5.0,1,0.05,-0.07
short_engagements_lt_10s,R2,0.5,33,0.1953,-2.82
short_engagements_lt_10s,R2,1.0,50,0.2959,2.13
short_engagements_lt_10s,R2,1.5,42,0.2485,3.25
short_engagements_lt_10s,R2,2.0,17,0.1006,-0.15
short_engagements_lt_10s,R2,2.5,10,0.0592,-0.62
short_engagements_lt_10s,R2,3.0,5,0.0296,-1.17
short_engagements_lt_10s,R2,3.5,6,0.0355,0.08
short_engagements_lt_10s,R2,4.0,1,0.0059,-1.5
short_engagements_lt_10s,R2,4.5,4,0.0237,0.74
short_engagements_lt_10s,R2,5.0,1,0.0059,-0.66
short_engagements_lt_10s,R3,0.5,12,0.2609,-1.81
short_engagements_lt_10s,R3,1.0,16,0.3478,1.38
short_engagements_lt_10s,R3,1.5,15,0.3261,3.4
short_engagements_lt_10s,R3,2.0,1,0.0217,-1.37
short_engagements_lt_10s,R3,2.5,1,0.0217,-0.73
short_engagements_lt_10s,R3,3.0,1,0.0217,-0.14
short_engagements_lt_10s,R3,3.5,0,0.0,-0.8
short_engagements_lt_10s,R3,4.0,0,0.0,-0.6
short_engagements_lt_10s,R3,4.5,0,0.0,-0.45
short_engagements_lt_10s,R3,5.0,0,0.0,-0.34
