contrast,gap_threshold_s,ratio,ratio_lo,ratio_hi,merge_share,merge_share_lo,merge_share_hi
R1_to_R2,5.0,2.5403,1.86,3.621,0.0,0.0,0.0
R1_to_R2,4.0,2.5647,1.86,3.559,-0.0103,-0.251,0.169
R1_to_R2,3.0,3.1598,2.329,4.338,-0.2341,-0.603,0.021
R1_to_R2,2.5,3.0357,2.317,3.957,-0.1911,-0.629,0.099
R1_to_R2,2.0,2.6217,2.015,3.39,-0.0338,-0.417,0.235
R1_to_R2,1.5,2.849,2.371,3.454,-0.123,-0.605,0.15
R1_to_R2,1.0,2.3997,2.113,2.732,0.0611,-0.36,0.308
R2_to_R3,5.0,1.4133,0.919,2.009,0.0,0.0,0.0
R2_to_R3,4.0,1.2921,0.939,1.703,0.2591,-1.154,0.932
R2_to_R3,3.0,1.2768,0.955,1.738,0.2936,-2.536,1.068
R2_to_R3,2.5,1.3949,1.068,1.839,0.0378,-4.314,0.651
R2_to_R3,2.0,1.2921,0.918,1.875,0.2591,-5.716,1.247
R2_to_R3,1.5,1.4597,1.014,2.203,-0.0934,-9.438,0.963
R2_to_R3,1.0,1.2166,0.998,1.515,0.4332,-3.441,0.996
R1_to_R3,5.0,3.5901,2.284,5.534,0.0,0.0,0.0
R1_to_R3,4.0,3.314,2.269,4.737,0.0626,-0.189,0.245
R1_to_R3,3.0,4.0344,2.87,5.809,-0.0913,-0.553,0.179
R1_to_R3,2.5,4.2345,3.117,5.762,-0.1292,-0.632,0.151
R1_to_R3,2.0,3.3876,2.332,5.083,0.0454,-0.568,0.39
R1_to_R3,1.5,4.1587,2.929,6.234,-0.115,-0.885,0.265
R1_to_R3,1.0,2.9194,2.446,3.59,0.1618,-0.316,0.403
