eng_id,regime,pts_start,pts_end,play_time_start,dur_s,eff_dur_s,n_events,kills,max_delta,n_multi_events,level,n_bursts_b1.0,active_s_b1.0,travel_s_b1.0,n_bursts_b1.5,active_s_b1.5,travel_s_b1.5,n_bursts_b2.0,active_s_b2.0,travel_s_b2.0,charge_strict,charge_approach,charge_slack_s,claws_strict,claws_approach,claws_slack_s,wpn_strict,wpn_approach,wpn_slack_s,onsl_strict,onsl_approach,onsl_slack_s
0,R1,238.0,241.5,592,3.5,4.0,2,2,1,0,1,2,1.0,3.0,2,1.0,3.0,2,1.0,3.0,,,,,,,3.0,6.0,1.0,,,
1,R1,257.5,261.0,611,3.5,4.0,2,2,1,0,1,2,1.0,3.0,2,1.0,3.0,2,1.0,3.0,,,,,,,4.0,6.0,0.5,,,
2,R1,269.5,271.5,623,2.0,2.5,2,2,1,0,1,2,1.0,1.5,2,1.0,1.5,1,2.5,0.0,,,,,,,1.0,3.0,1.0,,,
3,R1,283.5,295.0,637,11.5,12.0,6,6,1,0,1,5,3.5,8.5,5,3.5,8.5,3,6.5,5.5,,,,,,,13.0,16.0,0.5,,,
4,R1,301.0,301.5,655,0.5,1.0,2,2,1,0,2,1,1.0,0.0,1,1.0,0.0,1,1.0,0.0,,,,,,,4.0,4.0,2.0,,,
5,R1,625.5,627.5,979,2.0,2.5,2,2,1,0,2,2,1.0,1.5,2,1.0,1.5,1,2.5,0.0,,,,,,,1.0,2.0,1.5,0.0,0.0,2.0
6,R1,642.5,644.5,996,2.0,2.5,2,2,1,0,2,2,1.0,1.5,2,1.0,1.5,1,2.5,0.0,,,,,,,0.0,2.0,2.0,0.0,1.0,0.0
7,R1,655.5,655.5,1009,0.0,0.5,1,1,1,0,2,1,0.5,0.0,1,0.5,0.0,1,0.5,0.0,,,,,,,0.0,1.0,0.5,0.0,1.0,0.0
8,R1,664.0,670.5,1018,6.5,7.0,4,4,1,0,2,4,2.0,5.0,2,4.0,3.0,2,4.0,3.0,,,,,,,4.0,6.0,0.0,3.0,4.0,0.0
9,R1,690.5,697.0,1044,6.5,7.0,5,5,1,0,2,4,3.0,4.0,3,4.0,3.0,1,7.0,0.0,,,,,,,2.0,2.0,0.0,7.0,9.0,0.0
10,R1,712.0,723.5,1066,11.5,12.0,6,6,1,0,2,5,3.5,8.5,4,4.5,7.5,3,6.0,6.0,,,,,,,2.0,2.0,1.5,18.0,19.0,0.5
