gap_threshold_s,n_engagements_total,regime,n_engagements,kills,kills_per_engagement,ci95_lo,ci95_hi,ratio_vs_R1
5.0,106,R1,13,43,3.308,2.385,4.231,1.0
5.0,106,R2,77,647,8.403,6.948,10.013,2.54
5.0,106,R3,16,190,11.875,8.062,16.0,3.59
4.0,123,R1,15,43,2.867,2.133,3.733,1.0
4.0,123,R2,88,647,7.352,6.227,8.557,2.564
4.0,123,R3,20,190,9.5,6.8,12.35,3.314
3.0,144,R1,21,43,2.048,1.571,2.619,1.0
3.0,144,R2,100,647,6.47,5.47,7.56,3.159
3.0,144,R3,23,190,8.261,6.087,10.523,4.034
2.5,161,R1,23,43,1.87,1.522,2.304,1.0
2.5,161,R2,114,647,5.675,4.877,6.518,3.035
2.5,161,R3,24,190,7.917,5.875,10.0,4.234
2.0,185,R1,23,43,1.87,1.522,2.304,1.0
2.0,185,R2,132,647,4.902,4.265,5.591,2.621
2.0,185,R3,30,190,6.333,4.767,8.0,3.387
1.5,235,R1,31,42,1.355,1.193,1.548,1.0
1.5,235,R2,170,648,3.812,3.318,4.353,2.813
1.5,235,R3,34,190,5.588,4.235,7.029,4.124
1.0,325,R1,36,42,1.167,1.056,1.306,1.0
1.0,325,R2,233,648,2.781,2.502,3.082,2.383
1.0,325,R3,56,190,3.393,2.714,4.125,2.907
