eng_id,play_time,t_pts,raw_hp,ehp_used,pc_ehp_seen,pc_ehp_modal,coverage
13,1471,1135.1333,5,366,1.366,1.366,1.0
13,1471,1135.6,4,366,1.093,1.093,1.0
13,1471,1135.6667,5,366,1.366,1.366,1.0
13,1472,1136.1333,5,366,1.366,1.366,1.0
13,1473,1137.0667,5,366,1.366,1.366,1.0
17,1522,1186.1,32,366,8.743,8.743,1.0
18,1540,1204.3333,5,366,1.366,1.366,1.0
18,1542,1206.4667,32,366,8.743,8.743,1.0
19,1549,1213.7,8,366,2.186,2.186,1.0
19,1551,1215.5,33,366,9.016,9.016,1.0
19,1552,1215.8333,3,366,0.82,0.82,1.0
19,1552,1216.3,1,366,0.273,0.273,1.0
19,1554,1218.3667,10,366,2.732,2.732,1.0
20,1562,1226.4333,4,366,1.093,1.093,1.0
20,1564,1228.6333,3,366,0.82,0.82,1.0
21,1826,1492.6667,4,443,0.903,0.903,1.0
21,1827,1493.0,3,443,0.677,0.677,1.0
22,1848,1514.1,12,443,2.709,2.709,0.9836
22,1849,1514.9667,5,443,1.129,1.129,0.9836
22,1856,1521.7667,5,443,1.129,1.129,0.9836
22,1856,1521.9667,5,443,1.129,1.129,0.9836
22,1856,1522.2333,5,443,1.129,1.129,0.9836
22,1856,1522.4333,5,443,1.129,1.129,0.9836
22,1858,1523.7667,5,443,1.129,1.129,0.9836
22,1858,1524.2333,5,443,1.129,1.129,0.9836
22,1858,1524.4333,5,443,1.129,1.129,0.9836
22,1860,1526.7,2,443,0.451,0.451,0.9836
23,1885,1551.0333,37,443,8.352,8.352,0.9969
23,1889,1554.8333,28,443,6.321,6.321,0.9969
24,1902,1568.6667,37,443,8.352,8.352,1.0
24,1907,1573.6,38,443,8.578,8.578,1.0
25,2065,1733.7333,38,451,8.426,,0.9933
26,2080,1748.4,38,451,8.426,8.426,0.9942
26,2084,1752.2,5,451,1.109,1.109,0.9942
29,2118,1787.6,27,451,5.987,5.987,0.9862
29,2119,1788.5333,26,451,5.765,5.765,0.9862
29,2121,1789.9333,106,451,23.503,23.503,0.9862
29,2126,1795.0667,20,451,4.435,4.435,0.9862
29,2127,1796.0667,20,451,4.435,4.435,0.9862
31,2155,1824.3333,7,451,1.552,15.556,0.6747
31,2161,1829.9333,18,451,3.991,40.0,0.6747
31,2161,1830.1333,30,451,6.652,66.667,0.6747
31,2162,1830.8667,19,451,4.213,42.222,0.6747
31,2162,1831.0667,103,451,22.838,228.889,0.6747
31,2162,1831.4,23,451,5.1,51.111,0.6747
31,2164,1832.9333,10,451,2.217,22.222,0.6747
31,2164,1833.4667,35,451,7.761,77.778,0.6747
31,2165,1834.1333,35,451,7.761,77.778,0.6747
31,2165,1834.2667,30,451,6.652,66.667,0.6747
31,2165,1834.4,27,451,5.987,60.0,0.6747
31,2174,1843.2,18,451,3.991,40.0,0.6747
31,2174,1843.7333,1,451,0.222,2.222,0.6747
31,2175,1843.9333,1,451,0.222,2.222,0.6747
31,2175,1844.1333,1,451,0.222,2.222,0.6747
31,2175,1844.6667,1,451,0.222,2.222,0.6747
31,2176,1844.8667,1,451,0.222,2.222,0.6747
34,2682,2354.9,4,471,0.849,,0.9796
35,2819,2493.5667,6,471,1.274,1.274,1.0
35,2819,2493.6333,9,471,1.911,1.911,1.0
35,2819,2493.8333,2,471,0.425,0.425,1.0
35,2819,2493.9667,1,471,0.212,0.212,1.0
35,2819,2494.1667,1,471,0.212,0.212,1.0
35,2820,2494.3667,1,471,0.212,0.212,1.0
35,2820,2494.5667,1,471,0.212,0.212,1.0
35,2820,2494.8333,1,471,0.212,0.212,1.0
35,2820,2494.9,1,471,0.212,0.212,1.0
35,2820,2495.0333,1,471,0.212,0.212,1.0
35,2820,2495.2333,1,471,0.212,0.212,1.0
35,2821,2495.4333,1,471,0.212,0.212,1.0
36,2940,2617.3333,7,491,1.426,1.426,0.9933
