eng_id,play_time,r2_position_frac,level,t_pts,raw_hp,hp_before,hp_after,ehp_seen,ehp_modal,ehp_used,pc_ehp_seen,pc_ehp_modal,coverage
29,2121,0.2007,5,1789.9333,106,401,295,451,451,451,23.503,23.503,0.9862
31,2162,0.209,5,1831.0667,103,385,282,451,45,451,22.838,228.889,0.6747
38,2977,0.3747,7,2655.7,70,458,388,491,491,491,14.257,14.257,0.7839
38,2992,0.3778,7,2671.2333,74,269,195,491,491,491,15.071,15.071,0.7839
53,3882,0.5588,8,3566.0333,71,672,601,672,672,672,10.565,10.565,1.0
55,3929,0.5683,8,3612.7667,113,657,544,672,672,672,16.815,16.815,0.9768
61,4325,0.6488,9,4018.8667,84,707,623,707,707,707,11.881,11.881,1.0
73,4565,0.6976,9,4259.8333,73,707,634,707,707,707,10.325,10.325,0.9511
73,4567,0.698,9,4261.8333,76,617,541,707,707,707,10.75,10.75,0.9511
81,5431,0.8737,10,5129.5667,121,747,626,747,747,747,16.198,16.198,0.6008
82,5447,0.877,10,5145.9667,110,747,637,747,747,747,14.726,14.726,0.6815
82,5449,0.8774,10,5147.9667,75,709,634,747,747,747,10.04,10.04,0.6815
82,5452,0.878,10,5151.0333,127,664,537,747,747,747,17.001,17.001,0.6815
82,5453,0.8782,10,5151.4333,541,541,0,747,747,747,72.423,72.423,0.6815
84,5527,0.8932,10,5230.9667,142,423,281,430,747,747,33.023,19.009,0.9444
84,5531,0.8941,10,5235.1,185,430,245,430,747,747,43.023,24.766,0.9444
86,5640,0.9162,10,5344.4667,108,713,605,747,747,747,14.458,14.458,0.5759
86,5641,0.9164,10,5345.7333,77,686,609,747,747,747,10.308,10.308,0.5759
88,5789,0.9465,10,5495.5667,80,726,646,726,759,759,11.019,10.54,0.9833
88,5790,0.9467,10,5496.9,80,619,539,726,759,759,11.019,10.54,0.9833
88,5793,0.9473,10,5499.6333,80,622,542,726,759,759,11.019,10.54,0.9833
88,5794,0.9475,10,5500.7667,81,527,446,726,759,759,11.157,10.672,0.9833
88,5796,0.9479,10,5502.9,81,482,401,726,759,759,11.157,10.672,0.9833
88,5797,0.9481,10,5504.1,304,431,127,726,759,759,41.873,40.053,0.9833
88,5799,0.9486,10,5505.6333,80,162,82,726,759,759,11.019,10.54,0.9833
89,5806,0.95,11,5512.9333,108,141,33,759,759,759,14.229,14.229,0.9889
89,5808,0.9504,11,5515.1333,244,759,515,759,759,759,32.148,32.148,0.9889
