eng_id,play_time,level,dur_s,kills,n_events,n_bursts,A,B,ehp,ehp_seen,ehp_modal,coverage,delta_covered_s,intake_hp,healed_hp,n_drops,travel_s,active_s,inter_drop_gap_median
13,1470,3,2.5,4,3,1,1.3333,3.0,366,366,366,1.0,8.467,24,24,5,0,2.5,0.4666
14,1478,3,5.0,9,5,2,1.8,2.5,366,366,366,1.0,10.933,0,0,0,0,5.0,
15,1494,3,0.0,1,1,1,1.0,1.0,366,366,366,1.0,5.933,0,0,0,0,0.0,
16,1503,3,8.0,7,5,4,1.4,1.25,366,366,366,1.0,13.933,0,0,0,2.5,5.5,
17,1521,3,4.5,6,3,2,2.0,1.5,366,366,366,1.0,10.467,32,32,1,4.0,0.5,
18,1537,3,5.0,4,3,3,1.3333,1.0,366,366,366,1.0,10.933,37,6,2,3.0,2.0,2.1334
19,1552,3,3.0,4,3,1,1.3333,3.0,366,366,366,1.0,8.933,55,104,5,0,3.0,1.1333
20,1563,4,0.0,1,1,1,1.0,1.0,366,366,366,1.0,5.933,7,7,2,0,0.0,2.2
21,1824,4,4.5,6,3,2,2.0,1.5,443,443,443,1.0,10.467,7,7,2,3.5,1.0,0.3333
22,1848,4,26.5,18,15,6,1.2,2.5,443,443,443,0.9836,32.2,54,53,10,11.5,15.0,0.4666
23,1880,4,15.5,18,10,5,1.8,2.0,443,443,443,0.9969,21.467,65,65,2,10.0,5.5,3.8
24,1903,4,4.0,3,3,2,1.0,1.5,443,443,443,1.0,9.933,75,75,2,3.0,1.0,4.9333
25,2068,5,4.0,10,4,1,2.5,4.0,451,451,,0.9933,9.933,38,38,1,0,4.0,
26,2080,5,5.5,13,5,2,2.6,2.5,451,451,451,0.9942,11.467,43,43,2,2.5,3.0,3.8
27,2097,5,8.5,8,4,4,2.0,1.0,451,451,,1.0,14.467,0,0,0,4.5,4.0,
28,2112,5,2.5,7,3,2,2.3333,1.5,451,451,451,0.9766,8.2,0,26,0,0,2.5,
29,2120,5,8.5,5,4,3,1.25,1.3333,451,451,451,0.9862,14.467,199,225,5,8.0,0.5,1.2
30,2144,5,0.0,1,1,1,1.0,1.0,451,451,,1.0,5.933,0,0,0,0,0.0,
31,2153,5,24.5,24,14,8,1.7143,1.75,451,451,45,0.6747,20.533,360,444,17,12.0,12.5,0.4333
32,2637,6,4.5,9,4,2,2.25,2.0,471,471,,1.0,10.467,0,0,0,3.5,1.0,
33,2648,6,0.0,1,1,1,1.0,1.0,471,471,,1.0,5.933,0,0,0,0,0.0,
