id,green_px,blue_px
331,3614,176
324,3381,176
334,3167,176
299,3035,15
296,2842,15
325,2652,176
289,2625,15
335,2537,176
339,2524,15
338,2522,15
340,2516,15
336,2513,15
341,2504,15
337,2499,15
345,2498,15
347,2485,15
346,2484,15
342,2483,71
344,2479,15
343,2475,15
290,2338,15
323,2257,177
333,2143,176
326,1998,176
288,1953,15
332,1897,176
250,1853,380
183,1841,389
310,1818,15
301,1798,176
302,1779,15
305,1776,15
309,1775,15
311,1766,15
307,1763,15
300,1755,15
313,1755,15
308,1752,15
306,1751,15
312,1750,15
303,1749,15
304,1746,15
216,1507,384
252,1492,192
257,1492,192
258,1492,192
261,1492,192
190,1480,192
191,1480,192
194,1480,192
251,1461,192
262,1450,31
263,1450,31
264,1450,31
265,1450,31
266,1450,31
267,1450,31
268,1450,31
269,1450,31
270,1450,31
271,1450,31
272,1450,31
195,1438,31
197,1438,31
198,1438,31
199,1438,31
200,1438,31
201,1438,31
202,1438,31
203,1438,31
204,1438,68
205,1438,31
206,1438,31
207,1438,31
208,1438,31
196,1405,87
298,1365,15
297,1339,15
185,1322,192
184,1306,192
186,1248,398
291,1226,15
218,1146,192
223,1146,192
224,1146,192
227,1146,192
253,1127,398
217,1115,192
228,1104,31
229,1104,31
230,1104,31
231,1104,31
232,1104,31
233,1104,31
234,1104,31
235,1104,31
236,1104,31
237,1104,31
238,1104,31
239,1104,31
259,1003,186
192,991,186
219,935,398
126,792,377
225,657,186
88,638,162
193,408,175
226,408,175
260,408,175
108,377,161
109,377,161
127,377,205
128,377,253
133,377,474
134,377,468
135,377,472
137,377,474
157,377,179
110,335,0
111,335,0
112,335,0
113,335,0
114,335,0
115,335,0
116,335,0
117,335,0
118,335,0
119,335,0
120,335,0
121,335,0
122,335,0
138,335,308
139,335,303
140,335,362
141,335,297
142,335,302
143,335,298
144,335,304
145,335,300
146,335,303
147,335,293
148,335,295
149,335,297
150,335,295
158,335,18
159,335,18
160,335,18
161,335,18
162,335,18
163,335,18
164,335,18
165,335,18
166,335,18
167,335,18
168,335,18
169,335,18
89,223,161
90,223,161
91,223,161
94,223,161
136,223,449
129,197,645
95,181,0
96,181,0
97,181,0
98,181,0
99,181,0
100,181,0
101,181,0
102,181,0
103,181,0
104,181,0
105,181,0
106,181,0
41,109,161
42,67,0
43,67,0
44,67,56
45,67,0
46,67,0
47,67,0
48,67,0
49,67,0
50,67,0
51,67,0
52,67,0
53,67,0
55,42,161
56,42,161
69,42,161
54,0,0
57,0,0
58,0,0
59,0,0
60,0,56
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,74
75,0,0
76,0,56
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
