id,skilltab,masterybar,charpaper
40,0.0359,0.1379,0.0021
41,-0.0419,-0.0275,0.8352
42,-0.0244,-0.0342,0.8347
43,-0.0282,-0.0377,0.8353
44,-0.0157,-0.0371,0.8346
45,-0.0263,-0.0395,0.8352
46,-0.0322,-0.0401,0.8351
47,-0.0456,-0.0389,0.8351
48,-0.0414,-0.042,0.8347
49,-0.029,-0.0437,0.8348
50,-0.0378,-0.0442,0.8346
51,-0.0429,-0.0385,0.8347
52,-0.0387,-0.0443,0.8346
53,-0.063,-0.0425,0.8347
54,-0.0705,-0.0592,0.8351
55,-0.06,-0.0587,0.8346
56,-0.0614,-0.0589,0.8348
57,-0.0502,-0.0593,0.8347
58,-0.0595,-0.0593,0.8346
59,-0.0633,-0.0594,0.8346
60,-0.0791,-0.0594,0.8351
61,-0.0522,-0.0597,0.8346
62,-0.0659,-0.0596,0.8349
63,-0.0584,-0.0596,0.8353
64,-0.0473,-0.0597,0.8349
65,-0.0569,-0.0598,0.8346
66,-0.058,-0.0597,0.8347
67,-0.0718,-0.06,0.8353
68,0.9423,0.8225,0.1429
69,-0.0611,-0.0751,0.835
70,-0.0477,-0.0753,0.8353
71,-0.0569,-0.0719,0.8346
72,-0.0431,-0.0731,0.8346
73,-0.0484,-0.0757,0.8348
74,-0.0456,-0.0758,0.8352
75,-0.0467,-0.0712,0.8347
76,-0.0587,-0.0737,0.835
77,-0.059,-0.0726,0.8346
78,-0.0457,-0.0731,0.8349
79,-0.0565,-0.0733,0.8347
80,-0.0452,-0.072,0.8346
81,-0.0128,-0.072,0.8351
82,-0.0611,-0.0748,0.835
83,-0.0716,-0.0719,0.8351
84,0.9423,0.8608,0.1429
85,-0.0184,-0.0613,0.0038
86,0.0082,0.0653,-0.0267
87,-0.026,0.1133,0.039
88,-0.0006,-0.0737,0.8155
89,-0.0707,-0.0754,0.8375
90,-0.0705,-0.074,0.837
91,-0.0704,-0.0766,0.8377
92,0.0039,-0.0747,0.3678
93,-0.0948,-0.0758,-0.0303
94,-0.0703,-0.0737,0.8375
95,-0.0592,-0.0739,0.8375
96,-0.0683,-0.0736,0.8371
97,-0.0543,-0.0741,0.837
98,-0.0684,-0.0757,0.8375
99,-0.057,-0.0742,0.8375
100,-0.064,-0.0741,0.8376
101,-0.0657,-0.0748,0.8375
102,-0.0674,-0.0731,0.8371
103,-0.0553,-0.0743,0.8371
104,-0.0652,-0.0725,0.8371
105,-0.0585,-0.0742,0.8374
106,-0.0803,-0.0732,0.8371
107,0.9423,0.9059,0.1429
108,-0.0523,-0.0556,0.8375
109,-0.0492,-0.0548,0.8375
110,-0.0375,-0.0538,0.8371
111,-0.0477,-0.0519,0.8375
112,0.0059,-0.0538,0.8375
113,-0.0689,-0.0522,0.8374
114,-0.0523,-0.053,0.8373
115,-0.0379,-0.0518,0.8376
116,-0.0319,-0.0528,0.8376
117,-0.0443,-0.0513,0.8372
118,-0.0318,-0.0518,0.837
119,-0.0628,-0.0521,0.8375
120,-0.0433,-0.0521,0.837
121,-0.0347,-0.05,0.837
122,-0.0589,-0.0527,0.8371
123,0.0523,-0.2074,0.0724
124,0.031,-0.0712,-0.0976
125,0.0622,-0.0005,-0.0456
126,0.0126,-0.0312,0.8929
127,-0.0183,-0.0296,0.9107
128,-0.0183,-0.0258,0.9081
129,0.013,-0.0293,0.8364
130,-0.0317,-0.0298,0.6251
131,0.0092,-0.0278,0.3967
132,-0.0599,-0.0357,-0.0217
133,-0.0179,-0.031,0.9115
134,-0.0176,-0.029,0.9082
135,-0.0174,-0.0357,0.9074
136,-0.0176,-0.0316,0.9115
137,-0.0176,-0.0348,0.9113
138,-0.0022,-0.035,0.908
139,-0.0126,-0.0354,0.9107
140,0.0413,-0.0384,0.9113
141,0.0411,-0.0354,0.9106
142,-0.0107,-0.0335,0.9106
143,-0.0077,-0.0379,0.9108
144,0.0124,-0.0381,0.9085
145,-0.014,-0.0346,0.9091
146,-0.0085,-0.0334,0.9113
147,0.0026,-0.0291,0.9116
148,0.0346,-0.0338,0.9112
149,0.0004,-0.0352,0.9095
150,-0.0245,-0.0362,0.9082
151,0.9423,0.9059,0.1429
152,0.5079,0.9059,-0.0335
153,0.8484,0.6651,0.1424
154,-0.0951,-0.0612,0.0333
155,0.0971,0.0802,-0.0364
156,-0.0346,-0.0365,0.0003
157,-0.0089,-0.0308,0.9091
158,0.0076,-0.0326,0.9109
159,0.0006,-0.0343,0.9107
160,0.0246,-0.0337,0.9108
161,-0.0014,-0.0352,0.9089
162,-0.0049,-0.0315,0.9114
163,0.0039,-0.032,0.9108
164,0.0039,-0.0297,0.9103
165,0.015,-0.0301,0.9116
166,0.0018,-0.0359,0.9084
167,0.0058,-0.0335,0.9111
168,0.0099,-0.0297,0.9109
169,-0.0119,-0.0309,0.9109
170,0.9423,0.9059,0.1429
171,0.7764,0.9059,0.1424
172,0.8464,0.6501,0.1424
173,0.0525,-0.2031,-0.0465
174,-0.027,-0.0099,0.0405
175,0.0095,-0.1151,-0.06
176,-0.1172,0.0531,0.0737
177,0.0303,-0.1562,0.0692
178,-0.0991,-0.167,0.0826
179,-0.0353,-0.0892,0.0819
180,-0.0943,-0.1225,0.0352
181,-0.0335,-0.0986,0.03
182,-0.08,-0.0989,0.0633
183,0.0184,-0.0083,0.8955
184,-0.0396,-0.0105,0.9081
185,-0.0392,-0.0138,0.9111
186,0.0175,-0.0123,0.8394
187,-0.0435,-0.0101,0.6212
188,0.0149,-0.0125,0.3981
189,-0.0154,-0.013,0.2002
190,-0.0369,-0.0106,0.9073
191,-0.0377,-0.0155,0.9116
192,-0.0375,-0.0115,0.9108
193,-0.0366,-0.0143,0.9102
194,-0.037,-0.0138,0.9086
