{'t_candidate': 799.5, 'sep': 0.46293699741363525, 't_change': 799.85, 'frame_idx': 99, 'n': 156, 'amb_frames': 0}
{'t_candidate': 808.5, 'sep': 0.35635316371917725, 't_change': 808.933, 'frame_idx': 104, 'n': 156, 'amb_frames': 0}
{'t_candidate': 817.5, 'sep': 0.3060387969017029, 't_change': 818.033, 'frame_idx': 110, 'n': 156, 'amb_frames': 8}
{'t_candidate': 830.5, 'sep': 0.4403766989707947, 't_change': 831.017, 'frame_idx': 109, 'n': 156, 'amb_frames': 1}
{'t_candidate': 841.5, 'sep': 0.5090513229370117, 't_change': 842.05, 'frame_idx': 111, 'n': 156, 'amb_frames': 0}
{'t_candidate': 853.5, 'sep': 0.4567365050315857, 't_change': 854.133, 'frame_idx': 116, 'n': 156, 'amb_frames': 0}
{'t_candidate': 865.5, 'sep': 0.5516926646232605, 't_change': 866.183, 'frame_idx': 119, 'n': 156, 'amb_frames': 1}
{'t_candidate': 874.5, 'sep': 0.5347180962562561, 't_change': 875.233, 'frame_idx': 122, 'n': 156, 'amb_frames': 0}
{'t_candidate': 881.5, 'sep': 0.39904022216796875, 't_change': 882.283, 'frame_idx': 125, 'n': 156, 'amb_frames': 0}
{'t_candidate': 891.5, 'sep': 0.44730645418167114, 't_change': 892.35, 'frame_idx': 129, 'n': 156, 'amb_frames': 0}
{'t_candidate': 920.5, 'sep': 0.2408123016357422, 't_change': 920.767, 'frame_idx': 94, 'n': 156, 'amb_frames': 0}
{'t_candidate': 933.5, 'sep': 0.11493265628814697, 't_change': 933.983, 'frame_idx': 107, 'n': 156, 'amb_frames': 0}
{'t_candidate': 946.5, 'sep': 0.10104411840438843, 't_change': 947.0, 'frame_idx': 108, 'n': 156, 'amb_frames': 0}
{'t_candidate': 954.5, 'sep': 0.2050219178199768, 't_change': 955.1, 'frame_idx': 114, 'n': 156, 'amb_frames': 0}
{'t_candidate': 966.5, 'sep': 0.2585386633872986, 't_change': 967.167, 'frame_idx': 118, 'n': 156, 'amb_frames': 0}
