cell_key,population,representative_kit_id,isotope_kit_ids
full-move|at-target|flat|chain|damage|expose|tank|cooldown|solo|ranged|low|instant|active|one-shot,1,gd-bloody-pox-conjurer,
full-move|at-target|flat|chain|damage|none|tank|cooldown|light|ranged|low|instant|active|one-shot,1,gd-stormbox-elementalist,
full-move|at-target|flat|chain|damage|none|tank|unknown|solo|melee|low|instant|active|one-shot,1,d4-rabies-lacerate,
full-move|at-target|flat|dash_attack|damage|none|mitigate|generator-spender|solo|melee|high|instant|active|one-shot,1,poe1-flicker,
full-move|at-target|flat|dash_attack|damage|none|tank|cooldown|solo|melee|med|instant|triggered|one-shot,1,d4-earthquake-barb,
full-move|at-target|flat|dash_attack|damage|none|tank|generator-spender|solo|melee|med|instant|active|one-shot,1,gd-vires-might-shieldbreaker,
full-move|at-target|flat|ground_targeted_circle|control|hard-stop|evade|generator-spender|solo|melee|high|instant|active|one-shot,1,poe2-ice-strike-invoker,
full-move|at-target|flat|ground_targeted_circle|control|hard-stop|glass|free|solo|ranged|med|instant|triggered|one-shot,1,hades2-hail-storm,
full-move|at-target|flat|ground_targeted_circle|control|hex|evade|generator-spender|solo|melee|high|instant|active|one-shot,1,poe2-acolyte-darkness,
full-move|at-target|flat|ground_targeted_circle|control|none|evade|spend|solo|dual|low|instant|active|one-shot,1,ud-toxic-flame,
full-move|at-target|flat|ground_targeted_circle|damage|expose|glass|self-cost|solo|melee|high|instant|active|one-shot,1,le-harvest-lich,
full-move|at-target|flat|ground_targeted_circle|damage|fear|tank|generator-spender|solo|dual|high|instant|active|one-shot,1,di-blood-knight,
full-move|at-target|flat|ground_targeted_circle|damage|hard-stop|glass|spend|light|dual|low|instant|active|one-shot,1,tl2-hailstorm-embermage,
full-move|at-target|flat|ground_targeted_circle|damage|hard-stop|glass|spend|solo|ranged|med|instant|active|one-shot,1,ud-snowstorm-frost,
full-move|at-target|flat|ground_targeted_circle|damage|hex|glass|spend|light|dual|med|instant|active|one-shot,1,hot-warlock,
full-move|at-target|flat|ground_targeted_circle|damage|hex|mitigate|spend|solo|melee|high|instant|active|build→spend,1,poe1-viper-poison,
full-move|at-target|flat|ground_targeted_circle|damage|hex|mitigate|spend|solo|ranged|low|instant|triggered|one-shot,1,poe1-toxic-rain,
full-move|at-target|flat|ground_targeted_circle|damage|none|absorb|self-cost|solo|melee|high|instant|active|one-shot,1,le-low-life-ward,
full-move|at-target|flat|ground_targeted_circle|damage|none|evade|generator-spender|solo|melee|high|instant|active|one-shot,1,poe2-tempest-flurry,
full-move|at-target|flat|ground_targeted_circle|damage|none|glass|free|solo|ranged|high|instant|triggered|apply→detonate,1,chr-firestorm-warlock,
full-move|at-target|flat|ground_targeted_circle|damage|none|glass|reserve|light|melee|med|instant|active|one-shot,1,hot-spirit-warrior,
full-move|at-target|flat|ground_targeted_circle|damage|none|glass|reserve|solo|dual|med|instant|active|one-shot,1,ud-seal-veil-daimonios,
full-move|at-target|flat|ground_targeted_circle|damage|none|tank|cooldown|solo|dual|low|instant|triggered|one-shot,1,gd-bwc-demolitionist,
full-move|at-target|flat|ground_targeted_circle|damage|none|tank|free|solo|melee|high|instant|active|one-shot,1,d4-andariel-flurry,
full-move|at-target|flat|ground_targeted_circle|damage|none|tank|reserve|heavy|melee|med|instant|active|apply→detonate,1,d3-inna-allies,
full-move|at-target|flat|ground_targeted_circle|damage|stun|tank|finite|heavy|melee|med|instant|active|one-shot,1,le-manifest-armor,
full-move|at-target|flat|ground_targeted_circle|damage|taunt|evade|reserve|heavy|ranged|med|instant|active|one-shot,1,tl2-shadowling-outlander,
full-move|at-target|flat|ground_targeted_circle|damage|taunt|tank|spend|solo|melee|med|instant|active|one-shot,1,tq2-bastion-tank,
full-move|at-target|flat|melee_strike|damage|hard-stop|evade|spend|solo|melee|high|instant|active|build→spend,1,tli-erika3-vendetta,
full-move|at-target|flat|melee_strike|damage|knockback|tank|spend|solo|melee|high|instant|active|one-shot,1,tq-thane-storm-warfare,
full-move|at-target|flat|melee_strike|damage|none|evade|generator-spender|solo|melee|high|instant|active|one-shot,1,gd-belgothian-blademaster,
full-move|at-target|flat|melee_strike|damage|none|evade|spend|solo|melee|high|instant|active|one-shot,1,tli-rosa-unsullied,
full-move|at-target|flat|melee_strike|damage|none|evade|spend|solo|melee|high|instant|triggered|build→spend,1,tq-onslaught-assassin,
full-move|at-target|flat|melee_strike|damage|none|evade|spend|solo|melee|med|instant|active|one-shot,1,tq-warlock-poison-vitality,
