differing_coord,value_a,value_b,cell_key_a,cell_key_b
1-movement,full-move,rooted,full-move|at-target|flat|multi_projectile|damage|none|mitigate|spend|solo|melee|high|instant|active|one-shot,rooted|at-target|flat|multi_projectile|damage|none|mitigate|spend|solo|melee|high|instant|active|one-shot
1-movement,full-move,rooted,full-move|self-origin|flat|circle|damage|none|tank|spend|solo|melee|high|instant|active|one-shot,rooted|self-origin|flat|circle|damage|none|tank|spend|solo|melee|high|instant|active|one-shot
1-movement,full-move,walk,full-move|at-target|flat|ground_targeted_circle|damage|none|tank|cooldown|solo|dual|low|instant|triggered|one-shot,walk|at-target|flat|ground_targeted_circle|damage|none|tank|cooldown|solo|dual|low|instant|triggered|one-shot
1-movement,rooted,walk,rooted|at-target|spiky|ground_targeted_circle|damage|none|tank|spend|solo|melee|med|instant|active|one-shot,walk|at-target|spiky|ground_targeted_circle|damage|none|tank|spend|solo|melee|med|instant|active|one-shot
10-tempo,high,low,full-move|projectile|flat|multi_projectile|damage|none|mitigate|spend|solo|ranged|high|instant|active|one-shot,full-move|projectile|flat|multi_projectile|damage|none|mitigate|spend|solo|ranged|low|instant|active|one-shot
10-tempo,high,med,full-move|at-target|flat|melee_strike|damage|none|evade|spend|solo|melee|high|instant|active|one-shot,full-move|at-target|flat|melee_strike|damage|none|evade|spend|solo|melee|med|instant|active|one-shot
10-tempo,high,med,full-move|at-target|flat|totem|damage|none|tank|spend|heavy|melee|high|instant|active|one-shot,full-move|at-target|flat|totem|damage|none|tank|spend|heavy|melee|med|instant|active|one-shot
10-tempo,high,med,full-move|self-origin|flat|whirlwind|damage|none|tank|spend|solo|melee|high|channel|triggered|one-shot,full-move|self-origin|flat|whirlwind|damage|none|tank|spend|solo|melee|med|channel|triggered|one-shot
11-commit,channel,instant,full-move|projectile|flat|single_target|damage|none|tank|generator-spender|solo|ranged|high|channel|active|build→spend,full-move|projectile|flat|single_target|damage|none|tank|generator-spender|solo|ranged|high|instant|active|build→spend
11-commit,channel,instant,full-move|self-origin|flat|circle|damage|none|tank|spend|solo|melee|high|channel|active|one-shot,full-move|self-origin|flat|circle|damage|none|tank|spend|solo|melee|high|instant|active|one-shot
11-commit,instant,wind-up,rooted|at-target|spiky|ground_targeted_circle|damage|none|glass|cooldown|solo|ranged|med|instant|active|one-shot,rooted|at-target|spiky|ground_targeted_circle|damage|none|glass|cooldown|solo|ranged|med|wind-up|active|one-shot
12-activation,active,triggered,full-move|at-target|spiky|totem|damage|none|tank|cooldown|heavy|ranged|med|instant|active|apply→detonate,full-move|at-target|spiky|totem|damage|none|tank|cooldown|heavy|ranged|med|instant|triggered|apply→detonate
12-activation,active,triggered,full-move|projectile|flat|circle|damage|none|evade|spend|solo|ranged|high|instant|active|one-shot,full-move|projectile|flat|circle|damage|none|evade|spend|solo|ranged|high|instant|triggered|one-shot
