kit_id,group,group_intent_rationale
d2-auradin,AURA,delivery=aura-pulse · amp=flat · geometry=aura · treatment=damage · proxy=solo · commit=instant · dependency=one-shot
d4-auradin-paladin,AURA,delivery=aura-pulse · amp=flat · geometry=aura · treatment=damage · proxy=solo · commit=instant · dependency=one-shot
hot-cleric-radiant,AURA,delivery=aura-pulse · amp=flat · geometry=aura · treatment=damage · proxy=solo · commit=instant · dependency=one-shot
le-fire-aura-spellblade,AURA,delivery=aura-pulse · amp=flat · geometry=aura · treatment=damage · proxy=solo · commit=instant · dependency=one-shot
poe1-aurabot,AURA,delivery=aura-pulse · amp=flat · geometry=aura · treatment=damage · proxy=solo · commit=instant · dependency=one-shot
poe1-deaths-oath,AURA,delivery=aura-pulse · amp=flat · geometry=aura · treatment=damage · proxy=solo · commit=instant · dependency=one-shot
poe1-righteous-fire,AURA,delivery=aura-pulse · amp=flat · geometry=aura · treatment=damage · proxy=solo · commit=instant · dependency=one-shot
vs-soul-eater,AURA,delivery=aura-pulse · amp=flat · geometry=aura · treatment=damage · proxy=solo · commit=instant · dependency=one-shot
d3-arachyr-firebats,CHANNELED-BEAM,movement=rooted · delivery=beam · commit=channel · activation=active
di-ray-of-frost-wizard,CHANNELED-BEAM,movement=rooted · delivery=beam · commit=channel · activation=active
gd-aar-spellbinder,CHANNELED-BEAM,movement=rooted · delivery=beam · commit=channel · activation=active
gd-drain-essence-spellbinder,CHANNELED-BEAM,movement=rooted · delivery=beam · commit=channel · activation=active
gd-flames-of-ignaffar-purifier,CHANNELED-BEAM,movement=rooted · delivery=beam · commit=channel · activation=active
le-ghostflame-warlock,CHANNELED-BEAM,movement=rooted · delivery=beam · commit=channel · activation=active
poe1-divine-ire,CHANNELED-BEAM,movement=rooted · delivery=beam · commit=channel · activation=active
poe1-incinerate,CHANNELED-BEAM,movement=rooted · delivery=beam · commit=channel · activation=active
ud-flamethrower-channel,CHANNELED-BEAM,movement=rooted · delivery=beam · commit=channel · activation=active
chr-demon-legion-warlock,MINION-PET,movement=full-move · amp=flat · treatment=damage · function=taunt · economy=reserve · proxy=heavy · tempo=med · commit=instant · activation=active · dependency=one-shot
chr-pet-warden,MINION-PET,movement=full-move · amp=flat · treatment=damage · function=taunt · economy=reserve · proxy=heavy · tempo=med · commit=instant · activation=active · dependency=one-shot
di-minion-necro,MINION-PET,movement=full-move · amp=flat · treatment=damage · function=taunt · economy=reserve · proxy=heavy · tempo=med · commit=instant · activation=active · dependency=one-shot
tl2-bot-engineer,MINION-PET,movement=full-move · amp=flat · treatment=damage · function=taunt · economy=reserve · proxy=heavy · tempo=med · commit=instant · activation=active · dependency=one-shot
tl2-shadowling-outlander,MINION-PET,movement=full-move · amp=flat · treatment=damage · function=taunt · economy=reserve · proxy=heavy · tempo=med · commit=instant · activation=active · dependency=one-shot
tli-moto-bots,MINION-PET,movement=full-move · amp=flat · treatment=damage · function=taunt · economy=reserve · proxy=heavy · tempo=med · commit=instant · activation=active · dependency=one-shot
tq-petmaster-summoner,MINION-PET,movement=full-move · amp=flat · treatment=damage · function=taunt · economy=reserve · proxy=heavy · tempo=med · commit=instant · activation=active · dependency=one-shot
chr-mechanist-turret-drone,TOTEM-SENTRY,delivery=at-target · geometry=totem · treatment=damage · defense=tank · commit=instant · activation=active
d3-m6-sentries,TOTEM-SENTRY,delivery=at-target · geometry=totem · treatment=damage · defense=tank · commit=instant · activation=active
d3-mundunugu-sb,TOTEM-SENTRY,delivery=at-target · geometry=totem · treatment=damage · defense=tank · commit=instant · activation=active
d4-death-trap,TOTEM-SENTRY,delivery=at-target · geometry=totem · treatment=damage · defense=tank · commit=instant · activation=active
d4-mighty-throw,TOTEM-SENTRY,delivery=at-target · geometry=totem · treatment=damage · defense=tank · commit=instant · activation=active
d4-touch-of-death,TOTEM-SENTRY,delivery=at-target · geometry=totem · treatment=damage · defense=tank · commit=instant · activation=active
gd-skeleton-ritualist,TOTEM-SENTRY,delivery=at-target · geometry=totem · treatment=damage · defense=tank · commit=instant · activation=active
le-skeleton-necro,TOTEM-SENTRY,delivery=at-target · geometry=totem · treatment=damage · defense=tank · commit=instant · activation=active
le-squirrel-bm,TOTEM-SENTRY,delivery=at-target · geometry=totem · treatment=damage · defense=tank · commit=instant · activation=active
le-storm-totem-shaman,TOTEM-SENTRY,delivery=at-target · geometry=totem · treatment=damage · defense=tank · commit=instant · activation=active
le-wraithlord-necro,TOTEM-SENTRY,delivery=at-target · geometry=totem · treatment=damage · defense=tank · commit=instant · activation=active
poe1-ea-ballista,TOTEM-SENTRY,delivery=at-target · geometry=totem · treatment=damage · defense=tank · commit=instant · activation=active
poe1-fire-trap,TOTEM-SENTRY,delivery=at-target · geometry=totem · treatment=damage · defense=tank · commit=instant · activation=active
poe1-forbidden-rite,TOTEM-SENTRY,delivery=at-target · geometry=totem · treatment=damage · defense=tank · commit=instant · activation=active
poe1-glacial-cascade-mines,TOTEM-SENTRY,delivery=at-target · geometry=totem · treatment=damage · defense=tank · commit=instant · activation=active
poe1-pizza-sticks,TOTEM-SENTRY,delivery=at-target · geometry=totem · treatment=damage · defense=tank · commit=instant · activation=active
poe1-seismic-trap,TOTEM-SENTRY,delivery=at-target · geometry=totem · treatment=damage · defense=tank · commit=instant · activation=active
poe1-siege-ballista,TOTEM-SENTRY,delivery=at-target · geometry=totem · treatment=damage · defense=tank · commit=instant · activation=active
poe1-warchief,TOTEM-SENTRY,delivery=at-target · geometry=totem · treatment=damage · defense=tank · commit=instant · activation=active
poe2-infernal-legion,TOTEM-SENTRY,delivery=at-target · geometry=totem · treatment=damage · defense=tank · commit=instant · activation=active
poe2-minion-infernalist,TOTEM-SENTRY,delivery=at-target · geometry=totem · treatment=damage · defense=tank · commit=instant · activation=active
poe2-warbringer-totems,TOTEM-SENTRY,delivery=at-target · geometry=totem · treatment=damage · defense=tank · commit=instant · activation=active
tq-battlemage-warfare-earth,TOTEM-SENTRY,delivery=at-target · geometry=totem · treatment=damage · defense=tank · commit=instant · activation=active
tq2-forge-turrets,TOTEM-SENTRY,delivery=at-target · geometry=totem · treatment=damage · defense=tank · commit=instant · activation=active
chr-crown-proc-engine,TRAP-MINE,treatment=damage · economy=free · proxy=solo · commit=instant · activation=triggered
chr-fire-berserker,TRAP-MINE,treatment=damage · economy=free · proxy=solo · commit=instant · activation=triggered
chr-firestorm-warlock,TRAP-MINE,treatment=damage · economy=free · proxy=solo · commit=instant · activation=triggered
chr-fulmination-templar,TRAP-MINE,treatment=damage · economy=free · proxy=solo · commit=instant · activation=triggered
d2-frenzy-barb,TRAP-MINE,treatment=damage · economy=free · proxy=solo · commit=instant · activation=triggered
d2-horker,TRAP-MINE,treatment=damage · economy=free · proxy=solo · commit=instant · activation=triggered
d3-frenzy-h90,TRAP-MINE,treatment=damage · economy=free · proxy=solo · commit=instant · activation=triggered
d3-manald-heal,TRAP-MINE,treatment=damage · economy=free · proxy=solo · commit=instant · activation=triggered
d3-pestilence-lance,TRAP-MINE,treatment=damage · economy=free · proxy=solo · commit=instant · activation=triggered
d4-payback-sb,TRAP-MINE,treatment=damage · economy=free · proxy=solo · commit=instant · activation=triggered
hades1-zeus-chain,TRAP-MINE,treatment=damage · economy=free · proxy=solo · commit=instant · activation=triggered
hot-landsknecht-grenades,TRAP-MINE,treatment=damage · economy=free · proxy=solo · commit=instant · activation=triggered
hot-shieldmaiden-block,TRAP-MINE,treatment=damage · economy=free · proxy=solo · commit=instant · activation=triggered
le-healing-hands-paladin,TRAP-MINE,treatment=damage · economy=free · proxy=solo · commit=instant · activation=triggered
le-smite-paladin,TRAP-MINE,treatment=damage · economy=free · proxy=solo · commit=instant · activation=triggered
poe1-aegis-max-block,TRAP-MINE,treatment=damage · economy=free · proxy=solo · commit=instant · activation=triggered
poe1-autobomber,TRAP-MINE,treatment=damage · economy=free · proxy=solo · commit=instant · activation=triggered
poe1-bladefall-bladeblast,TRAP-MINE,treatment=damage · economy=free · proxy=solo · commit=instant · activation=triggered
poe1-cwdt-loop,TRAP-MINE,treatment=damage · economy=free · proxy=solo · commit=instant · activation=triggered
poe1-detonate-dead,TRAP-MINE,treatment=damage · economy=free · proxy=solo · commit=instant · activation=triggered
poe1-lightning-conduit,TRAP-MINE,treatment=damage · economy=free · proxy=solo · commit=instant · activation=triggered
poe1-mjolner,TRAP-MINE,treatment=damage · economy=free · proxy=solo · commit=instant · activation=triggered
poe1-soulrend,TRAP-MINE,treatment=damage · economy=free · proxy=solo · commit=instant · activation=triggered
d2-bvc,WHIRLWIND,delivery=self-origin · geometry=whirlwind · treatment=damage · dependency=one-shot
d2-ww-barb,WHIRLWIND,delivery=self-origin · geometry=whirlwind · treatment=damage · dependency=one-shot
d2-ww-sin,WHIRLWIND,delivery=self-origin · geometry=whirlwind · treatment=damage · dependency=one-shot
d3-ww-wastes,WHIRLWIND,delivery=self-origin · geometry=whirlwind · treatment=damage · dependency=one-shot
