host,axis,score,axis_weight,weighted_contribution
Grim Dawn,kpi_compatibility,3,0.20,0.60
Grim Dawn,schema_compatibility,4,0.35,1.40
Grim Dawn,pipeline_accessibility,5,0.30,1.50
Grim Dawn,community_vitality,4,0.15,0.60
Torchlight 2,kpi_compatibility,4,0.20,0.80
Torchlight 2,schema_compatibility,3.5,0.35,1.225
Torchlight 2,pipeline_accessibility,4,0.30,1.20
Torchlight 2,community_vitality,2,0.15,0.30
Titan Quest Anniversary Edition,kpi_compatibility,4,0.20,0.80
Titan Quest Anniversary Edition,schema_compatibility,3.5,0.35,1.225
Titan Quest Anniversary Edition,pipeline_accessibility,3.5,0.30,1.05
Titan Quest Anniversary Edition,community_vitality,2.5,0.15,0.375
Terraria (tModLoader),kpi_compatibility,2,0.20,0.40
Terraria (tModLoader),schema_compatibility,2,0.35,0.70
Terraria (tModLoader),pipeline_accessibility,5,0.30,1.50
Terraria (tModLoader),community_vitality,4,0.15,0.60
Minecraft (Forge/Fabric),kpi_compatibility,2,0.20,0.40
Minecraft (Forge/Fabric),schema_compatibility,2,0.35,0.70
Minecraft (Forge/Fabric),pipeline_accessibility,4,0.30,1.20
Minecraft (Forge/Fabric),community_vitality,5,0.15,0.75
Diablo II Median XL,kpi_compatibility,4,0.20,0.80
Diablo II Median XL,schema_compatibility,3,0.35,1.05
Diablo II Median XL,pipeline_accessibility,1,0.30,0.30
Diablo II Median XL,community_vitality,3,0.15,0.45
Elden Ring,kpi_compatibility,2,0.20,0.40
Elden Ring,schema_compatibility,2,0.35,0.70
Elden Ring,pipeline_accessibility,3,0.30,0.90
Elden Ring,community_vitality,5,0.15,0.75
Baldur's Gate 3,kpi_compatibility,1,0.20,0.20
Baldur's Gate 3,schema_compatibility,1.5,0.35,0.525
Baldur's Gate 3,pipeline_accessibility,3.5,0.30,1.05
Baldur's Gate 3,community_vitality,5,0.15,0.75
Rimworld,kpi_compatibility,1,0.20,0.20
Rimworld,schema_compatibility,2,0.35,0.70
Rimworld,pipeline_accessibility,4,0.30,1.20
Rimworld,community_vitality,4,0.15,0.60
Dark Souls 3,kpi_compatibility,2,0.20,0.40
Dark Souls 3,schema_compatibility,2,0.35,0.70
Dark Souls 3,pipeline_accessibility,3,0.30,0.90
Dark Souls 3,community_vitality,4,0.15,0.60
Dragon's Dogma 2,kpi_compatibility,2,0.20,0.40
Dragon's Dogma 2,schema_compatibility,2,0.35,0.70
Dragon's Dogma 2,pipeline_accessibility,3,0.30,0.90
Dragon's Dogma 2,community_vitality,3,0.15,0.45
Starfield,kpi_compatibility,1,0.20,0.20
Starfield,schema_compatibility,2,0.35,0.70
Starfield,pipeline_accessibility,4,0.30,1.20
Starfield,community_vitality,4,0.15,0.60
V Rising,kpi_compatibility,2,0.20,0.40
V Rising,schema_compatibility,2,0.35,0.70
V Rising,pipeline_accessibility,3,0.30,0.90
V Rising,community_vitality,3,0.15,0.45
Crusader Kings 3,kpi_compatibility,1,0.20,0.20
Crusader Kings 3,schema_compatibility,1,0.35,0.35
Crusader Kings 3,pipeline_accessibility,4,0.30,1.20
Crusader Kings 3,community_vitality,4,0.15,0.60
Mount & Blade II: Bannerlord,kpi_compatibility,1,0.20,0.20
Mount & Blade II: Bannerlord,schema_compatibility,1,0.35,0.35
Mount & Blade II: Bannerlord,pipeline_accessibility,4,0.30,1.20
Mount & Blade II: Bannerlord,community_vitality,4,0.15,0.60
Wolcen: Lords of Mayhem,kpi_compatibility,3,0.20,0.60
Wolcen: Lords of Mayhem,schema_compatibility,1,0.35,0.35
Wolcen: Lords of Mayhem,pipeline_accessibility,2,0.30,0.60
Wolcen: Lords of Mayhem,community_vitality,1,0.15,0.15
