rank,name,developer,year,tier,phase_assignment,mfs,kpi_score,schema_score,pipeline_score,community_score,effort_weeks,key_precedent,modding_pipeline
1,Grim Dawn,Crate Entertainment,2016,PRIMARY,Phase 1,4.05,3,4,5,4,6-9,Dawn of Masteries (53 ported classes); Grimarillion; Reign of Terror,Asset Manager + World Editor + Database Editor + Quest Editor + Lua
2,Torchlight 2,Runic Games / Echtra,2012,Secondary,Phase 3 Option A,3.525,4,3.5,4,2,3-4,SynergiesMOD (661k subs); TL2-ACE; Classes Reborn (40+ classes); 90+ class mods,GUTS editor + DAT plain-text + Steam Workshop auto-sync + Nexus
3,Titan Quest Anniversary Edition,THQ Nordic / Iron Lore (2006),2016,Secondary,Phase 2,3.275,4,3.5,3.5,2.5,2-3 incremental,ShadowChampions Multimaster (Mar 2025); Legion of Champions Reloaded; TQ to GD cross-port practice,ARC tools (official) + Art Manager + ARZ Explorer + Mod Merge + Steam Workshop
4,Terraria (tModLoader),Re-Logic + tModLoader community,2011,Secondary,Phase 3 Option B,3.20,2,2,5,4,4-6 + art re-author,Calamity Mod (9.18M subs); Thorium Mod; kRPG (procedural-item analog),tModLoader (official C# .NET 8) + Steam Workshop
5,Minecraft (Forge/Fabric),Mojang / Microsoft,2011,Niche,Not Phase 1-3,2.85,2,2,4,5,N/A,Vault Hunters (ARPG looter modpack); 11M monthly modded Minecraft,Forge + Fabric + CurseForge
6,Diablo II Median XL / Project D2,Blizzard (orig),2000,Niche,N/A,2.70,4,3,1,3,N/A,Median XL (full overhaul); Project Diablo 2,MPQ archives + fan loaders (plugY / D2Mod / D2SE)
7,Elden Ring,FromSoftware,2022,Niche,N/A,2.65,2,2,3,5,N/A,The Convergence; ER Reforged,Mod Engine 2 + Elden Mod Loader + Nexus
8,Baldur's Gate 3,Larian Studios,2023,Niche,Optional outreach,2.525,1,1.5,3.5,5,N/A,Artificer Nexus 1779; 5e Cleric Subclasses Combined 16007; 15000+ Nexus mods,BG3 Script Extender v31 + official Toolkit + in-game mod.io + LSX/LSF
9,Rimworld,Ludeon Studios,2018,Niche,N/A,2.50,1,2,4,4,N/A,Star Wars KOTOR TC; TiberiumRim; Rim-Effect,Steam Workshop (XML + C# DLLs)
10,Dark Souls 3,FromSoftware,2016,Niche,N/A,2.50,2,2,3,4,N/A,Cinders (Feb 2025); Archthrones (Mar 2025); The Convergence DS3,DSMapStudio + Nexus
11,Dragon's Dogma 2,Capcom,2024,Niche,N/A,2.50,2,2,3,3,N/A,SkillMaker; DD2_VocationKit; Dullahan Overhaul,REFramework (Lua API)
12,Starfield,Bethesda,2023,Niche,N/A,2.45,1,2,4,4,N/A,Star Wars Genesis modlist,Creation Kit (official 2024) + CK Platform Extended + Nexus
13,V Rising,Stunlock Studios,2022,Niche,N/A,2.40,2,2,3,3,N/A,Bloodcraft (class + leveling + professions + familiars + perk tree),BepInEx + Thunderstore
14,Crusader Kings 3,Paradox,2020,Niche,N/A,2.20,1,1,4,4,N/A,Elder Kings 2 (TES TC); Godherja; LotR Realms in Exile,PDX Clausewitz (Jomini) + Steam Workshop
15,Mount & Blade II: Bannerlord,TaleWorlds,2022,Niche,N/A,2.20,1,1,4,4,N/A,Game of Thrones TC; The Old Realms,BSE + Nexus + ModDB + Steam Workshop
16,Wolcen: Lords of Mayhem,Wolcen Studio,2020,NotViable,DROPPED,1.65,3,1,2,1,N/A,DROPPED — last patch Jul 2023; MP shutdown Sept 2024; ~24 avg concurrent,XML in encrypted CryEngine PAK archives
