bc6,bc5,status,kit_count,neg_count,distinct_games,games,tier_mix,distinct_era_count,year_span,cross_decade,lineage_present,lineage,gx_families,occupied_by,occupied_exact_commit,ruled_weight
DRHFSI,DRHFS,occupied-by-us,20,0,10,chronicon|d3|d4|di|gd|poe1|poe2|tl1|tq|undecember,T1:14;T2:3;T2b:3,26,18,Y,,,GX-01|GX-10,K7,K7,520
IRMFHI,IRMFH,genre-attested,13,0,11,chronicon|d2|d3|di|le|poe1|poe2|tli|tq|tq2|undecember,T1:7;T2:4;T2b:2,25,24,Y,,,GX-04|GX-05|GX-06|GX-19,,,325
IRHFSI,IRHFS,genre-attested,14,0,10,chronicon|d2|d4|gd|le|tl2|tli|tq|tq2|undecember,T1:6;T2:7;T2b:1,23,23,Y,,,GX-03|GX-05|GX-06|GX-12|GX-15|GX-17,,,322
DMHFSI,DMHFS,occupied-by-us,16,1,6,d4|gd|poe1|poe2|tli|tq,T1:13;T2:3,18,18,Y,,,GX-01|GX-03|GX-05|GX-07|GX-08|GX-10,K6,,288
SMMFSI,SMMFS,genre-attested,14,2,8,d2|d3|d4|di|gd|poe1|tq|tq2,T1:9;T2:3;T2b:2,20,23,Y,,,GX-01|GX-07|GX-16,,,280
IRMSSI,IRMSS,genre-attested,12,1,9,chronicon|d3|d4|di|gd|le|poe1|tq|tq2,T1:8;T2:3;T2b:1,20,17,Y,,,GX-03|GX-04|GX-15|GX-16,,,240
SMHFSI,SMHFS,occupied-by-us,13,1,8,d2|d3|d4|di|gd|poe1|poe2|tq,T1:9;T2:3;T2b:1,17,24,Y,,,GX-01|GX-02|GX-17|GX-20,K2,,221
SMMSSI,SMMSS,genre-attested,11,3,8,chronicon|d2|d3|d4|di|gd|poe1|tl2,T1:8;T2:2;T2b:1,19,23,Y,,,GX-01|GX-03,,,209
IMHFSI,IMHFS,occupied-by-us,11,1,6,d2|d3|d4|gd|le|poe1,T1:11,18,23,Y,,,GX-02|GX-05|GX-06|GX-09,K15,,198
IMMFHI,IMMFH,genre-attested,8,0,7,chronicon|d4|gd|le|poe1|poe2|tq,T1:6;T2:2,23,18,Y,,,GX-06|GX-11,,,184
WMHFSI,WMHFS,genre-attested,9,0,7,chronicon|d2|d3|d4|le|poe1|poe2,T1:8;T2:1,16,24,Y,,,GX-02|GX-07|GX-09|GX-17,,,144
SMHFSC,SMHFS,occupied-by-us,7,0,6,d3|di|gd|le|poe1|undecember,T1:4;T2b:3,18,10,Y,Y,genre/spin,GX-11|GX-21,K2,,126
IRLFSI,IRLFS,genre-attested,7,0,4,gd|poe1|poe2|tq,T1:6;T2:1,13,18,Y,Y,genre/rabies,,,,91
IRHVSI,IRHVS,genre-attested,6,0,5,d2|d3|d4|poe1|poe2,T1:6,15,24,Y,,,GX-02|GX-06|GX-07,,,90
DDHFSI,DDHFS,occupied-by-us,8,0,4,le|poe1|poe2|tl2,T1:6;T2:2,10,11,Y,,,GX-03|GX-09|GX-10,K9f,,80
DRLFSI,DRLFS,genre-attested,6,0,4,chronicon|d2|poe1|poe2,T1:5;T2:1,13,24,Y,,,,,,78
IRMVSI,IRMVS,occupied-by-us,7,1,4,d2|d3|d4|poe1,T1:7,11,23,Y,,,GX-07,K12,,77
WMMFSI,WMMFS,genre-attested,6,0,4,d2|d3|d4|le,T1:6,11,23,Y,,,GX-02|GX-03|GX-05|GX-07|GX-19,,,66
IRMSSW,IRMSS,genre-attested,5,0,4,d2|d3|di|poe2,T1:4;T2b:1,12,24,Y,,,GX-03|GX-06|GX-15,,,60
DRMSSI,DRMSS,genre-attested,5,0,4,d4|poe1|poe2|tq,T1:4;T2:1,11,18,Y,,,GX-03,,,55
IRMFSI,IRMFS,genre-attested,5,0,5,d2|d3|poe1|tli|undecember,T1:3;T2:1;T2b:1,11,22,Y,,,GX-03|GX-14,,,55
WDHFSI,WDHFS,genre-attested,5,0,4,d2|d3|d4|le,T1:5,11,23,Y,Y,genre/hammerdin,GX-09,,,55
_RHFSI,_RHFS,genre-attested,9,0,3,hades1|hot|vs,T2:2;T3:7,6,2,,,,GX-03|GX-09|GX-17,,,54
_MHFSI,_MHFS,genre-attested,6,0,3,hades1|hot|vs,T2:1;T3:5,7,2,,Y,genre/whip,GX-01|GX-05|GX-09|GX-17,,,42
IDHFSC,IDHFS,genre-attested,5,2,5,di|gd|le|poe1|undecember,T1:3;T2b:2,8,9,,,,GX-21,,,40
DRMFHI,DRMFH,genre-attested,4,0,4,d3|poe1|tl2|tq,T1:2;T2:2,9,7,,,,GX-04|GX-11|GX-19,,,36
DRMFLI,DRMFL,genre-attested,4,0,3,d2|poe2|tq,T1:3;T2:1,9,24,Y,,,GX-11,,,36
SMLFSI,SMLFS,genre-attested,4,0,3,chronicon|d2|poe1,T1:3;T2:1,9,19,Y,,,,,,36
IDLFSI,IDLFS,genre-attested,5,0,3,d2|gd|poe1,T1:5,7,16,Y,,,GX-15,,,35
______,_____,genre-attested,8,1,2,di|undecember,T2b:8,4,0,,,,,,,32
SMMFHI,SMMFH,genre-attested,4,0,2,le|poe1,T1:4,7,6,,,,GX-07|GX-19,,,28
_DHFSI,_DHFS,genre-attested,6,0,2,hot|vs,T3:6,4,2,,,,GX-09|GX-10|GX-13|GX-21,,,24
DDMSLI,DDMSL,genre-attested,4,0,4,d2|d4|gd|le,T1:4,6,23,Y,,,GX-03|GX-19,,,24
IDHFSI,IDHFS,genre-attested,4,1,3,le|poe1|poe2,T1:4,6,11,Y,,,GX-01|GX-17,,,24
IMMSSI,IMMSS,genre-attested,3,0,3,d3|d4|poe1,T1:3,8,11,Y,,,GX-02|GX-03|GX-06,,,24
DRHSSI,DRHSS,genre-attested,3,0,3,d2|le|tli,T1:2;T2:1,7,19,Y,Y,d2/javazon,GX-10|GX-14,,,21
IDLFLI,IDLFL,genre-attested,3,0,3,gd|le|tl2,T1:2;T2:1,7,3,,,,GX-03|GX-06,,,21
IRHSSI,IRHSS,genre-attested,3,0,3,d2|d4|poe2,T1:3,7,24,Y,,,GX-17,,,21
IRMSHI,IRMSH,genre-attested,3,0,3,gd|poe1|tli,T1:2;T2:1,7,3,,,,GX-17|GX-19,,,21
SDHFSI,SDHFS,genre-attested,3,0,3,d2|di|gd,T1:2;T2b:1,7,22,Y,,,GX-02|GX-06,,,21
_DMSSI,_DMSS,genre-attested,4,0,3,hades1|hot|vs,T2:1;T3:3,5,2,,,,GX-10|GX-14|GX-15,,,20
DMMSSI,DMMSS,genre-attested,3,0,3,d4|gd|tq,T1:2;T2:1,6,17,Y,,,GX-01|GX-07,,,18
WDHVLI,WDHVL,genre-attested,3,0,2,d2|d4,T1:3,6,23,Y,,,GX-02|GX-09|GX-17,,,18
WRHVSI,WRHVS,genre-attested,3,0,1,poe1,T1:3,6,0,,,,,,,18
IDMFSI,IDMFS,genre-attested,3,0,3,d3|di|undecember,T1:1;T2b:2,5,10,Y,,,GX-05|GX-16|GX-18,,,15
IMLFSI,IMLFS,genre-attested,3,1,2,d4|poe1,T1:3,5,10,Y,,,GX-04|GX-17,,,15
IMMFSI,IMMFS,genre-attested,3,1,3,d4|le|poe2,T1:3,5,5,,,,GX-05|GX-17,,,15
WMHFLI,WMHFL,genre-attested,3,0,2,d2|le,T1:3,5,19,Y,,,GX-02|GX-06,,,15
SMLFHI,SMLFH,genre-attested,2,0,2,poe1|poe2,T1:2,7,11,Y,,,GX-01|GX-04,,,14
DMHFLI,DMHFL,genre-attested,3,0,3,d2|le|poe2,T1:3,4,24,Y,,,GX-09|GX-11|GX-17,,,12
SDMFSI,SDMFS,genre-attested,3,0,3,di|gd|le,T1:2;T2b:1,4,6,,,,GX-10,,,12
