kit_id,name,attr,range,tempo,amp,proxy,commit,econ,elem,provenance,lineage_targets,note,class_v4r2
K1,Heavy Barbarian,S,M,L,S,S,W,__,__ (parametric),CellDef,d2:whirlwind,commit=wind-up CODE-PINNED (CellDef 1),LINEAGE
K2,Light Fighter,S,M,H,F,S,_,__,__ (parametric),CellDef,,,LINEAGE-5
K3,Polearm Soldier,S,M,M,V,S,_,__,__ (parametric),CellDef,,,WHITESPACE
K4,Thrown-Heavy / Atlatl,S,R,L,S,S,_,__,__ (parametric),CellDef,,,VOCAB
K5,Ancestor-Warrior,S,M,L,S,L,_,__,__ (parametric),CellDef,d3:call of the ancients|ancients,shared pool w/ Cell 1,LINEAGE-5
K6,Dagger Assassin,D,M,H,F,S,_,__,__ (parametric),CellDef,,,LINEAGE-5
K7,Archer,D,R,H,F,S,I,__,__ (parametric),CellDef,,commit=snap CODE-PINNED (CellDef 7),LINEAGE
K8,Crossbow Sniper,D,R,L,S,S,_,__,__ (parametric),CellDef,,,VOCAB
K9c,Twin-Blade Fencer (code),D,M,H,V,S,_,__,__ (parametric),CellDef,,CellDef 9; drift recorded,LINEAGE-5
K9f,Twin-Blade Fencer (fired),D,D,H,F,S,_,__,__ (parametric),Sketch-A/batch-1,,batch-1 fired mid/high/flat,LINEAGE-5
K10,Falconer,D,R,H,F,L,_,__,__ (parametric),CellDef,le:falconer,shared pool w/ Cell 7,LINEAGE-5
K11,Trap Assassin,D,D,L,S,H,_,__,__ (parametric),CellDef,d2:trap | poe2:grenade|merc,,LINEAGE-5
K12,Standard Wizard,I,R,M,V,S,_,__,__ (parametric),CellDef,,,LINEAGE-5
K13,Artillery Mage (folded->K12),I,R,L,S,S,_,__,__ (parametric),CellDef,,T4-expressed via K12,LINEAGE-5
K14,Pyromantic Caster,I,D,L,S,S,_,__,__ (parametric),CellDef,,__null__ Stage-3.5 gap-fill,LINEAGE-5
K15,Red Mage / Spellsword,I,M,H,F,S,_,__,__ (parametric),CellDef,,Option C STR substrate,LINEAGE-5
