arena_map,arena_archive,placement,table_index,record,x,y,z
survivalworld_a.map,sm1,52,25,records/scriptentities/rewardchest04.dbr,21.5653,11.9795,11.0331
survivalworld_a.map,sm1,56,29,records/scriptentities/rewardchest03.dbr,26.4043,12.0,15.6062
survivalworld_a.map,sm1,58,31,records/scriptentities/bonuschest02.dbr,32.0,12.0,17.5
survivalworld_a.map,sm1,68,34,records/scriptentities/rewardchest01.dbr,24.5,12.0,22.5
survivalworld_a.map,sm1,70,35,records/scriptentities/rewardchest02.dbr,24.5,12.0,19.0
survivalworld_a.map,sm1,71,36,records/scriptentities/bonuschest01.dbr,24.5,12.0582,19.0
survivalworld_a.map,sm1,98,40,records/scriptentities/rewardchest05.dbr,33.5,12.0838,13.5
survivalworld_a.map,sm1,155,56,records/scriptentities/trappoint_01.dbr,57.5804,8.141,56.2964
survivalworld_a.map,sm1,156,57,records/controllers/controlobjects/patrolpoint_01.dbr,62.8223,7.4798,60.2164
survivalworld_a.map,sm1,225,64,records/scriptentities/trappoint_02.dbr,72.6106,8.2661,43.898
survivalworld_a.map,sm1,231,69,records/scriptentities/trappoint_08.dbr,92.4624,7.9205,39.4998
survivalworld_a.map,sm1,232,70,records/scriptentities/spawnbeacon_02.dbr,85.2985,8.8155,51.0303
survivalworld_a.map,sm1,233,71,records/scriptentities/spawnpoint02.dbr,90.6027,7.6825,32.8984
survivalworld_a.map,sm1,235,57,records/controllers/controlobjects/patrolpoint_01.dbr,95.9063,6.5824,36.8713
survivalworld_a.map,sm1,237,57,records/controllers/controlobjects/patrolpoint_01.dbr,97.1716,7.35,43.5711
survivalworld_a.map,sm1,240,72,records/scriptentities/spawnpoint05.dbr,74.4387,7.5362,66.5362
survivalworld_a.map,sm1,242,57,records/controllers/controlobjects/patrolpoint_01.dbr,69.2878,7.8341,55.3363
survivalworld_a.map,sm1,244,75,records/scriptentities/defensepoint_01.dbr,71.7932,7.7446,57.6527
survivalworld_a.map,sm1,245,76,records/scriptentities/defensepoint_npc_01.dbr,71.7932,7.7446,57.6527
