arena_archive,arena_map,emitter,x,z,arena_centre_x,arena_centre_z,arena_centre_basis,radius_m,bearing_deg,oclock,patrol_r_min,patrol_r_mean,patrol_r_max,n_patrol_points
sm1,survivalworld_a.map,p01_tier01,46.626,74.033,81.26,64.361,centroid of the PatrolPoint_Attack group,35.959,285.6,9.52,5.963,18.202,24.818,11
sm1,survivalworld_a.map,p01_tier02,46.608,74.122,81.26,64.361,centroid of the PatrolPoint_Attack group,36.0,285.73,9.52,5.963,18.202,24.818,11
sm1,survivalworld_a.map,p01_tier03,46.661,73.485,81.26,64.361,centroid of the PatrolPoint_Attack group,35.782,284.77,9.49,5.963,18.202,24.818,11
sm1,survivalworld_a.map,p01_tier04,46.674,74.103,81.26,64.361,centroid of the PatrolPoint_Attack group,35.932,285.73,9.52,5.963,18.202,24.818,11
sm1,survivalworld_a.map,p01_tier05,46.875,74.92,81.26,64.361,centroid of the PatrolPoint_Attack group,35.97,287.07,9.57,5.963,18.202,24.818,11
sm1,survivalworld_a.map,p01_tier06,46.286,74.628,81.26,64.361,centroid of the PatrolPoint_Attack group,36.45,286.36,9.55,5.963,18.202,24.818,11
sm1,survivalworld_a.map,p01_tier07,47.184,73.464,81.26,64.361,centroid of the PatrolPoint_Attack group,35.272,284.96,9.5,5.963,18.202,24.818,11
sm1,survivalworld_a.map,p01_tier08,41.639,83.704,81.26,64.361,centroid of the PatrolPoint_Attack group,44.09,296.02,9.87,5.963,18.202,24.818,11
sm1,survivalworld_a.map,p01_tier09,46.708,74.147,81.26,64.361,centroid of the PatrolPoint_Attack group,35.911,285.81,9.53,5.963,18.202,24.818,11
sm1,survivalworld_a.map,p01_tier10,47.194,73.976,81.26,64.361,centroid of the PatrolPoint_Attack group,35.397,285.76,9.53,5.963,18.202,24.818,11
sm1,survivalworld_a.map,p01_tier11,53.125,83.853,81.26,64.361,centroid of the PatrolPoint_Attack group,34.228,304.71,10.16,5.963,18.202,24.818,11
sm1,survivalworld_a.map,p01_tier12,46.463,73.833,81.26,64.361,centroid of the PatrolPoint_Attack group,36.063,285.23,9.51,5.963,18.202,24.818,11
sm1,survivalworld_a.map,p01_tier13,46.768,73.871,81.26,64.361,centroid of the PatrolPoint_Attack group,35.779,285.42,9.51,5.963,18.202,24.818,11
sm1,survivalworld_a.map,p01_tier14,46.425,73.745,81.26,64.361,centroid of the PatrolPoint_Attack group,36.077,285.08,9.5,5.963,18.202,24.818,11
sm1,survivalworld_a.map,p01_tier15,41.882,90.366,81.26,64.361,centroid of the PatrolPoint_Attack group,47.19,303.44,10.11,5.963,18.202,24.818,11
sm1,survivalworld_a.map,p01_tier16,46.813,73.955,81.26,64.361,centroid of the PatrolPoint_Attack group,35.758,285.56,9.52,5.963,18.202,24.818,11
sm1,survivalworld_a.map,p01_tier17,46.882,74.669,81.26,64.361,centroid of the PatrolPoint_Attack group,35.891,286.69,9.56,5.963,18.202,24.818,11
