arena_map,arena_archive,group,idx,record,x,y,z,r_from_centroid,centroid_x,centroid_z
survivalworld_a.map,sm1,Patrol Points,0,records/controllers/controlobjects/patrolpoint_01.dbr,74.4648,7.4294,59.705,8.2371,81.2601,64.3606
survivalworld_a.map,sm1,Patrol Points,1,records/controllers/controlobjects/patrolpoint_01.dbr,91.8534,7.4319,72.8056,13.5475,81.2601,64.3606
survivalworld_a.map,sm1,Patrol Points,2,records/controllers/controlobjects/patrolpoint_01.dbr,82.3217,7.488,86.2901,21.9552,81.2601,64.3606
survivalworld_a.map,sm1,Patrol Points,3,records/controllers/controlobjects/patrolpoint_01.dbr,66.1306,7.3544,84.0335,24.8178,81.2601,64.3606
survivalworld_a.map,sm1,Patrol Points,4,records/controllers/controlobjects/patrolpoint_01.dbr,59.4402,7.2507,67.5069,22.0456,81.2601,64.3606
survivalworld_a.map,sm1,Patrol Points,5,records/controllers/controlobjects/patrolpoint_01.dbr,66.4017,7.5143,52.9969,18.7058,81.2601,64.3606
survivalworld_a.map,sm1,Patrol Points,6,records/controllers/controlobjects/patrolpoint_01.dbr,82.9431,7.9895,44.5332,19.8988,81.2601,64.3606
survivalworld_a.map,sm1,Patrol Points,7,records/controllers/controlobjects/patrolpoint_01.dbr,94.7311,7.4573,44.8788,23.6857,81.2601,64.3606
survivalworld_a.map,sm1,Patrol Points,8,records/controllers/controlobjects/patrolpoint_01.dbr,105.1545,7.4383,58.8475,24.5221,81.2601,64.3606
survivalworld_a.map,sm1,Patrol Points,9,records/controllers/controlobjects/patrolpoint_01.dbr,94.313,7.5614,75.0099,16.8459,81.2601,64.3606
survivalworld_a.map,sm1,Patrol Points,10,records/controllers/controlobjects/patrolpoint_01.dbr,76.1071,7.4917,61.3596,5.9632,81.2601,64.3606
survivalworld_b.map,sm1,Patrol Points,0,records/controllers/controlobjects/patrolpoint_01.dbr,69.0213,9.3717,62.8119,2.8011,71.0857,64.7052
survivalworld_b.map,sm1,Patrol Points,1,records/controllers/controlobjects/patrolpoint_01.dbr,80.0329,7.9524,73.0419,12.2292,71.0857,64.7052
survivalworld_b.map,sm1,Patrol Points,2,records/controllers/controlobjects/patrolpoint_01.dbr,70.9024,7.95,79.7801,15.076,71.0857,64.7052
survivalworld_b.map,sm1,Patrol Points,3,records/controllers/controlobjects/patrolpoint_01.dbr,60.148,7.95,72.5531,13.4619,71.0857,64.7052
survivalworld_b.map,sm1,Patrol Points,4,records/controllers/controlobjects/patrolpoint_01.dbr,53.072,7.9502,62.0645,18.2062,71.0857,64.7052
survivalworld_b.map,sm1,Patrol Points,5,records/controllers/controlobjects/patrolpoint_01.dbr,59.4848,7.9501,52.939,16.5234,71.0857,64.7052
survivalworld_b.map,sm1,Patrol Points,6,records/controllers/controlobjects/patrolpoint_01.dbr,69.3538,7.95,47.7723,17.0212,71.0857,64.7052
survivalworld_b.map,sm1,Patrol Points,7,records/controllers/controlobjects/patrolpoint_01.dbr,78.4726,7.95,54.9536,12.2336,71.0857,64.7052
survivalworld_b.map,sm1,Patrol Points,8,records/controllers/controlobjects/patrolpoint_01.dbr,86.2175,7.9502,63.4838,15.181,71.0857,64.7052
survivalworld_b.map,sm1,Patrol Points,9,records/controllers/controlobjects/patrolpoint_01.dbr,81.7564,7.9505,74.685,14.6102,71.0857,64.7052
survivalworld_b.map,sm1,Patrol Points,10,records/controllers/controlobjects/patrolpoint_01.dbr,73.4808,9.18,67.6721,3.813,71.0857,64.7052
survivalworld_c.map,sm1,Patrol Points,0,records/controllers/controlobjects/patrolpoint_01.dbr,60.686,17.0,55.7119,8.0953,67.8086,59.5593
survivalworld_c.map,sm1,Patrol Points,1,records/controllers/controlobjects/patrolpoint_01.dbr,77.6624,16.8586,76.1071,19.2594,67.8086,59.5593
survivalworld_c.map,sm1,Patrol Points,2,records/controllers/controlobjects/patrolpoint_01.dbr,61.7089,16.6762,82.4807,23.7191,67.8086,59.5593
survivalworld_c.map,sm1,Patrol Points,3,records/controllers/controlobjects/patrolpoint_01.dbr,46.5105,17.3341,73.3916,25.3957,67.8086,59.5593
survivalworld_c.map,sm1,Patrol Points,4,records/controllers/controlobjects/patrolpoint_01.dbr,48.8654,18.21,56.739,19.152,67.8086,59.5593
survivalworld_c.map,sm1,Patrol Points,5,records/controllers/controlobjects/patrolpoint_01.dbr,63.3222,18.2098,44.0746,16.1215,67.8086,59.5593
survivalworld_c.map,sm1,Patrol Points,6,records/controllers/controlobjects/patrolpoint_01.dbr,67.4687,16.6512,29.7361,29.8252,67.8086,59.5593
survivalworld_c.map,sm1,Patrol Points,7,records/controllers/controlobjects/patrolpoint_01.dbr,83.9767,16.6574,43.3726,22.8783,67.8086,59.5593
survivalworld_c.map,sm1,Patrol Points,8,records/controllers/controlobjects/patrolpoint_01.dbr,88.8342,16.6503,59.7844,21.0268,67.8086,59.5593
survivalworld_c.map,sm1,Patrol Points,9,records/controllers/controlobjects/patrolpoint_01.dbr,80.3736,17.0991,72.3988,17.9648,67.8086,59.5593
survivalworld_c.map,sm1,Patrol Points,10,records/controllers/controlobjects/patrolpoint_01.dbr,66.4863,17.0,61.3554,2.2304,67.8086,59.5593
survivalworld_d.map,sm1,Patrol Points,0,records/controllers/controlobjects/patrolpoint_01.dbr,29.7203,16.4399,81.7143,4.6686,33.5452,84.3911
survivalworld_d.map,sm1,Patrol Points,1,records/controllers/controlobjects/patrolpoint_01.dbr,39.0371,15.2657,96.7755,13.5474,33.5452,84.3911
survivalworld_d.map,sm1,Patrol Points,2,records/controllers/controlobjects/patrolpoint_01.dbr,29.1687,13.9104,105.4146,21.4742,33.5452,84.3911
survivalworld_d.map,sm1,Patrol Points,3,records/controllers/controlobjects/patrolpoint_01.dbr,11.4348,12.374,96.5367,25.2267,33.5452,84.3911
survivalworld_d.map,sm1,Patrol Points,4,records/controllers/controlobjects/patrolpoint_01.dbr,9.7175,12.537,79.4105,24.3428,33.5452,84.3911
survivalworld_d.map,sm1,Patrol Points,5,records/controllers/controlobjects/patrolpoint_01.dbr,24.3914,12.0884,59.3737,26.6396,33.5452,84.3911
survivalworld_d.map,sm1,Patrol Points,6,records/controllers/controlobjects/patrolpoint_01.dbr,44.8069,13.8228,63.677,23.5776,33.5452,84.3911
survivalworld_d.map,sm1,Patrol Points,7,records/controllers/controlobjects/patrolpoint_01.dbr,52.6456,14.239,71.7711,22.893,33.5452,84.3911
survivalworld_d.map,sm1,Patrol Points,8,records/controllers/controlobjects/patrolpoint_01.dbr,54.7553,14.0554,87.9716,21.5101,33.5452,84.3911
survivalworld_d.map,sm1,Patrol Points,9,records/controllers/controlobjects/patrolpoint_01.dbr,41.1853,14.3466,101.1638,18.4307,33.5452,84.3911
survivalworld_d.map,sm1,Patrol Points,10,records/controllers/controlobjects/patrolpoint_01.dbr,32.1347,16.5008,84.4939,1.4142,33.5452,84.3911
survivalworld_e.map,sm1,Patrol Points,0,records/controllers/controlobjects/patrolpoint_01.dbr,64.6051,8.0784,59.1361,6.9379,70.4619,62.8553
survivalworld_e.map,sm1,Patrol Points,1,records/controllers/controlobjects/patrolpoint_01.dbr,82.5927,8.5661,73.7735,16.3207,70.4619,62.8553
survivalworld_e.map,sm1,Patrol Points,2,records/controllers/controlobjects/patrolpoint_01.dbr,70.8326,7.9626,83.0897,20.2378,70.4619,62.8553
survivalworld_e.map,sm1,Patrol Points,3,records/controllers/controlobjects/patrolpoint_01.dbr,59.6885,7.9573,75.8833,16.9055,70.4619,62.8553
survivalworld_e.map,sm1,Patrol Points,4,records/controllers/controlobjects/patrolpoint_01.dbr,51.2933,7.9559,64.5561,19.2439,70.4619,62.8553
survivalworld_e.map,sm1,Patrol Points,5,records/controllers/controlobjects/patrolpoint_01.dbr,55.5078,7.95,49.4036,20.1141,70.4619,62.8553
survivalworld_e.map,sm1,Patrol Points,6,records/controllers/controlobjects/patrolpoint_01.dbr,70.6409,7.8917,43.8962,18.9599,70.4619,62.8553
survivalworld_e.map,sm1,Patrol Points,7,records/controllers/controlobjects/patrolpoint_01.dbr,82.2905,8.2674,48.7555,18.4044,70.4619,62.8553
survivalworld_e.map,sm1,Patrol Points,8,records/controllers/controlobjects/patrolpoint_01.dbr,91.1197,8.0553,60.3417,20.8101,70.4619,62.8553
survivalworld_e.map,sm1,Patrol Points,9,records/controllers/controlobjects/patrolpoint_01.dbr,78.2118,8.0939,69.4478,10.1745,70.4619,62.8553
survivalworld_e.map,sm1,Patrol Points,10,records/controllers/controlobjects/patrolpoint_01.dbr,68.2981,8.5938,63.125,2.1806,70.4619,62.8553
survivalworld_f.map,sm1,Patrol Points,0,records/controllers/controlobjects/patrolpoint_01.dbr,54.1689,4.3,52.023,12.4173,62.6952,61.0503
