wave_fought,gladiator_array_index,characterLifeModifier_pct,lookup_law,record,archive
1,0,95.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
2,1,95.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
3,2,96.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
4,3,96.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
5,4,96.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
6,5,96.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
7,6,96.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
8,7,97.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
9,8,97.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
10,9,97.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
11,10,97.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
12,11,98.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
