record,slot,skill,skill_class,chance_pct,delay_s,timeout_s,range_band,skill_cooldown_s,skill_active_duration_s,skill_charge_duration_s,instant_cast,allows_warmup,warmup_effect,wave_time_s,wave_distance,camera_shake_dur_s,time_between_attacks_ms,target_interval_s,distance_profile,anim_binding_grade,special_anim_ref,fallback_anm,fallback_anm_dur_s,special_anm,special_anm_frames,special_anm_dur_s,projectile,projectile_velocity,projectile_distance,projectile_launch_angle,anm_frames,anm_dur_s,hit_frames,n_hits,windup_s,windup_frac,recovery_s,intra_clip_hit_gap_s,allow_interrupt_frame,root_lock_s,root_lock_frac,root_lock_grade,swipe_on_frames,swipe_off_frames,active_window_s,ps_window_s,fx_first_frame,fx_first_onset_s,fx_entities,n_events
records/creatures/anomalies/aetheranomaly_01_summon.dbr,special1,records/skills/nonplayerskills/buffoffensive/firetrap_suicide.dbr,SkillActivated_Suicide,100.0,,20.0,AnyRange,0.0,,,,,,,,,,,Maximum,NO-REF,,aetherialwisp_attack01.anm,0.8667,,,,,,,,,,,,,,,,,,,,,,,,,,,
records/creatures/anomalies/aetheranomaly_01_summon.dbr,initial,records/skills/nonplayerskills/buffoffensive/wraithwind.dbr,Skill_BuffRadiusToggled,,,,,,,,True,,,,,,,,,NO-REF,,aetherialwisp_attack01.anm,0.8667,,,,,,,,,,,,,,,,,,,,,,,,,,,
records/creatures/anomalies/aethercrystal_darius_summoned.dbr,special1,records/skills/nonplayerskills/attacktendril/aethercrystalsmall_zap.dbr,Skill_AttackSpellChaos,100.0,8.0,6.0,LongRange,,,,,,,,,,,,Maximum,NO-REF,,aetherialwisp_attack01.anm,0.8667,,,,,,,,,,,,,,,,,,,,,,,,,,,
records/creatures/anomalies/aethercrystal_darius_summoned.dbr,initial,records/skills/nonplayerskills/buffattackradius/aethercrystal_aetherfield1.dbr,Skill_BuffAttackRadiusToggled,,,,,,,,True,,,,,,,,Maximum,DIRECT-REF,Summon,,,aetherialwisp_attack01silent.anm,26,0.8667,,,,,26,0.8667,12,1,0.4,0.4615,0.4667,,,0.8667,1.0,MEASURED-NO-INTERRUPT-POINT(full-clip lock),,,,,,,,1
records/creatures/anomalies/aethercrystal_darius_summoned.dbr,dying,records/skills/nonplayerskills/attackradius/dariusaethercrystal_arcaneblast.dbr,Skill_AttackRadius,,,,,,,,,,,,,,,,Short,NO-REF,,aetherialwisp_attack01.anm,0.8667,,,,,,,,,,,,,,,,,,,,,,,,,,,
records/creatures/anomalies/aethercrystal_darius_summoned_02.dbr,special1,records/skills/nonplayerskills/attacktendril/aethercrystalsmall_zap.dbr,Skill_AttackSpellChaos,100.0,8.0,6.0,LongRange,,,,,,,,,,,,Maximum,NO-REF,,aetherialwisp_attack01.anm,0.8667,,,,,,,,,,,,,,,,,,,,,,,,,,,
records/creatures/anomalies/aethercrystal_darius_summoned_02.dbr,initial,records/skills/nonplayerskills/buffattackradius/aethercrystal_aetherfield1.dbr,Skill_BuffAttackRadiusToggled,,,,,,,,True,,,,,,,,Maximum,DIRECT-REF,Summon,,,aetherialwisp_attack01silent.anm,26,0.8667,,,,,26,0.8667,12,1,0.4,0.4615,0.4667,,,0.8667,1.0,MEASURED-NO-INTERRUPT-POINT(full-clip lock),,,,,,,,1
records/creatures/anomalies/aethercrystal_darius_summoned_02.dbr,dying,records/skills/nonplayerskills/attackradius/dariusaethercrystal_arcaneblast.dbr,Skill_AttackRadius,,,,,,,,,,,,,,,,Short,NO-REF,,aetherialwisp_attack01.anm,0.8667,,,,,,,,,,,,,,,,,,,,,,,,,,,
records/creatures/anomalies/aethercrystal_darius_summoned_03.dbr,special1,records/skills/nonplayerskills/attacktendril/aethercrystalsmall_zap.dbr,Skill_AttackSpellChaos,100.0,8.0,6.0,LongRange,,,,,,,,,,,,Maximum,NO-REF,,aetherialwisp_attack01.anm,0.8667,,,,,,,,,,,,,,,,,,,,,,,,,,,
records/creatures/anomalies/aethercrystal_darius_summoned_03.dbr,initial,records/skills/nonplayerskills/buffattackradius/aethercrystal_aetherfield1.dbr,Skill_BuffAttackRadiusToggled,,,,,,,,True,,,,,,,,Maximum,DIRECT-REF,Summon,,,aetherialwisp_attack01silent.anm,26,0.8667,,,,,26,0.8667,12,1,0.4,0.4615,0.4667,,,0.8667,1.0,MEASURED-NO-INTERRUPT-POINT(full-clip lock),,,,,,,,1
records/creatures/anomalies/aethercrystal_darius_summoned_03.dbr,dying,records/skills/nonplayerskills/attackradius/dariusaethercrystal_arcaneblast.dbr,Skill_AttackRadius,,,,,,,,,,,,,,,,Short,NO-REF,,aetherialwisp_attack01.anm,0.8667,,,,,,,,,,,,,,,,,,,,,,,,,,,
records/creatures/enemies/aetherhorrora_a01.dbr,special1,records/skills/nonplayerskills/attackmelee/thornedhorror_slash.dbr,Skill_AttackWeapon,50.0,10.0,3.0,ShortRange,,,,,,,,,,,,Melee,DIRECT-REF,AttackSweep,,,thornedhorrora01_attack_02_cast.anm,51,1.7,,,,,51,1.7,22,1,0.7333,0.4314,0.9667,,,1.7,1.0,MEASURED-NO-INTERRUPT-POINT(full-clip lock),19,,,,15,0.5,GolemRock_RockSmash_Trail_FX01.dbr,3
records/creatures/enemies/aetherialabomination_01.dbr,special1,records/skills/nonplayerskills/attackcharge/aetherialabomination_charge.dbr,Skill_AttackWeaponCharge,100.0,8.0,0.0,LongRange,,,,,True,records/fx/skillclass01/blitz1_warmuploop_fx01.dbr,,,0.25,,,Melee,REF-UNSATISFIED-BY-TABLE,Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
records/creatures/enemies/aetherialabomination_01.dbr,special2,records/skills/nonplayerskills/path/aetherialabomination_aetherwaves.dbr,Skill_AttackWave,100.0,14.0,4.0,MediumRange,,,,,,,0.699999988079071,20.0,0.30000001192092896,,,Moderate,DIRECT-REF,Quake,,,aetherialabomination_attackspecial_a01.anm,101,3.3667,,,,,101,3.3667,20|35|50|65|89,5,0.6667,0.198,0.4,0.575,,3.3667,1.0,MEASURED-NO-INTERRUPT-POINT(full-clip lock),15|30|45|60|85,,,,5,0.1667,AetherialAbomination_Slam_Trail_FX01.dbr,13
records/creatures/enemies/aetherialabomination_01.dbr,special3,records/skills/nonplayerskills/summoning/aetherialabomination_summonaetherfirezombie01.dbr,Skill_SpawnPetMonster,100.0,20.0,10.0,AnyRange,,,,False,,,,,,,,Moderate,DIRECT-REF,Roar,,,aetherialabomination_cast_a01.anm,56,1.8667,,,,,56,1.8667,42,1,1.4,0.75,0.4667,,,1.8667,1.0,MEASURED-NO-INTERRUPT-POINT(full-clip lock),16,,,,,,,3
records/creatures/enemies/aetherialabomination_01.dbr,special4,records/skills/nonplayerskills/bossskills/aetherialabomination_aethershards.dbr,Skill_BuffAttackRadiusToggled,100.0,300.0,5.0,AnyRange,,,,True,,,,,,,,,NO-REF,,aetherialabomination_cast_a01.anm,1.8667,,,,,,,,,,,,,,,,,,,,,,,,,,,
records/creatures/enemies/aetherialbloater_a01.dbr,basic,records/skills/nonplayerskillsgdx1/attackmelee/aetherialbloater_biteweak.dbr,Skill_WeaponPool_ChargedFinale,,,,,,,2.5,,,,,,,,,Melee,DIRECT-REF,Bite,,,aetherialbloater_bite_a01.anm,31,1.0333,,,,,31,1.0333,14,1,0.4667,0.4516,0.5667,,,1.0333,1.0,MEASURED-NO-INTERRUPT-POINT(full-clip lock),9,,,,,,,2
records/creatures/enemies/aetherialbloater_a01.dbr,special1,records/skills/nonplayerskills/attackcharge/genericphysical_charge.dbr,Skill_AttackWeaponCharge,50.0,6.0,1.0,LongRange,,,,,True,,,,,,,Melee,REF-UNSATISFIED-BY-TABLE,Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
records/creatures/enemies/aetherialbloater_b01.dbr,basic,records/skills/nonplayerskillsgdx1/attackmelee/aetherialbloater_bite.dbr,Skill_WeaponPool_ChargedFinale,,,,,,,2.5,,,,,,,,,Melee,DIRECT-REF,Bite,,,aetherialbloater_bite_a01.anm,31,1.0333,,,,,31,1.0333,14,1,0.4667,0.4516,0.5667,,,1.0333,1.0,MEASURED-NO-INTERRUPT-POINT(full-clip lock),9,,,,,,,2
records/creatures/enemies/aetherialbloater_b01.dbr,special1,records/skills/nonplayerskillsgdx1/attackmelee/aetherialbloater_thrash.dbr,Skill_AttackWeapon,100.0,5.0,2.0,ShortRange,,,,,,,,,,,,Melee,DIRECT-REF,Thrash,,,aetherialbloater_attack_c01aether.anm,61,2.0333,,,,,61,2.0333,13|40,2,0.4333,0.2131,0.7,0.9,,2.0333,1.0,MEASURED-NO-INTERRUPT-POINT(full-clip lock),10|36,,,,1,0.0333,ZombieMutant_AetherSmash_Trail_FX01.dbr,6
records/creatures/enemies/aetherialbloater_b01.dbr,special2,records/skills/nonplayerskillsgdx1/path/aetherialbloater_barf.dbr,Skill_AttackWave,100.0,7.0,4.0,ShortRange,3.0,,,,,,0.5,5.0,2.0,,,Melee,DIRECT-REF,Vomit,,,aetherialbloater_vomit_a01.anm,51,1.7,,,,,51,1.7,18,1,0.6,0.3529,1.1,,,1.7,1.0,MEASURED-NO-INTERRUPT-POINT(full-clip lock),9,,,,15,0.5,AetherialBloater_BarfSprayFX.dbr,4
records/creatures/enemies/aetherialbloater_b01.dbr,special3,records/skills/nonplayerskillsgdx1/attackcharge/aetherialbloater_vilecharge.dbr,Skill_AttackWeaponCharge,80.0,7.0,0.0,LongRange,,,,,True,records/fx/skillclass01/blitz1_warmuploop_fx01.dbr,,,0.25,,,Melee,REF-UNSATISFIED-BY-TABLE,Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
records/creatures/enemies/aetherialbloater_b01_summon.dbr,basic,records/skills/nonplayerskillsgdx1/attackmelee/aetherialbloater_bite.dbr,Skill_WeaponPool_ChargedFinale,,,,,,,2.5,,,,,,,,,Melee,DIRECT-REF,Bite,,,aetherialbloater_bite_a01.anm,31,1.0333,,,,,31,1.0333,14,1,0.4667,0.4516,0.5667,,,1.0333,1.0,MEASURED-NO-INTERRUPT-POINT(full-clip lock),9,,,,,,,2
records/creatures/enemies/aetherialbloater_b01_summon.dbr,special1,records/skills/nonplayerskillsgdx1/attackmelee/aetherialbloater_thrash.dbr,Skill_AttackWeapon,100.0,5.0,2.0,ShortRange,,,,,,,,,,,,Melee,DIRECT-REF,Thrash,,,aetherialbloater_attack_c01aether.anm,61,2.0333,,,,,61,2.0333,13|40,2,0.4333,0.2131,0.7,0.9,,2.0333,1.0,MEASURED-NO-INTERRUPT-POINT(full-clip lock),10|36,,,,1,0.0333,ZombieMutant_AetherSmash_Trail_FX01.dbr,6
