record,status,arz_owners,anim_table,controller,monster_classification,character_attack_speed,character_attack_speed_tag,character_spellcast_speed,character_run_speed,walk_speed,run_speed_jitter,min_rotation_speed,max_rotation_speed,num_attack_slots,waiting_anim_delay_ms,death_anim_blend_time,basic_attack_anims,basic_attack_anim_weights,basic_attack_anim_speeds,basic_attack_anim_durs_s,basic_attack_dur_s,basic_swing_period_s,anim_classes_alt,ctrl_max_swing_pause,ctrl_reposition_chance,ctrl_dodge_chance,ctrl_dodge_delay,ctrl_pursuit_time_ms,ctrl_view_distance,ctrl_inner_view_distance,ctrl_flee_behavior,ctrl_enemy_too_close,basic_anm_frames,basic_anm_dur_s,basic_hit_frames,basic_n_hits,basic_windup_s,basic_windup_frac,basic_recovery_s,basic_intra_clip_hit_gap_s,basic_allow_interrupt_frame,basic_root_lock_s,basic_root_lock_frac,basic_root_lock_grade,basic_swipe_on_frames,basic_swipe_off_frames,basic_active_window_s,basic_ps_window_s,basic_fx_first_frame,basic_fx_first_onset_s,basic_fx_entities,basic_n_events
records/creatures/anomalies/aetheranomaly_01_summon.dbr,OK,gdx1,records/creatures/anomalies/anm/anm_anomaly_a01.dbr,records/controllers/anomaly/controller_aetherialanomaly.dbr,Common,0.20000000298023224,CharacterAttackSpeedAverage,1.0,0.36000001430511475,1.0,0.0,2.0,3.0,4,5000,250.0,aetherialwisp_attack01.anm|aetherialwisp_attack02.anm,100.0|100.0,1.25|1.25,0.6933|0.6933,0.6933,3.4667,,,0,0,0,4000,16.0,8.0,NeverFlee,8.0,26,0.8667,12,1,0.4,0.4615,0.4667,,,0.8667,1.0,MEASURED-NO-INTERRUPT-POINT(full-clip lock),,,,,,,,2
records/creatures/anomalies/aethercrystal_darius_summoned.dbr,OK,base,records/creatures/anomalies/anm/anm_aetherialcrystal_darius_summoned_a01.dbr,records/controllers/anomaly/controller_aethercrystalsummon.dbr,Champion,0.4000000059604645,CharacterAttackSpeedAverage,1.0,0.800000011920929,1.0,0.0,2.0,3.0,4,5000,250.0,aetherialwisp_attack01.anm|aetherialwisp_attack02.anm,100.0|100.0,1.25|1.25,0.6933|0.6933,0.6933,1.7333,,,0,0,,90000,25.0,20.0,NeverFlee,0.0,26,0.8667,12,1,0.4,0.4615,0.4667,,,0.8667,1.0,MEASURED-NO-INTERRUPT-POINT(full-clip lock),,,,,,,,2
records/creatures/anomalies/aethercrystal_darius_summoned_02.dbr,OK,base,records/creatures/anomalies/anm/anm_aetherialcrystal_darius_summoned_a01.dbr,records/controllers/anomaly/controller_aethercrystalsummon.dbr,Champion,0.4000000059604645,CharacterAttackSpeedAverage,1.0,0.800000011920929,1.0,0.0,2.0,3.0,4,5000,250.0,aetherialwisp_attack01.anm|aetherialwisp_attack02.anm,100.0|100.0,1.25|1.25,0.6933|0.6933,0.6933,1.7333,,,0,0,,90000,25.0,20.0,NeverFlee,0.0,26,0.8667,12,1,0.4,0.4615,0.4667,,,0.8667,1.0,MEASURED-NO-INTERRUPT-POINT(full-clip lock),,,,,,,,2
records/creatures/anomalies/aethercrystal_darius_summoned_03.dbr,OK,base,records/creatures/anomalies/anm/anm_aetherialcrystal_darius_summoned_a01.dbr,records/controllers/anomaly/controller_aethercrystalsummon.dbr,Champion,0.4000000059604645,CharacterAttackSpeedAverage,1.0,0.800000011920929,1.0,0.0,2.0,3.0,4,5000,250.0,aetherialwisp_attack01.anm|aetherialwisp_attack02.anm,100.0|100.0,1.25|1.25,0.6933|0.6933,0.6933,1.7333,,,0,0,,90000,25.0,20.0,NeverFlee,0.0,26,0.8667,12,1,0.4,0.4615,0.4667,,,0.8667,1.0,MEASURED-NO-INTERRUPT-POINT(full-clip lock),,,,,,,,2
records/creatures/enemies/aetherhorrora_a01.dbr,OK,base|gdx3|sm_mod,records/creatures/enemies/anm/anm_thornedhorror.dbr,records/controllers/enemy/controller_thornedhorror.dbr,Champion,1.0,CharacterAttackSpeedAverage,1.0,1.2000000476837158,1.25,20.0,4.0,8.0,4,5000,250.0,thornedhorrora01_attack_01.anm|thornedhorrora01_attack_02.anm|thornedhorrora01_attack_01.anm,100.0|100.0|100.0,1.0|1.0|1.0,1.7000|1.7000|1.7000,1.7,1.7,,0.6000000238418579,0,0,0,12000,80.0,12.0,NeverFlee,0.0,51,1.7,23,1,0.7667,0.451,0.9333,,,1.7,1.0,MEASURED-NO-INTERRUPT-POINT(full-clip lock),19,,,,,,,2
records/creatures/enemies/aetherialabomination_01.dbr,OK,base|sm_mod,records/creatures/enemies/anm/anm_aetherial_abomination.dbr,records/controllers/enemy/controller_boss_aetherialabomination.dbr,Champion,1.149999976158142,CharacterAttackSpeedAverage,1.149999976158142,1.25,1.0,,4.0,8.0,4,5000,250.0,aetherialabomination_attack_a01.anm|aetherialabomination_attack_b01.anm,100.0|100.0,1.25|1.25,1.3067|1.6267,1.4667,1.2754,,0.5,100,0,0,10000,80.0,12.0,NeverFlee,0.0,49,1.6333,25,1,0.8333,0.5102,0.8,,,1.6333,1.0,MEASURED-NO-INTERRUPT-POINT(full-clip lock),22,,,,,,,2
records/creatures/enemies/aetherialbloater_a01.dbr,OK,gdx1|gdx3|sm1,records/creatures/enemies/anm/anm_aetherialbloater.dbr,records/controllers/enemy/controller_aetherialbloater.dbr,Common,1.0,CharacterAttackSpeedAverage,1.0,1.100000023841858,1.0,10.0,4.0,8.0,4,5000,250.0,aetherialbloater_attack_a01.anm|aetherialbloater_attack_b01.anm|aetherialbloater_attack_c01.anm,100.0|100.0|100.0,1.25|1.25|1.25,1.0933|1.0933|1.6267,1.2711,1.2711,,0.30000001192092896,0,0,0,10000,80.0,12.0,NeverFlee,0.0,41,1.3667,14,1,0.4667,0.3415,0.9,,,1.3667,1.0,MEASURED-NO-INTERRUPT-POINT(full-clip lock),11,,,,,,,2
records/creatures/enemies/aetherialbloater_b01.dbr,OK,gdx1|gdx3|sm1,records/creatures/enemies/anm/anm_aetherialbloater.dbr,records/controllers/enemy/controller_aetherialbloater.dbr,Champion,1.0,CharacterAttackSpeedAverage,1.0,0.8999999761581421,1.0,25.0,4.0,8.0,4,5000,250.0,aetherialbloater_attack_a01.anm|aetherialbloater_attack_b01.anm|aetherialbloater_attack_c01.anm,100.0|100.0|100.0,1.25|1.25|1.25,1.0933|1.0933|1.6267,1.2711,1.2711,,0.30000001192092896,0,0,0,10000,80.0,12.0,NeverFlee,0.0,41,1.3667,14,1,0.4667,0.3415,0.9,,,1.3667,1.0,MEASURED-NO-INTERRUPT-POINT(full-clip lock),11,,,,,,,2
records/creatures/enemies/aetherialbloater_b01_summon.dbr,OK,gdx1|sm1,records/creatures/enemies/anm/anm_aetherialbloater.dbr,records/controllers/enemy/controller_aetherialbloater.dbr,Champion,1.0,CharacterAttackSpeedAverage,1.0,0.8999999761581421,1.0,25.0,4.0,8.0,4,5000,250.0,aetherialbloater_attack_a01.anm|aetherialbloater_attack_b01.anm|aetherialbloater_attack_c01.anm,100.0|100.0|100.0,1.25|1.25|1.25,1.0933|1.0933|1.6267,1.2711,1.2711,,0.30000001192092896,0,0,0,10000,80.0,12.0,NeverFlee,0.0,41,1.3667,14,1,0.4667,0.3415,0.9,,,1.3667,1.0,MEASURED-NO-INTERRUPT-POINT(full-clip lock),11,,,,,,,2
records/creatures/enemies/aetherialbloater_c01.dbr,OK,gdx1|gdx3|sm1,records/creatures/enemies/anm/anm_aetherialbloater.dbr,records/controllers/enemy/controller_aetherialbloater.dbr,Champion,1.0,CharacterAttackSpeedAverage,1.0,0.8999999761581421,1.0,25.0,4.0,8.0,4,5000,250.0,aetherialbloater_attack_a01.anm|aetherialbloater_attack_b01.anm|aetherialbloater_attack_c01.anm,100.0|100.0|100.0,1.25|1.25|1.25,1.0933|1.0933|1.6267,1.2711,1.2711,,0.30000001192092896,0,0,0,10000,80.0,12.0,NeverFlee,0.0,41,1.3667,14,1,0.4667,0.3415,0.9,,,1.3667,1.0,MEASURED-NO-INTERRUPT-POINT(full-clip lock),11,,,,,,,2
records/creatures/enemies/aetherialbloater_c01_summon.dbr,OK,gdx1|sm1,records/creatures/enemies/anm/anm_aetherialbloater.dbr,records/controllers/enemy/controller_aetherialbloater.dbr,Champion,1.0,CharacterAttackSpeedAverage,1.0,0.8999999761581421,1.0,25.0,4.0,8.0,4,5000,250.0,aetherialbloater_attack_a01.anm|aetherialbloater_attack_b01.anm|aetherialbloater_attack_c01.anm,100.0|100.0|100.0,1.25|1.25|1.25,1.0933|1.0933|1.6267,1.2711,1.2711,,0.30000001192092896,0,0,0,10000,80.0,12.0,NeverFlee,0.0,41,1.3667,14,1,0.4667,0.3415,0.9,,,1.3667,1.0,MEASURED-NO-INTERRUPT-POINT(full-clip lock),11,,,,,,,2
records/creatures/enemies/aetherialcolossus_c02_summon.dbr,OK,gdx1|sm1,records/creatures/enemies/anm/anm_aetherialcolossus.dbr,records/controllers/enemy/controller_aetherialcolossus.dbr,Champion,1.399999976158142,CharacterAttackSpeedAverage,1.350000023841858,0.8999999761581421,1.0,25.0,4.0,8.0,4,5000,250.0,aetherialcolossus_attack_a01.anm|aetherialcolossus_attack_b01.anm,100.0|100.0,1.25|1.25,1.7333|1.6267,1.68,1.2,,0.30000001192092896,0,0,0,10000,80.0,12.0,NeverFlee,0.0,65,2.1667,23,1,0.7667,0.3538,1.4,,,2.1667,1.0,MEASURED-NO-INTERRUPT-POINT(full-clip lock),18,,,,,,,2
records/creatures/enemies/aetherialcorruption_a01.dbr,OK,gdx1|sm1,records/creatures/enemies/anm/anm_aetherialcorruption.dbr,records/controllers/enemy/controller_aetherialcorruption.dbr,Common,1.149999976158142,CharacterAttackSpeedAverage,1.0,1.149999976158142,0.800000011920929,15.0,4.0,9.0,4,5000,250.0,aetherialcorruption_attack_b01.anm|aetherialcorruption_attack_d01.anm|aetherialcorruption_attack_e01.anm,100.0|100.0|100.0,1.25|1.25|1.25,1.2267|1.3067|1.2533,1.2622,1.0976,sHanded|dHanded,1.100000023841858,0,0,0,10000,80.0,12.0,NeverFlee,0.0,46,1.5333,17,1,0.5667,0.3696,0.9667,,,1.5333,1.0,MEASURED-NO-INTERRUPT-POINT(full-clip lock),15,,,,,,,2
