stat,value,unit,source_screenshot_or_gdc,notes
character_name,EoRWarlGuts,text,"screenshot 495; screenshot 508; gdc header",gdc header name field matches exactly
character_class,Warlord,text,"screenshot 495; screenshot 508",Soldier + Oathkeeper
class_tag,tagSkillClassName0109,text,gdc header,01=Soldier 09=Oathkeeper — confirms Warlord
level,100,level,"screenshot 495; screenshot 508; gdc header; gdc block2",three-way agreement
experience,28475316,xp,gdc block2,not shown on sheet
hardcore,0,bool,gdc header,softcore
difficulty,Ultimate,text,gdc block1 raw byte 2,byte value 2; label inferred from GD difficulty enum — UNCERTAIN label
physique,914,points,"screenshot 495; screenshot 508",sheet total (base + gear + skills)
cunning,1219,points,"screenshot 495; screenshot 508",sheet total
spirit,398,points,"screenshot 495; screenshot 508",sheet total
health_current,20005,hp,"screenshot 495; screenshot 508",displayed 20005 / 20005
health_max,20005,hp,"screenshot 495; screenshot 508",EXACT match to PM-1 baton player_hp track
energy_current,1594,energy,"screenshot 495; screenshot 508",displayed 1594 / 2576
energy_max,2576,energy,"screenshot 495; screenshot 508",
offensive_ability,3259,OA,"screenshot 495; screenshot 508",
defensive_ability,2591,DA,"screenshot 495; screenshot 508",
damage_per_second,20233,dps,"screenshot 495; screenshot 508",GD's own sheet DPS estimate; not a sim input
armor_rating,3557,armor,"screenshot 495; screenshot 508",
armor_absorption_pct,GAP,percent,NOT CAPTURED,"Armor Rating (?) tooltip never hovered in the 117-frame corpus; GD default is 70% absorption but that is NOT measured here — sim must declare its assumption (GL-12)"
resist_fire,80,percent,"screenshot 495; screenshot 508",page-I resistance grid row 1 slot 1
resist_cold,80,percent,"screenshot 495; screenshot 508",row 1 slot 2
resist_lightning,80,percent,"screenshot 495; screenshot 508",row 1 slot 3
resist_acid_poison,80,percent,"screenshot 495; screenshot 508",row 1 slot 4
resist_pierce,80,percent,"screenshot 495; screenshot 508",row 1 slot 5
resist_bleeding,85,percent,"screenshot 495; screenshot 508",row 2 slot 1
resist_vitality,80,percent,"screenshot 495; screenshot 508",row 2 slot 2
resist_aether,80,percent,"screenshot 495; screenshot 508",row 2 slot 3
