actor_kind,owner_record,record,display_name,stratum,level_used,surface,slot,tree_index,skill,skill_class,root_skill,nest_depth,nest_via_field,nest_parent_skill,provenance_dbr_path,arz_owners,damage_type,template_group,kind,rank_source,skill_level_equation,rank_raw,rank_used,n_ranks,rank_grade,char_level_equation,char_level_adjusted,rank_used_alt_basis,min,max,max_effective,min_grade,max_grade,dot_duration_s,dot_duration_max_s,dot_dps_if_field_is_per_second,dot_dps_if_field_is_total,chance_pct,is_global,is_xor,modifier_pct,skill_cooldown_s,skill_charge_duration_s,skill_active_duration_s,skill_target_radius,skill_target_number,skill_target_angle,skill_target_interval_s,time_between_attacks_ms,rank_table_min,rank_table_max,rank_table_duration,status,projectile,projectile_velocity,projectile_distance,projectile_launch_angle,projectile_explosion_radius,projectile_number,projectile_launch_number,projectile_piercing_chance,projectile_dmg_range1_min,projectile_dmg_range1_max,projectile_dmg_range1_scale,projectile_dmg_range2_min,projectile_dmg_range2_max,projectile_dmg_range2_scale,projectile_dmg_range3_min,projectile_dmg_range3_max,projectile_dmg_range3_scale,wave_start_width,wave_end_width,wave_depth,wave_distance,wave_time_s,expansion_time_s,skill_allows_warmup,warmup_effect,skill_charge_level,camera_shake_duration_s,weapon_damage_pct,instant_cast,distance_profile
roster,,records/creatures/enemies/boss&quest/aetherial_enclave_sideboss01.dbr,Dreven Cole,boss&quest,109,slot,basic,,records/skills/nonplayerskillsgdx1/bossskills/malmouthenclave_aethershard.dbr,Skill_AttackProjectile,records/skills/nonplayerskillsgdx1/bossskills/malmouthenclave_aethershard.dbr,0,,,records/skills/nonplayerskillsgdx1/bossskills/malmouthenclave_aethershard.dbr,gdx1,Aether,Offensive Aether,direct,TREE-LEVEL-EQUATION,charLevel/4+1,28.25,28,60,MEASURED,charLevel*1+2,111.0,28,774.0,0.0,774.0,EXACT,SCALAR,,,,,0.0,False,False,0.0,,,5.0,,,,,,29|39|46|55|68|89|111|134|158|185|211|240|268|298|328|358|391|421|455|486|522|556|590|626|661|700|738|774|814|852|891|931|971|1012|1054|1095|1139|1179|1222|1265|1311|1355|1400|1446|1491|1536|1581|1629|1678|1724|1772|1821|1869|1918|1968|2019|2069|2119|2169|2222,0,,OK,records/fx/skillsother/projectile_aoe/aetherconflagration_projectilefx01.dbr,15.0,19.0,35.0,3.0,1,,,,,,,,,,,,,,,,,,,,,,,,Long
roster,,records/creatures/enemies/boss&quest/aetherial_enclave_sideboss01.dbr,Dreven Cole,boss&quest,109,slot,basic,,records/skills/nonplayerskillsgdx1/bossskills/malmouthenclave_aethershard.dbr,Skill_AttackProjectile,records/skills/nonplayerskillsgdx1/bossskills/malmouthenclave_aethershard.dbr,0,,,records/skills/nonplayerskillsgdx1/bossskills/malmouthenclave_aethershard.dbr,gdx1,TotalDamageReductionPercent,Total Damage Reduction Percent,modifier,TREE-LEVEL-EQUATION,charLevel/4+1,28.25,28,60,MEASURED,charLevel*1+2,111.0,28,44.0,,44.0,EXACT,ABSENT,2.0,,,,,,,,,,5.0,,,,,,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|44|44|44|44|44|44|44|44|44|44|44|44|44|44|44|44|44|44|44|44|44|44|44|44|44|44|44|44|44|44|44|44|44|44|44|44|44|44|44|44|44|44|44|44|44,,2,OK,records/fx/skillsother/projectile_aoe/aetherconflagration_projectilefx01.dbr,15.0,19.0,35.0,3.0,1,,,,,,,,,,,,,,,,,,,,,,,,Long
roster,,records/creatures/enemies/boss&quest/aetherial_enclave_sideboss01.dbr,Dreven Cole,boss&quest,109,slot,special1,,records/skills/nonplayerskillsgdx1/bossskills/malmouthenclave_aetherburst.dbr,Skill_AttackProjectileBurst,records/skills/nonplayerskillsgdx1/bossskills/malmouthenclave_aetherburst.dbr,0,,,records/skills/nonplayerskillsgdx1/bossskills/malmouthenclave_aetherburst.dbr,gdx1,Aether,Offensive Aether,direct,TREE-LEVEL-EQUATION,charLevel/4+1,28.25,28,60,MEASURED,charLevel*1+2,111.0,28,1238.0,,1238.0,EXACT,ABSENT,,,,,0.0,False,False,0.0,,,,,,,,,70|108|144|178|214|255|299|339|375|418|462|497|545|585|633|676|724|767|811|859|899|948|998|1040|1089|1132|1178|1238|1287|1330|1382|1432|1475|1528|1575|1628|1678|1725|1776|1831|1878|1931|1982|2031|2080|2139|2189|2237|2296|2344|2397|2450|2502|2556|2611|2663|2710|2770|2826|2877,,,OK,records/fx/skillsother/itemskills/aethermissile_fxprojectile.dbr,18.0,18.0,35.0,1.5,,3,,0.0,3.0,40,3.0,10.0,100,10.0,20.0,135,,,,,,,,,,,,,Long
roster,,records/creatures/enemies/boss&quest/aetherial_enclave_sideboss01.dbr,Dreven Cole,boss&quest,109,slot,special1,,records/skills/nonplayerskillsgdx1/bossskills/malmouthenclave_aetherburst.dbr,Skill_AttackProjectileBurst,records/skills/nonplayerskillsgdx1/bossskills/malmouthenclave_aetherburst.dbr,0,,,records/skills/nonplayerskillsgdx1/bossskills/malmouthenclave_aetherburst.dbr,gdx1,SlowLightning,Offensive Slow Lightning,dot,TREE-LEVEL-EQUATION,charLevel/4+1,28.25,28,60,MEASURED,charLevel*1+2,111.0,28,533.0,0.0,533.0,EXACT,SCALAR,2.0,0.0,533.0,266.5,0.0,False,False,0.0,,,,,,,,,25|40|56|70|86|104|122|140|156|176|194|210|231|247|269|287|307|327|346|368|386|407|427|446|468|487|508|533|553|575|594|617|636|661|678|702|725|748|769|790|814|835|856|880|902|924|948|970|995|1016|1037|1061|1084|1109|1130|1154|1178|1201|1226|1248,0,2,OK,records/fx/skillsother/itemskills/aethermissile_fxprojectile.dbr,18.0,18.0,35.0,1.5,,3,,0.0,3.0,40,3.0,10.0,100,10.0,20.0,135,,,,,,,,,,,,,Long
roster,,records/creatures/enemies/boss&quest/aetherial_enclave_sideboss01.dbr,Dreven Cole,boss&quest,109,slot,special2,,records/skills/nonplayerskillsgdx1/bossskills/malmouthcouncil_stormboltnova.dbr,Skill_AttackProjectileRing,records/skills/nonplayerskillsgdx1/bossskills/malmouthcouncil_stormboltnova.dbr,0,,,records/skills/nonplayerskillsgdx1/bossskills/malmouthcouncil_stormboltnova.dbr,gdx1,Aether,Offensive Aether,direct,TREE-LEVEL-EQUATION,charLevel/4+1,28.25,28,60,MEASURED,charLevel*1+2,111.0,28,876.0,0.0,876.0,EXACT,SCALAR,,,,,0.0,False,False,0.0,,,,,,,,,50|72|98|123|150|177|206|234|263|292|322|353|383|415|446|477|510|542|574|607|640|673|706|741|774|808|842|876|911|946|981|1016|1051|1087|1122|1158|1194|1229|1266|1302|1339|1375|1412|1449|1486|1523|1559|1597|1634|1672|1710|1747|1785|1823|1861|1900|1938|1976|2015|2053,0,,OK,records/fx/skillsother/projectile/lightningorbburst_fxprojectile.dbr,16.0,20.0,,1.5,,12,,,3.0,40,3.0,10.0,100,10.0,20.0,135,,,,,,,,,,,,,Long
roster,,records/creatures/enemies/boss&quest/aetherial_enclave_sideboss01.dbr,Dreven Cole,boss&quest,109,slot,special2,,records/skills/nonplayerskillsgdx1/bossskills/malmouthcouncil_stormboltnova.dbr,Skill_AttackProjectileRing,records/skills/nonplayerskillsgdx1/bossskills/malmouthcouncil_stormboltnova.dbr,0,,,records/skills/nonplayerskillsgdx1/bossskills/malmouthcouncil_stormboltnova.dbr,gdx1,Lightning,Offensive Lightning,direct,TREE-LEVEL-EQUATION,charLevel/4+1,28.25,28,60,MEASURED,charLevel*1+2,111.0,28,901.0,,901.0,EXACT,ABSENT,,,,,0.0,False,False,0.0,,,,,,,,,50|61|74|87|100|113|128|142|157|171|186|201|217|233|248|502|535|567|599|632|665|698|731|766|799|833|867|901|936|971|1006|1041|1076|1112|1147|1183|1219|1254|1291|1327|1364|1400|1437|1474|1511|1548|1584|1622|1659|1697|1735|1772|1810|1848|1886|1925|1963|2001|2040|2078,,,OK,records/fx/skillsother/projectile/lightningorbburst_fxprojectile.dbr,16.0,20.0,,1.5,,12,,,3.0,40,3.0,10.0,100,10.0,20.0,135,,,,,,,,,,,,,Long
roster,,records/creatures/enemies/boss&quest/aetherial_enclave_sideboss01.dbr,Dreven Cole,boss&quest,109,slot,special2,,records/skills/nonplayerskillsgdx1/bossskills/malmouthcouncil_stormboltnova.dbr,Skill_AttackProjectileRing,records/skills/nonplayerskillsgdx1/bossskills/malmouthcouncil_stormboltnova.dbr,0,,,records/skills/nonplayerskillsgdx1/bossskills/malmouthcouncil_stormboltnova.dbr,gdx1,SlowLightning,Offensive Slow Lightning,dot,TREE-LEVEL-EQUATION,charLevel/4+1,28.25,28,60,MEASURED,charLevel*1+2,111.0,28,377.0,0.0,377.0,EXACT,SCALAR,3.0,0.0,377.0,125.6667,0.0,False,False,0.0,,,,,,,,,17|28|39|50|62|74|86|98|111|124|137|150|163|177|190|204|218|232|246|260|275|289|304|318|333|348|362|377|392|407|422|438|453|468|484|499|515|530|546|562|578|593|609|625|641|657|673|690|706|722|738|755|771|788|804|821|837|854|870|887,0,3,OK,records/fx/skillsother/projectile/lightningorbburst_fxprojectile.dbr,16.0,20.0,,1.5,,12,,,3.0,40,3.0,10.0,100,10.0,20.0,135,,,,,,,,,,,,,Long
roster,,records/creatures/enemies/boss&quest/aetherial_enclave_sideboss01.dbr,Dreven Cole,boss&quest,109,slot,special2,,records/skills/nonplayerskillsgdx1/bossskills/malmouthcouncil_stormboltnova.dbr,Skill_AttackProjectileRing,records/skills/nonplayerskillsgdx1/bossskills/malmouthcouncil_stormboltnova.dbr,0,,,records/skills/nonplayerskillsgdx1/bossskills/malmouthcouncil_stormboltnova.dbr,gdx1,Stun,Stun,control,TREE-LEVEL-EQUATION,charLevel/4+1,28.25,28,60,MEASURED,charLevel*1+2,111.0,28,1.0,0.0,1.0,SCALAR,SCALAR,,,,,,,False,0.0,,,,,,,,,1,0,,OK,records/fx/skillsother/projectile/lightningorbburst_fxprojectile.dbr,16.0,20.0,,1.5,,12,,,3.0,40,3.0,10.0,100,10.0,20.0,135,,,,,,,,,,,,,Long
roster,,records/creatures/enemies/boss&quest/aetherial_enclave_sideboss01.dbr,Dreven Cole,boss&quest,109,slot,special4,,records/skills/nonplayerskillsgdx1/bossskills/malmouthcouncil_squall.dbr,Skill_AttackProjectileAreaEffect,records/skills/nonplayerskillsgdx1/bossskills/malmouthcouncil_squall.dbr,0,,,records/skills/nonplayerskillsgdx1/bossskills/malmouthcouncil_squall.dbr,gdx1,Lightning,Offensive Lightning,direct,TREE-LEVEL-EQUATION,charLevel/4+1,28.25,28,60,MEASURED,charLevel*1+2,111.0,28,652.0,,652.0,EXACT,ABSENT,,,,,0.0,False,False,0.0,,,6.0,,,,,,29|48|68|86|108|128|149|169|192|214|237|259|282|306|328|352|376|402|426|450|476|500|525|549|576|601|626|652|678|704|730|757|783|809|837|863|891|916|944|972|999|1025|1053|1080|1108|1136|1164|1193|1221|1249|1276|1306|1333|1362|1390|1419|1447|1476|1504|1534,,,OK,records/fx/skillsother/projectile_aoe/fx_harpy_stormcloud_projectile01.dbr,,20.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,Maximum
roster,,records/creatures/enemies/boss&quest/aetherial_enclave_sideboss01.dbr,Dreven Cole,boss&quest,109,slot,special4,,records/skills/nonplayerskillsgdx1/bossskills/malmouthcouncil_squall.dbr,Skill_AttackProjectileAreaEffect,records/skills/nonplayerskillsgdx1/bossskills/malmouthcouncil_squall.dbr,0,,,records/skills/nonplayerskillsgdx1/bossskills/malmouthcouncil_squall.dbr,gdx1,SlowLightning,Offensive Slow Lightning,dot,TREE-LEVEL-EQUATION,charLevel/4+1,28.25,28,60,MEASURED,charLevel*1+2,111.0,28,429.0,0.0,429.0,EXACT,SCALAR,2.0,0.0,429.0,214.5,0.0,False,False,0.0,,,6.0,,,,,,15|28|40|53|67|80|94|108|123|138|153|168|183|199|214|230|246|262|278|294|312|328|345|361|378|396|412|429|446|464|481|499|516|534|552|569|588|605|623|642|660|677|696|714|732|751|769|789|807|826|844|864|882|902|920|940|958|978|996|1016,0,2,OK,records/fx/skillsother/projectile_aoe/fx_harpy_stormcloud_projectile01.dbr,,20.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,Maximum
