record,display_name,stratum,level_used,bio_record,offensive_ability_base,defensive_ability_base,base_life,creature_own_oa_flat,creature_own_da_flat,creature_oa_modifier_pct,creature_da_modifier_pct,tree_oa_flat_sum,tree_da_flat_sum,tree_oa_sources,tree_da_sources,grade
records/creatures/enemies/boss&quest/aetherial_enclave_sideboss01.dbr,Dreven Cole,boss&quest,109,records/creatures/enemies/bios/bio_boss_aetherialroguelike_vanaldritch_01.dbr,863.0,791.2,365039,0.0,0.0,0.0,0.0,-4.0,0.0,damagebase_physical02=-4,,MEASURED
records/creatures/enemies/boss&quest/aetherial_enclave_sideboss02.dbr,Cyrian Marcan,boss&quest,109,records/creatures/enemies/bios/bio_boss_aetherialroguelike_reanimator_01.dbr,863.0,791.2,314752,0.0,0.0,0.0,0.0,-4.0,0.0,damagebase_physical02=-4,,MEASURED
records/creatures/enemies/boss&quest/aetherial_guardian02.dbr,"Rodalgar, the Flesh Collector",boss&quest,109,records/creatures/enemies/bios/bio_boss_aetherial_factoryguardian_02.dbr,863.0,736.7,187491,0.0,0.0,0.0,0.0,0.0,0.0,,,MEASURED
records/creatures/enemies/boss&quest/aetherialbloater_malmouthdocks_01.dbr,Blugrug the Living Plague,boss&quest,109,records/creatures/enemies/bios/bio_boss_aetherialbloater_malmouthdocks_01.dbr,863.0,736.7,187491,0.0,0.0,0.0,0.0,0.0,0.0,,,MEASURED
records/creatures/enemies/boss&quest/aetherialcommander_01.dbr,Commander Lucius,boss&quest,106,records/creatures/enemies/bios/bio_boss_possessedcommander_01.dbr,842.0,739.0,207185,0.0,0.0,0.0,0.0,0.0,0.0,,,MEASURED
records/creatures/enemies/boss&quest/aetherialcorruption_intro.dbr,"Dralgar, the Keeper of Burrwitch",boss&quest,109,records/creatures/enemies/bios/bio_boss_aetherial_intro.dbr,863.0,736.7,134300,0.0,0.0,0.0,0.0,0.0,0.0,,,MEASURED
records/creatures/enemies/boss&quest/basilisk_witchritual.dbr,Stone Basilisk,boss&quest,109,records/creatures/enemies/bios/bio_boss_basilisk_witchritual01.dbr,863.0,736.7,187491,0.0,0.0,0.0,0.0,0.0,0.0,,,MEASURED
records/creatures/enemies/boss&quest/chthonian_chthonicroguelike_02.dbr,"Shar'Zul, Harbinger of Chaos",boss&quest,106,records/creatures/enemies/bios/bio_boss_bastionofchaos_chthoniandreadguard_01.dbr,842.0,760.2,207185,0.0,0.0,0.0,0.0,0.0,100.0,,sharzul_laststand=100,MEASURED
records/creatures/enemies/boss&quest/chthonianrylok_gabalthunn.dbr,"Gabal'Thunn, the Visage of Madness",boss&quest,106,records/creatures/enemies/bios/bio_boss_chthonian_gabalthunn.dbr,842.0,717.8,179825,0.0,0.0,0.0,0.0,0.0,0.0,,,MEASURED
records/creatures/enemies/boss&quest/chthonianservitor_lunalvalgoth.dbr,"Lunal'Valgoth, Steward of Darkness",boss&quest,106,records/creatures/enemies/bios/bio_boss_chthonian_lunalvalgoth.dbr,842.0,717.8,179825,0.0,0.0,0.0,0.0,0.0,0.0,,,MEASURED
records/creatures/enemies/boss&quest/cultist_cultleader_01.dbr,Bloodlord Thalonis,boss&quest,106,records/creatures/enemies/bios/bio_boss_cultistleader_01.dbr,842.0,760.2,197653,0.0,0.0,0.0,0.0,0.0,0.0,,,MEASURED
records/creatures/enemies/boss&quest/cultist_summoner_01.dbr,"Karroz, Sigil of Ch'thon",boss&quest,106,records/creatures/enemies/bios/bio_boss_chthonianabomination_01.dbr,842.0,739.0,112714,0.0,0.0,0.0,0.0,0.0,0.0,,,MEASURED
