chain_depth,parent_pet_record,owner_record,owner_display_name,owner_stratum,owner_level,spawn_surface,spawn_slot_or_tree_index,spawn_skill,spawn_skill_class,spawn_field,spawn_target,target_class,is_threat_actor,status,spawn_skill_arz_owners,spawn_skill_level_equation,spawn_skill_rank_used,spawn_skill_n_ranks,spawn_skill_rank_grade,spawn_weight,pet_record,pet_arz_owners,pet_limit,pet_burst_spawn,pet_period_s,spawn_ttl_s,spawn_radius,spawn_max_pet_count,skill_cooldown_s,skill_charge_duration_s,skill_active_duration_s,pet_bio_record,pet_char_level_equation,pet_base_life,pet_life_own_mod_pct,pet_life_tree_mod_pct,pet_life_at_owner_level,pet_offensive_ability,pet_defensive_ability,pet_run_speed,pet_attack_speed,pet_spellcast_speed,pet_dodge_pct,pet_basic_swing_period_s,pet_anim_table,pet_controller,pet_mesh,pet_scale,pet_monster_classification,pet_n_attack_slots,pet_n_tree_skills,pet_n_damage_bearing_skills,pet_spawns_nested_monsters,life_grade,oada_grade,swing_grade
1,,records/creatures/enemies/boss&quest/aetherial_guardian02.dbr,"Rodalgar, the Flesh Collector",boss&quest,109,tree,6,records/skills/nonplayerskills/bossskills/boss_chest_02.dbr,Skill_OnDeathSpawnActor,spawnObjects,records/items/lootchests/d03_bosschest_dropped.dbr,Destructible,False,NON-MONSTER-SPAWN (loot/destructible; not threat),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,records/creatures/enemies/boss&quest/aetherial_guardian02.dbr,"Rodalgar, the Flesh Collector",boss&quest,109,tree,13,records/skills/nonplayerskillsgdx1/bossskills/factoryguardian_flamecorruptiongenerator.dbr,Skill_MonsterGenerator,spawnObjects,,Monster,True,OK,gdx1,charLevel/4+1,28,0,MEASURED,,records/creatures/enemies/aetherialcorruption_b03_summon.dbr,gdx1|sm1,8,2,10.0,40.0,,,,,,records/creatures/enemies/bios/bio_aetherialcorruption_b01.dbr,charLevel*1+1,27602,0.0,169.0,74248,715.8,493.7,1.149999976158142,1.149999976158142,1.0,,1.0976,records/creatures/enemies/anm/anm_aetherialcorruption.dbr,records/controllers/enemy/controller_aetherialcorruption.dbr,creatures/enemies/aetherialcorruption/aetherialcorruption01a.msh,1.4800000190734863,Champion,2,6,4,,MEASURED,MEASURED,MEASURED
1,,records/creatures/enemies/boss&quest/aetherialbloater_malmouthdocks_01.dbr,Blugrug the Living Plague,boss&quest,109,tree,6,records/skills/nonplayerskills/bossskills/boss_chest_01.dbr,Skill_OnDeathSpawnActor,spawnObjects,records/items/lootchests/d02_bosschest_dropped.dbr,Destructible,False,NON-MONSTER-SPAWN (loot/destructible; not threat),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,records/creatures/enemies/boss&quest/aetherialbloater_malmouthdocks_01.dbr,Blugrug the Living Plague,boss&quest,109,tree,12,records/skills/nonplayerskillsgdx2/bossskills/aetherialbloater_wormgenerator.dbr,Skill_MonsterGenerator,spawnObjects,,Monster,True,OK,gdx2,charLevel/4+1,28,0,MEASURED,100,records/creatures/enemies/aetherialworm_b01_summon.dbr,gdx1|sm1,,,,30.0,,,,,,records/creatures/enemies/bios/bio_aetherialworm_b01.dbr,charLevel*1-1,27592,0.0,169.0,74221,714.0,451.0,1.0,1.0,1.0,,2.0,records/creatures/enemies/anm/anm_aetherialworm.dbr,records/controllers/enemy/controller_aetherialworm.dbr,creatures/enemies/aetherialworm/aetherialworm01a_poison.msh,1.2000000476837158,Champion,3,7,5,,MEASURED,MEASURED,MEASURED
1,,records/creatures/enemies/boss&quest/aetherialbloater_malmouthdocks_01.dbr,Blugrug the Living Plague,boss&quest,109,tree,12,records/skills/nonplayerskillsgdx2/bossskills/aetherialbloater_wormgenerator.dbr,Skill_MonsterGenerator,spawnObjects,,Monster,True,OK,gdx2,charLevel/4+1,28,0,MEASURED,100,records/creatures/enemies/aetherialworm_b02_summon.dbr,gdx1|sm1,,,,30.0,,,,,,records/creatures/enemies/bios/bio_aetherialworm_b01.dbr,charLevel*1-1,27592,0.0,169.0,74221,714.0,451.0,1.0,1.0,1.0,,2.0,records/creatures/enemies/anm/anm_aetherialworm.dbr,records/controllers/enemy/controller_aetherialworm.dbr,creatures/enemies/aetherialworm/aetherialworm01a_fire.msh,1.2000000476837158,Champion,3,7,5,,MEASURED,MEASURED,MEASURED
1,,records/creatures/enemies/boss&quest/aetherialbloater_malmouthdocks_01.dbr,Blugrug the Living Plague,boss&quest,109,tree,12,records/skills/nonplayerskillsgdx2/bossskills/aetherialbloater_wormgenerator.dbr,Skill_MonsterGenerator,spawnObjects,,Monster,True,OK,gdx2,charLevel/4+1,28,0,MEASURED,100,records/creatures/enemies/aetherialworm_b03_summon.dbr,gdx1|sm1,,,,30.0,,,,,,records/creatures/enemies/bios/bio_aetherialworm_b01.dbr,charLevel*1-1,27592,0.0,169.0,74221,714.0,451.0,1.0,1.0,1.0,,2.0,records/creatures/enemies/anm/anm_aetherialworm.dbr,records/controllers/enemy/controller_aetherialworm.dbr,creatures/enemies/aetherialworm/aetherialworm01a_cold.msh,1.2000000476837158,Champion,3,7,5,,MEASURED,MEASURED,MEASURED
1,,records/creatures/enemies/boss&quest/aetherialbloater_malmouthdocks_01.dbr,Blugrug the Living Plague,boss&quest,109,tree,12,records/skills/nonplayerskillsgdx2/bossskills/aetherialbloater_wormgenerator.dbr,Skill_MonsterGenerator,spawnObjects,,Monster,True,OK,gdx2,charLevel/4+1,28,0,MEASURED,100,records/creatures/enemies/aetherialworm_b04_summon.dbr,gdx1|sm1,,,,30.0,,,,,,records/creatures/enemies/bios/bio_aetherialworm_b01.dbr,charLevel*1-1,27592,0.0,169.0,74221,714.0,451.0,1.0,1.0,1.0,,2.0,records/creatures/enemies/anm/anm_aetherialworm.dbr,records/controllers/enemy/controller_aetherialworm.dbr,creatures/enemies/aetherialworm/aetherialworm01a_lightning.msh,1.2000000476837158,Champion,3,7,5,,MEASURED,MEASURED,MEASURED
1,,records/creatures/enemies/boss&quest/aetherialcommander_01.dbr,Commander Lucius,boss&quest,106,tree,5,records/skills/nonplayerskills/bossskills/boss_chest_02.dbr,Skill_OnDeathSpawnActor,spawnObjects,records/items/lootchests/d03_bosschest_dropped.dbr,Destructible,False,NON-MONSTER-SPAWN (loot/destructible; not threat),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,records/creatures/enemies/boss&quest/aetherialcorruption_intro.dbr,"Dralgar, the Keeper of Burrwitch",boss&quest,109,tree,6,records/skills/nonplayerskills/bossskills/boss_chest_01.dbr,Skill_OnDeathSpawnActor,spawnObjects,records/items/lootchests/d02_bosschest_dropped.dbr,Destructible,False,NON-MONSTER-SPAWN (loot/destructible; not threat),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,records/creatures/enemies/boss&quest/basilisk_witchritual.dbr,Stone Basilisk,boss&quest,109,tree,6,records/skills/nonplayerskills/bossskills/boss_chest_02.dbr,Skill_OnDeathSpawnActor,spawnObjects,records/items/lootchests/d03_bosschest_dropped.dbr,Destructible,False,NON-MONSTER-SPAWN (loot/destructible; not threat),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
