purchase_n,purchase_name,purchase_video_t,tribute_cost,ironbits_cost,source_record,source_display_name,effect_record,effect_archives,effect_display_name,effect_description,stat,stat_group,stat_kind,value_at_rank,value_raw_array,applies_to,delivery,rank_equation,rank_used,skill_active_duration_s,rank_basis,note
1,Deathchill Beacon,477,5,10000,records/creatures/defenses/turret_ice.dbr,Deathchill Beacon,records/creatures/defenses/bios/bio_defense_turret_01.dbr,sm_mod,,,characterDefensiveAbility,Bio equation,body,535.0,(charLevel*5)+35,the defence object itself,body,charLevel,100.0,,EQUATION@charLevel=100,CLIFF C-2: defence charLevel binding not decoded
1,Deathchill Beacon,477,5,10000,records/creatures/defenses/turret_ice.dbr,Deathchill Beacon,records/creatures/defenses/bios/bio_defense_turret_01.dbr,sm_mod,,,characterDexterity,Bio equation,body,1050.0,(charLevel*10)+50,the defence object itself,body,charLevel,100.0,,EQUATION@charLevel=100,CLIFF C-2: defence charLevel binding not decoded
1,Deathchill Beacon,477,5,10000,records/creatures/defenses/turret_ice.dbr,Deathchill Beacon,records/creatures/defenses/bios/bio_defense_turret_01.dbr,sm_mod,,,characterIntelligence,Bio equation,body,1050.0,(charLevel*10)+50,the defence object itself,body,charLevel,100.0,,EQUATION@charLevel=100,CLIFF C-2: defence charLevel binding not decoded
1,Deathchill Beacon,477,5,10000,records/creatures/defenses/turret_ice.dbr,Deathchill Beacon,records/creatures/defenses/bios/bio_defense_turret_01.dbr,sm_mod,,,characterLife,Bio equation,body,65000.0,((charLevel*16)^1.5)+1000,the defence object itself,body,charLevel,100.0,,EQUATION@charLevel=100,CLIFF C-2: defence charLevel binding not decoded
1,Deathchill Beacon,477,5,10000,records/creatures/defenses/turret_ice.dbr,Deathchill Beacon,records/creatures/defenses/bios/bio_defense_turret_01.dbr,sm_mod,,,characterLifeRegen,Bio equation,body,,(((charLevel*2+100) + lifeRegen) * (1 + lifeRegenMod/100))*elapsedTime,the defence object itself,body,charLevel,100.0,,EQUATION@charLevel=100,CLIFF C-2: defence charLevel binding not decoded
1,Deathchill Beacon,477,5,10000,records/creatures/defenses/turret_ice.dbr,Deathchill Beacon,records/creatures/defenses/bios/bio_defense_turret_01.dbr,sm_mod,,,characterMana,Bio equation,body,600.0,((charLevel*5)^1)+100,the defence object itself,body,charLevel,100.0,,EQUATION@charLevel=100,CLIFF C-2: defence charLevel binding not decoded
1,Deathchill Beacon,477,5,10000,records/creatures/defenses/turret_ice.dbr,Deathchill Beacon,records/creatures/defenses/bios/bio_defense_turret_01.dbr,sm_mod,,,characterManaRegen,Bio equation,body,0.0,0,the defence object itself,body,charLevel,100.0,,EQUATION@charLevel=100,CLIFF C-2: defence charLevel binding not decoded
1,Deathchill Beacon,477,5,10000,records/creatures/defenses/turret_ice.dbr,Deathchill Beacon,records/creatures/defenses/bios/bio_defense_turret_01.dbr,sm_mod,,,characterOffensiveAbility,Bio equation,body,870.0,(charLevel*7.5)+120,the defence object itself,body,charLevel,100.0,,EQUATION@charLevel=100,CLIFF C-2: defence charLevel binding not decoded
1,Deathchill Beacon,477,5,10000,records/creatures/defenses/turret_ice.dbr,Deathchill Beacon,records/creatures/defenses/bios/bio_defense_turret_01.dbr,sm_mod,,,characterStrength,Bio equation,body,1050.0,(charLevel*10)+50,the defence object itself,body,charLevel,100.0,,EQUATION@charLevel=100,CLIFF C-2: defence charLevel binding not decoded
1,Deathchill Beacon,477,5,10000,records/creatures/defenses/turret_ice.dbr,Deathchill Beacon,records/skills/defenses/passiveproperties_defense.dbr,sm_mod,,,defensiveBleedingDuration,Defensive (parameters_defensive.tpl),defense,500.0,,the defence object itself,"self-passive, tree slot 1",charLevel/4+1,26,,SCALAR,
