wave,video_t_start_s,elapsed_from_first_wave_s,wave_duration_s,terminal,wallclock_start,onset_uncertainty_s
151,682,0,16,CLEARED,21:48:47,"+/-1 (1 Hz sample, IS-R3)"
152,698,16,17,CLEARED,21:49:03,"+/-1 (1 Hz sample, IS-R3)"
153,715,33,15,CLEARED,21:49:20,"+/-1 (1 Hz sample, IS-R3)"
154,730,48,14,CLEARED,21:49:35,"+/-1 (1 Hz sample, IS-R3)"
155,744,62,16,CLEARED,21:49:49,"+/-1 (1 Hz sample, IS-R3)"
156,760,78,20,CLEARED,21:50:05,"+/-1 (1 Hz sample, IS-R3)"
157,780,98,19,CLEARED,21:50:25,"+/-1 (1 Hz sample, IS-R3)"
158,799,117,14,CLEARED,21:50:44,"+/-1 (1 Hz sample, IS-R3)"
159,813,131,26,CLEARED,21:50:58,"+/-1 (1 Hz sample, IS-R3)"
160,839,157,29,DEATH,21:51:24,"+/-1 (1 Hz sample, IS-R3)"
