record,display_name,stratum,slot,skill,skill_class,chance_pct,delay_s,timeout_s,range_band,skill_cooldown_s,skill_active_duration_s,skill_charge_duration_s,instant_cast,allows_warmup,warmup_effect,wave_time_s,wave_distance,camera_shake_dur_s,time_between_attacks_ms,target_interval_s,distance_profile,anim_binding_grade,special_anim_ref,fallback_anm,fallback_anm_dur_s,special_anm,special_anm_frames,special_anm_dur_s,projectile,projectile_velocity,projectile_distance,projectile_launch_angle,damage_types_direct,damage_types_dot,control_effects,n_damage_ranks,skill_radius,skill_max_targets,skill_angle
records/creatures/enemies/boss&quest/aetherial_enclave_sideboss01.dbr,Dreven Cole,boss&quest,basic,records/skills/nonplayerskillsgdx1/bossskills/malmouthenclave_aethershard.dbr,Skill_AttackProjectile,,,,,,5.0,,,,,,,,,,Long,NO-REF,,aetherialfleshshaper_attack_a02.anm,1.3667,,,,records/fx/skillsother/projectile_aoe/aetherconflagration_projectilefx01.dbr,15.0,19.0,35.0,Aether,,TotalDamageReductionPercent,60,,,
records/creatures/enemies/boss&quest/aetherial_enclave_sideboss01.dbr,Dreven Cole,boss&quest,special1,records/skills/nonplayerskillsgdx1/bossskills/malmouthenclave_aetherburst.dbr,Skill_AttackProjectileBurst,100.0,1.7000000476837158,0.0,MediumRange,,,,,,,,,,,,Long,NO-REF,,aetherialfleshshaper_attack_a02.anm,1.3667,,,,records/fx/skillsother/itemskills/aethermissile_fxprojectile.dbr,18.0,18.0,35.0,Aether,SlowLightning,,60,,,
records/creatures/enemies/boss&quest/aetherial_enclave_sideboss01.dbr,Dreven Cole,boss&quest,special2,records/skills/nonplayerskillsgdx1/bossskills/malmouthcouncil_stormboltnova.dbr,Skill_AttackProjectileRing,100.0,10.0,2.0,ShortRange,,,,,,,,,,,,Long,REF-UNSATISFIED-BY-TABLE,Nova,aetherialfleshshaper_attack_a02.anm,1.3667,,,,records/fx/skillsother/projectile/lightningorbburst_fxprojectile.dbr,16.0,20.0,,Lightning|Aether,SlowLightning,Stun,60,,,
records/creatures/enemies/boss&quest/aetherial_enclave_sideboss01.dbr,Dreven Cole,boss&quest,special3,records/skills/nonplayerskillsgdx1/bossskills/malmouthenclave_councilstorm.dbr,Skill_BuffSelfToggled,100.0,,,,,,,True,,,,,,,,Short,DIRECT-REF,Summon,,,aetherialfleshshaper_summon_a01.anm,56,1.8667,,,,,,,,60,,,
records/creatures/enemies/boss&quest/aetherial_enclave_sideboss01.dbr,Dreven Cole,boss&quest,special4,records/skills/nonplayerskillsgdx1/bossskills/malmouthcouncil_squall.dbr,Skill_AttackProjectileAreaEffect,100.0,8.0,2.0,ShortRange,,6.0,,,,,,,,,,Maximum,NO-REF,,aetherialfleshshaper_attack_a02.anm,1.3667,,,,records/fx/skillsother/projectile_aoe/fx_harpy_stormcloud_projectile01.dbr,,20.0,,Lightning,SlowLightning,,60,,,
records/creatures/enemies/boss&quest/aetherial_enclave_sideboss01.dbr,Dreven Cole,boss&quest,dying,records/skills/nonplayerskillsgdx1/bossskills/malmouthenclave_deathbuff_01.dbr,Skill_BuffOther,,,,,,,,,,,,,,,,,NO-REF,,aetherialfleshshaper_attack_a02.anm,1.3667,,,,,,,,,,,,,,
records/creatures/enemies/boss&quest/aetherial_enclave_sideboss02.dbr,Cyrian Marcan,boss&quest,basic,records/skills/nonplayerskillsgdx1/bossskills/malmouthenclave_aethershard.dbr,Skill_AttackProjectile,,,,,,5.0,,,,,,,,,,Long,NO-REF,,aetherialfleshshaper_attack_a02.anm,1.3667,,,,records/fx/skillsother/projectile_aoe/aetherconflagration_projectilefx01.dbr,15.0,19.0,35.0,Aether,,TotalDamageReductionPercent,60,,,
records/creatures/enemies/boss&quest/aetherial_enclave_sideboss02.dbr,Cyrian Marcan,boss&quest,special1,records/skills/nonplayerskills/bossskills/aldritch_aetherburst.dbr,Skill_AttackProjectileBurst,100.0,1.399999976158142,0.0,MediumRange,,,,,,,,,,,,Long,NO-REF,,aetherialfleshshaper_attack_a02.anm,1.3667,,,,records/fx/skillsother/itemskills/aethermissile_fxprojectile.dbr,18.0,18.0,35.0,Aether,SlowLightning,,60,,,
records/creatures/enemies/boss&quest/aetherial_enclave_sideboss02.dbr,Cyrian Marcan,boss&quest,special2,records/skills/nonplayerskillsgdx1/bossskills/malmouthenclave_fireballfan.dbr,Skill_AttackProjectileFan,100.0,9.0,2.0,LongRange,,,,,,,,,,,,Long,REF-UNSATISFIED-BY-TABLE,CastSlow,aetherialfleshshaper_attack_a02.anm,1.3667,,,,records/fx/skillsother/projectile/groble_fireball_projectile_burstfx01.dbr,12.0,16.0,,Physical|Fire,SlowFire,,60,,,
records/creatures/enemies/boss&quest/aetherial_enclave_sideboss02.dbr,Cyrian Marcan,boss&quest,special3,records/skills/nonplayerskillsgdx1/bossskills/malmouthenclave_councilstorm.dbr,Skill_BuffSelfToggled,100.0,,,,,,,True,,,,,,,,Short,DIRECT-REF,Summon,,,aetherialfleshshaper_summon_a01.anm,56,1.8667,,,,,,,,60,,,
