record,display_name,stratum,level_min,level_max,bio_record,bio_archives,life_equation,base_life_at_level_min,base_life_at_level_max,own_life_modifier_pct,own_life_flat,tree_life_modifier_pct,total_declared_life_mod_pct,life_at_level_min,life_at_level_max,baton_life_modifier_pct_min,baton_life_modifier_pct_max,life_run_scaled_at_level_min,defensive_ability_at_level_min,offensive_ability_at_level_min,armor_passives,resist_passives,life_grade,ehp_wave_scaled
records/creatures/enemies/boss&quest/aetherial_enclave_sideboss01.dbr,Dreven Cole,boss&quest,109,109,records/creatures/enemies/bios/bio_boss_aetherialroguelike_vanaldritch_01.dbr,base|sm_mod,((charLevel*46)^1.5)+10000,365039,365039,0.0,0.0,169.0,169.0,981956,981956,330.0,330.0,4222410,791,863,armorbase05,resists_heroboss,MEASURED,NOT-DERIVED (A6 scope: Crucible wave ladder + mitigation)
records/creatures/enemies/boss&quest/aetherial_enclave_sideboss02.dbr,Cyrian Marcan,boss&quest,109,109,records/creatures/enemies/bios/bio_boss_aetherialroguelike_reanimator_01.dbr,base|sm_mod,((charLevel*42)^1.5)+5000,314752,314752,0.0,0.0,169.0,169.0,846682,846682,330.0,330.0,3640733,791,863,armorbase05,resists_heroboss,MEASURED,NOT-DERIVED (A6 scope: Crucible wave ladder + mitigation)
records/creatures/enemies/boss&quest/aetherial_guardian02.dbr,"Rodalgar, the Flesh Collector",boss&quest,109,109,records/creatures/enemies/bios/bio_boss_aetherial_factoryguardian_02.dbr,gdx1|sm1,((charLevel*30)^1.5)+500,187491,187491,0.0,0.0,169.0,169.0,504352,504352,342.0,342.0,2229235,737,863,armorbase05,resists_heroboss,MEASURED,NOT-DERIVED (A6 scope: Crucible wave ladder + mitigation)
records/creatures/enemies/boss&quest/aetherialbloater_malmouthdocks_01.dbr,Blugrug the Living Plague,boss&quest,109,109,records/creatures/enemies/bios/bio_boss_aetherialbloater_malmouthdocks_01.dbr,gdx2|sm2,((charLevel*30)^1.5)+500,187491,187491,0.0,0.0,169.0,169.0,504352,504352,318.0,318.0,2108191,737,863,armorbase05,resists_heroboss,MEASURED,NOT-DERIVED (A6 scope: Crucible wave ladder + mitigation)
records/creatures/enemies/boss&quest/aetherialcommander_01.dbr,Commander Lucius,boss&quest,106,106,records/creatures/enemies/bios/bio_boss_possessedcommander_01.dbr,base|sm_mod,((charLevel*33)^1.5)+300,207185,207185,0.0,0.0,169.0,169.0,557329,557329,336.0,336.0,2429952,739,842,armorbase05,resists_heroboss,MEASURED,NOT-DERIVED (A6 scope: Crucible wave ladder + mitigation)
records/creatures/enemies/boss&quest/aetherialcorruption_intro.dbr,"Dralgar, the Keeper of Burrwitch",boss&quest,109,109,records/creatures/enemies/bios/bio_boss_aetherial_intro.dbr,gdx1|sm1,((charLevel*24)^1.5)+500,134300,134300,0.0,0.0,169.0,169.0,361267,361267,314.0,314.0,1495647,737,863,armorbase05,resists_heroboss,MEASURED,NOT-DERIVED (A6 scope: Crucible wave ladder + mitigation)
records/creatures/enemies/boss&quest/basilisk_witchritual.dbr,Stone Basilisk,boss&quest,109,109,records/creatures/enemies/bios/bio_boss_basilisk_witchritual01.dbr,gdx1|sm1,((charLevel*30)^1.5)+500,187491,187491,0.0,0.0,169.0,169.0,504352,504352,316.0,316.0,2098104,737,863,armorbase05,resists_heroboss,MEASURED,NOT-DERIVED (A6 scope: Crucible wave ladder + mitigation)
records/creatures/enemies/boss&quest/chthonian_chthonicroguelike_02.dbr,"Shar'Zul, Harbinger of Chaos",boss&quest,106,106,records/creatures/enemies/bios/bio_boss_bastionofchaos_chthoniandreadguard_01.dbr,base|sm_mod,((charLevel*33)^1.5)+300,207185,207185,0.0,0.0,169.0,169.0,557329,557329,336.0,336.0,2429952,760,842,armorbase05,resists_heroboss,MEASURED,NOT-DERIVED (A6 scope: Crucible wave ladder + mitigation)
records/creatures/enemies/boss&quest/chthonianrylok_gabalthunn.dbr,"Gabal'Thunn, the Visage of Madness",boss&quest,106,106,records/creatures/enemies/bios/bio_boss_chthonian_gabalthunn.dbr,gdx1|sm1,((charLevel*30)^1.5)+500,179825,179825,0.0,0.0,169.0,169.0,483729,483729,312.0,312.0,1992964,718,842,armorbase05,resists_heroboss,MEASURED,NOT-DERIVED (A6 scope: Crucible wave ladder + mitigation)
records/creatures/enemies/boss&quest/chthonianservitor_lunalvalgoth.dbr,"Lunal'Valgoth, Steward of Darkness",boss&quest,106,106,records/creatures/enemies/bios/bio_boss_chthonian_lunalvalgoth.dbr,gdx1|sm1,((charLevel*30)^1.5)+500,179825,179825,0.0,0.0,169.0,169.0,483729,483729,322.0,322.0,2041337,718,842,armorbase05,resists_heroboss,MEASURED,NOT-DERIVED (A6 scope: Crucible wave ladder + mitigation)
records/creatures/enemies/boss&quest/cultist_cultleader_01.dbr,Bloodlord Thalonis,boss&quest,106,106,records/creatures/enemies/bios/bio_boss_cultistleader_01.dbr,base|sm_mod,((charLevel*32)^1.5)+100,197653,197653,0.0,0.0,169.0,169.0,531687,531687,312.0,312.0,2190549,760,842,armorbase05,resists_heroboss,MEASURED,NOT-DERIVED (A6 scope: Crucible wave ladder + mitigation)
records/creatures/enemies/boss&quest/cultist_summoner_01.dbr,"Karroz, Sigil of Ch'thon",boss&quest,106,106,records/creatures/enemies/bios/bio_boss_chthonianabomination_01.dbr,base|sm_mod,((charLevel*22)^1.5)+100,112714,112714,0.0,0.0,169.0,169.0,303201,303201,338.0,338.0,1328020,739,842,armorbase05,resists_heroboss,MEASURED,NOT-DERIVED (A6 scope: Crucible wave ladder + mitigation)
