record,display_name,archetype_tag,stratum,status,arz_owners,threat_tier,level_min,level_max,wave_first,wave_last,n_actors,n_champion_actors,life_modifier_pct_min,life_modifier_pct_max,mesh,mesh_body,mesh_file,mesh_scale,base_texture,anim_table,controller,controller_class,monster_classification,character_attack_speed,character_attack_speed_tag,character_spellcast_speed,character_run_speed,walk_speed,run_speed_jitter,disable_movement,min_rotation_speed,max_rotation_speed,num_attack_slots,n_slots_decoded,waiting_anim_delay_ms,death_anim_blend_time,basic_attack_anims,basic_attack_anim_weights,basic_attack_anim_speeds,basic_attack_anim_durs_s,basic_attack_dur_s,basic_swing_period_s,anim_classes_alt,skill_classes,n_skill_classes,damage_types,damage_types_nonphysical,damage_types_dot,control_effects,n_control_effects,range_band_modal,range_band_chanceweighted,range_band_profile,life_equation,character_life,character_life_modifier,bio_record,pools,pool_kinds,ctrl_MaxPursuitDistance,ctrl_PursuitTime,ctrl_ViewDistance,ctrl_InnerViewDistance,ctrl_MaxYViewDistance,ctrl_RoamBehavior,ctrl_RoamDistance,ctrl_MinRoamDistance,ctrl_MinTimeBeforeRoam,ctrl_MaxTimeBeforeRoam,ctrl_ChanceToIdleOnPatrol,ctrl_MinPatrolIdleTime,ctrl_MaxPatrolIdleTime,ctrl_WanderDistance,ctrl_MinWanderDistance,ctrl_TeleportToLeaderDistance,ctrl_fleeDistance,ctrl_FleeBehavior,ctrl_FleeChance,ctrl_DodgeChance,ctrl_DodgeDistance,ctrl_MinDodgeDistance,ctrl_DodgeDelay,ctrl_enemyTooClose,ctrl_EmoteBeforePursuingChance,ctrl_ChanceToRespondToDistressCall,ctrl_minSwingPause,ctrl_maxSwingPause,ctrl_RepositionChance,tree_n_skills,tree_unresolved,tree_skill_classes,tree_roles,tree_damage_types,tree_control_effects,tree_summons,n_summons,damage_types_union,damage_types_union_nonphysical,damage_types_dot_union,control_effects_union,n_control_effects_union,n_skills_total,mesh_key
records/creatures/enemies/boss&quest/aetherial_enclave_sideboss01.dbr,Dreven Cole,aetherial_enclave_sideboss01,boss&quest,OK,gdx1|sm1,boss,109,109,163,163,2,0,330.0,330.0,creatures/enemies/aetherialfleshshaper/aetherialfleshshaper01g.msh,aetherialfleshshaper,aetherialfleshshaper01g.msh,1.649999976158142,,records/creatures/enemies/anm/anm_aetherialfleshshaper.dbr,records/controllers/enemy/controller_boss_aetherialroguelike_reanimators.dbr,ControllerGraeae,Quest,1.0,CharacterAttackSpeedAverage,1.0,1.0,1.0,,,6.0,10.0,8,6,5000,250.0,aetherialfleshshaper_attack_a01.anm|aetherialfleshshaper_attack_a02.anm,100.0|100.0,1.25|1.25,1.1200|1.0933,1.1067,1.1067,,Skill_AttackProjectile|Skill_AttackProjectileAreaEffect|Skill_AttackProjectileBurst|Skill_AttackProjectileRing|Skill_BuffOther|Skill_BuffSelfToggled,6,Lightning|Aether,Lightning|Aether,SlowLightning,Stun|TotalDamageReductionPercent,2,ShortRange,ShortRange,ShortRange:2|MediumRange:1,charLevel*1+2,0.0,0.0,,aetherialenclave,BOSS,125.0,10000,80.0,12.0,20.0,Roam,2.0,2.0,2000,2000,0,1000,5000,0.0,2.0,40.0,0.0,NeverFlee,0,0,0.0,0.0,0,0.0,0,100,1.0,1.2000000476837158,100,12,0,Skill_AttackProjectile|Skill_AttackProjectileAreaEffect|Skill_AttackProjectileBurst|Skill_AttackProjectileRing|Skill_BuffOther|Skill_BuffSelfDuration|Skill_BuffSelfToggled|Skill_Passive,attack:4|buff:3|passive:5,Physical|Lightning|Aether,Stun|TotalDamageReductionPercent,,0,Physical|Lightning|Aether,Lightning|Aether,SlowLightning,Stun|TotalDamageReductionPercent,2,18,aetherialfleshshaper01g
records/creatures/enemies/boss&quest/aetherial_enclave_sideboss02.dbr,Cyrian Marcan,aetherial_enclave_sideboss02,boss&quest,OK,gdx1|sm1,boss,109,109,163,163,2,0,330.0,330.0,creatures/enemies/aetherialfleshshaper/aetherialfleshshaper01g.msh,aetherialfleshshaper,aetherialfleshshaper01g.msh,1.4500000476837158,,records/creatures/enemies/anm/anm_aetherialfleshshaper.dbr,records/controllers/enemy/controller_boss_aetherialroguelike_reanimators.dbr,ControllerGraeae,Quest,1.0,CharacterAttackSpeedAverage,1.0,1.0,1.0,,,6.0,10.0,8,6,5000,250.0,aetherialfleshshaper_attack_a01.anm|aetherialfleshshaper_attack_a02.anm,100.0|100.0,1.25|1.25,1.1200|1.0933,1.1067,1.1067,,Skill_AttackProjectile|Skill_AttackProjectileBurst|Skill_AttackProjectileFan|Skill_BuffOther|Skill_BuffSelfToggled|Skill_CharonGeysers,6,Physical|Fire|Aether,Fire|Aether,SlowFire|SlowLightning,SlowRunSpeed|TotalDamageReductionPercent,2,MediumRange,MediumRange,MediumRange:1|LongRange:1|AnyRange:1,charLevel*1+2,0.0,0.0,,aetherialenclave,BOSS,125.0,10000,80.0,12.0,20.0,Roam,2.0,2.0,2000,2000,0,1000,5000,0.0,2.0,40.0,0.0,NeverFlee,0,0,0.0,0.0,0,0.0,0,100,1.0,1.2000000476837158,100,12,0,Skill_AttackProjectile|Skill_AttackProjectileBurst|Skill_AttackProjectileFan|Skill_BuffOther|Skill_BuffSelfDuration|Skill_BuffSelfToggled|Skill_CharonGeysers|Skill_Passive,attack:3|buff:3|other:1|passive:5,Physical|Fire|Aether,SlowRunSpeed|TotalDamageReductionPercent,,0,Physical|Fire|Aether,Fire|Aether,SlowFire|SlowLightning,SlowRunSpeed|TotalDamageReductionPercent,2,18,aetherialfleshshaper01g
records/creatures/enemies/boss&quest/aetherial_guardian02.dbr,"Rodalgar, the Flesh Collector",aetherial_guardian02,boss&quest,OK,gdx1|gdx3|sm1,boss,109,109,169,169,2,0,342.0,342.0,creatures/enemies/aetherialbloater/aetherialbloater01a_fire.msh,aetherialbloater,aetherialbloater01a_fire.msh,1.4500000476837158,creatures/enemies/aetherialbloater/aetherialbloater01d_dif.tex,records/creatures/enemies/anm/anm_aetherialbloater.dbr,records/controllers/enemy/controller_aetherialbloater.dbr,ControllerMonster,Quest,1.0,CharacterAttackSpeedAverage,1.0,1.100000023841858,1.0,0.0,,12.0,18.0,8,6,5000,250.0,aetherialbloater_attack_a01.anm|aetherialbloater_attack_b01.anm|aetherialbloater_attack_c01.anm,100.0|100.0|100.0,1.25|1.25|1.25,1.0933|1.0933|1.6267,1.2711,1.2711,,Skill_AttackRadius|Skill_AttackWave|Skill_AttackWeapon|Skill_AttackWeaponCharge,4,Physical|Fire|Poison|Aether|Life,Fire|Poison|Aether|Life,SlowFire|SlowPoison,Stun|SlowDefensiveAbility|SlowDefensiveReduction,3,ShortRange,ShortRange,ShortRange:3|LongRange:1|MediumRange:1,charLevel*1+5,0.0,0.0,,factoryguardian_02|factoryguardians,BOSS,125.0,10000,80.0,12.0,10.0,Roam,2.0,2.0,2000,2000,0,1000,5000,0.0,2.0,40.0,0.0,NeverFlee,0,0,0.0,0.0,0,0.0,0,50,0.0,0.30000001192092896,0,14,0,Skill_AttackRadius|Skill_AttackWave|Skill_AttackWeapon|Skill_AttackWeaponCharge|Skill_MonsterGenerator|Skill_OnDeathSpawnActor|Skill_Passive|Skill_PassiveOnLifeBuffSelf,attack:6|other:2|passive:6,Physical|Fire|Poison|Aether|Life,Stun|SlowDefensiveAbility|SlowDefensiveReduction,aetherialcorruption_b03_summon.dbr|d03_bosschest_dropped.dbr,2,Physical|Fire|Poison|Aether|Life,Fire|Poison|Aether|Life,SlowFire|SlowPoison|SlowLife,Stun|SlowDefensiveAbility|SlowDefensiveReduction,3,20,aetherialbloater01a_fire
records/creatures/enemies/boss&quest/aetherialbloater_malmouthdocks_01.dbr,Blugrug the Living Plague,aetherialbloater_malmouthdocks_01,boss&quest,OK,gdx2|sm2,boss,109,109,157,157,2,0,318.0,318.0,creatures/enemies/aetherialbloater/aetherialbloater01a_vitality.msh,aetherialbloater,aetherialbloater01a_vitality.msh,1.5299999713897705,creatures/enemies/aetherialbloater/aetherialbloater01g_dif.tex,records/creatures/enemies/anm/anm_aetherialbloater.dbr,records/controllers/enemy/controller_aetherialbloater.dbr,ControllerMonster,Quest,1.0,CharacterAttackSpeedAverage,1.0,1.0,1.0,0.0,,12.0,18.0,12,3,5000,250.0,aetherialbloater_attack_a01.anm|aetherialbloater_attack_b01.anm|aetherialbloater_attack_c01.anm,100.0|100.0|100.0,1.25|1.25|1.25,1.0933|1.0933|1.6267,1.2711,1.2711,,Skill_AttackProjectileBurst|Skill_AttackProjectileRing|Skill_BuffRadiusToggled,3,Physical|Poison|Life,Poison|Life,SlowBleeding|SlowPoison,Confusion,1,MediumRange,MediumRange,MediumRange:2,charLevel*1,0.0,0.0,,aetherialbloater_malmouthdocks,BOSS,125.0,10000,80.0,12.0,10.0,Roam,2.0,2.0,2000,2000,0,1000,5000,0.0,2.0,40.0,0.0,NeverFlee,0,0,0.0,0.0,0,0.0,0,50,0.0,0.30000001192092896,0,12,0,Skill_AttackBuff|Skill_AttackProjectileBurst|Skill_AttackProjectileRing|Skill_BuffRadiusToggled|Skill_MonsterGenerator|Skill_OnDeathSpawnActor|Skill_Passive,attack:2|buff:3|other:2|passive:5,Physical|Poison|Life,Confusion,aetherialworm_b01_summon.dbr|d02_bosschest_dropped.dbr,2,Physical|Poison|Life,Poison|Life,SlowBleeding|SlowPoison,Confusion,1,15,aetherialbloater01a_vitality
records/creatures/enemies/boss&quest/aetherialcommander_01.dbr,Commander Lucius,aetherialcommander_01,boss&quest,OK,base|gdx3|sm_mod,boss,106,106,166,166,2,0,336.0,336.0,creatures/enemies/aetherializedcommander/aetherializedcommander01a.msh,aetherializedcommander,aetherializedcommander01a.msh,1.0,,records/creatures/enemies/anm/anm_aetherialized_commander.dbr,records/controllers/enemy/controller_boss_aetherialabomination.dbr,ControllerMonster,Quest,1.0,CharacterAttackSpeedAverage,1.0,1.0,1.0,,,4.0,8.0,8,4,5000,250.0,commander_attack_a01.anm|commander_attack_b01.anm,100.0|100.0,1.0|1.0,0.9333|0.8667,0.9,0.9,,Skill_AttackProjectile|Skill_AttackProjectileBurst|Skill_AttackProjectileDrop|Skill_AttackWave,4,Physical|Fire|Aether,Fire|Aether,SlowFire,Stun|SlowDefensiveAbility|SlowDamageMult,3,ShortRange,ShortRange,ShortRange:1|LongRange:1|AnyRange:1|MediumRange:1,(charLevel*1)+2,0.0,0.0,,aetherial_commander,BOSS,125.0,10000,80.0,12.0,20.0,Roam,2.0,2.0,2000,2000,0,1000,5000,0.0,2.0,40.0,0.0,NeverFlee,0,0,0.0,0.0,0,0.0,0,15,,0.5,100,12,0,Skill_AttackProjectile|Skill_AttackProjectileAreaEffect|Skill_AttackProjectileBurst|Skill_AttackProjectileDrop|Skill_AttackWave|Skill_OnDeathSpawnActor|Skill_Passive|Skill_PassiveOnLifeBuffSelf,attack:5|other:1|passive:6,Physical|Fire|Aether,Stun|SlowDefensiveAbility|SlowDamageMult,d03_bosschest_dropped.dbr,1,Physical|Fire|Aether,Fire|Aether,SlowFire,Stun|SlowDefensiveAbility|SlowDamageMult,3,16,aetherializedcommander01a
records/creatures/enemies/boss&quest/aetherialcorruption_intro.dbr,"Dralgar, the Keeper of Burrwitch",aetherialcorruption_intro,boss&quest,OK,gdx1|sm1,boss,109,109,155,155,2,0,314.0,314.0,creatures/enemies/aetherialcorruption/aetherialcorruption01g.msh,aetherialcorruption,aetherialcorruption01g.msh,2.049999952316284,creatures/enemies/aetherialcorruption/aetherialcorruption01e_dif.tex,records/creatures/enemies/anm/anm_aetherialcorruption.dbr,records/controllers/enemy/controller_aetherialcorruption.dbr,ControllerMonster,Quest,1.2000000476837158,CharacterAttackSpeedAverage,1.0,1.25,0.800000011920929,,,4.0,9.0,4,4,5000,250.0,aetherialcorruption_attack_b01.anm|aetherialcorruption_attack_d01.anm|aetherialcorruption_attack_e01.anm,100.0|100.0|100.0,1.25|1.25|1.25,1.2267|1.3067|1.2533,1.2622,1.0519,sHanded|dHanded,Skill_AttackProjectileFan|Skill_AttackProjectileRing|Skill_BuffAttackRadiusToggled|Skill_WeaponPool_ChargedFinale,4,Physical|Fire|Aether,Fire|Aether,SlowFire|SlowPoison,,0,MediumRange,MediumRange,MediumRange:1|LongRange:1,charLevel*1+1,0.0,0.0,,aetherialcorruption_intro,BOSS,125.0,10000,80.0,12.0,10.0,Roam,2.0,2.0,2000,2000,0,1000,5000,0.0,2.0,40.0,0.0,NeverFlee,0,0,0.0,0.0,0,0.0,0,50,0.5,1.100000023841858,0,11,0,Skill_AttackProjectileFan|Skill_AttackProjectileOrbiting|Skill_AttackProjectileRing|Skill_BuffAttackRadiusToggled|Skill_OnDeathSpawnActor|Skill_Passive|Skill_WeaponPool_ChargedFinale,attack:4|buff:1|other:1|passive:5,Physical|Fire|Aether,,d02_bosschest_dropped.dbr,1,Physical|Fire|Aether,Fire|Aether,SlowFire|SlowPoison,,0,15,aetherialcorruption01g
records/creatures/enemies/boss&quest/basilisk_witchritual.dbr,Stone Basilisk,basilisk_witchritual,boss&quest,OK,gdx1|sm1,boss,109,109,156,156,2,0,316.0,316.0,creatures/enemies/basilisk/basilisk01a.msh,basilisk,basilisk01a.msh,1.350000023841858,creatures/enemies/basilisk/basilisk01a_stone_dif.tex,records/creatures/enemies/anm/anm_basilisk_witchritual.dbr,records/controllers/enemy/controller_boss_basiliskwitchritual.dbr,ControllerMonster,Quest,1.0,CharacterAttackSpeedAverage,1.0,1.0,0.44999998807907104,,,4.0,8.0,4,5,5000,250.0,basilisk_attack_a01.anm|basilisk_attack_b01.anm|basilisk_attack_c01.anm,100.0|100.0|100.0,1.0|1.0|1.0,1.2667|1.7000|1.2000,1.3889,1.3889,,Skill_AttackProjectile|Skill_AttackProjectileRing|Skill_AttackRadius|Skill_AttackWave,4,Physical|Poison,Poison,SlowPoison,Stun|Petrify|SlowTotalSpeed|TotalDamageReductionPercent,4,LongRange,LongRange,LongRange:2|MediumRange:1|ShortRange:1,charLevel*1+2,0.0,,,basilisk_witchritual,BOSS,125.0,10000,80.0,12.0,10.0,Roam,2.0,2.0,2000,2000,0,1000,5000,0.0,2.0,40.0,0.0,NeverFlee,0,0,0.0,0.0,0,0.0,0,0,0.5,0.699999988079071,0,12,0,Skill_AttackProjectile|Skill_AttackProjectileAreaEffect|Skill_AttackProjectileRing|Skill_AttackRadius|Skill_AttackWave|Skill_OnDeathSpawnActor|Skill_Passive,attack:6|other:1|passive:5,Physical|Poison,Stun|Petrify|SlowTotalSpeed|SlowOffensiveAbility|TotalDamageReductionPercent,d03_bosschest_dropped.dbr,1,Physical|Poison,Poison,SlowPoison,Stun|Petrify|SlowTotalSpeed|SlowOffensiveAbility|TotalDamageReductionPercent,5,17,basilisk01a
records/creatures/enemies/boss&quest/chthonian_chthonicroguelike_02.dbr,"Shar'Zul, Harbinger of Chaos",chthonian_chthonicroguelike_02,boss&quest,OK,base|sm_mod,boss,106,106,166,166,2,0,336.0,336.0,creatures/enemies/chthonian/dreadguard01b_fire.msh,chthonian,dreadguard01b_fire.msh,1.350000023841858,creatures/enemies/chthonian/dreadguard01c_dif.tex,records/creatures/enemies/anm/anm_chthonian_dreadguard.dbr,records/controllers/enemy/controller_chthonicminiona01.dbr,ControllerMonster,Quest,1.100000023841858,CharacterAttackSpeedAverage,1.0,1.2000000476837158,1.0,,,12.0,18.0,8,5,5000,250.0,dreadguard_sword2h_attack_a01.anm|dreadguard_sword2h_attack_b01.anm,100.0|100.0,1.25|1.25,0.7733|0.8000,0.7867,0.7152,axe2h|mace2h|sword2h|spear2h,Skill_AttackProjectileFan|Skill_AttackProjectileOrbiting|Skill_AttackWave|Skill_TargetedSpawnPet|Skill_WeaponPool_ChargedFinale,5,Physical|Fire|Lightning|Chaos,Fire|Lightning|Chaos,SlowFire,Stun|SlowDefensiveAbility,2,ShortRange,ShortRange,ShortRange:1|LongRange:1|MediumRange:1|AnyRange:1,charLevel*1+5,0.0,0.0,,chthonian_sharzhul,BOSS,125.0,10000,80.0,12.0,20.0,Roam,2.0,2.0,2000,2000,0,1000,5000,0.0,2.0,40.0,5.0,NeverFlee,0,50,2.0,2.0,1500,0.0,0,15,0.4000000059604645,0.6000000238418579,75,11,0,Skill_AttackProjectileFan|Skill_AttackProjectileOrbiting|Skill_AttackWave|Skill_Passive|Skill_PassiveOnLifeBuffSelf|Skill_TargetedSpawnPet|Skill_WeaponPool_ChargedFinale,attack:4|passive:6|summon:1,Physical|Fire|Lightning|Chaos,Stun|SlowDefensiveAbility,firedevil_01.dbr,1,Physical|Fire|Lightning|Chaos,Fire|Lightning|Chaos,SlowFire,Stun|SlowDefensiveAbility,2,16,dreadguard01b_fire
records/creatures/enemies/boss&quest/chthonianrylok_gabalthunn.dbr,"Gabal'Thunn, the Visage of Madness",chthonianrylok_gabalthunn,boss&quest,OK,gdx1|sm1,boss,106,106,154,154,2,0,312.0,312.0,creatures/enemies/chthonianrylok/chthonianrylok01b_chaos.msh,chthonianrylok,chthonianrylok01b_chaos.msh,1.440000057220459,creatures/enemies/chthonianrylok/chthonianrylok01e_dif.tex,records/creatures/enemies/anm/anm_chthonian_rylok.dbr,records/controllers/enemy/controller_chthonicrylok.dbr,ControllerMonster,Quest,1.100000023841858,CharacterAttackSpeedAverage,1.0,1.100000023841858,1.0,0.0,,4.0,8.0,8,7,5000,250.0,chthonianrylok_attack_a01.anm|chthonianrylok_attack_a02.anm,100.0|100.0,1.25|1.25,0.8800|1.0400,0.96,0.8727,,Skill_AttackProjectileRing|Skill_AttackRadius|Skill_AttackWave|Skill_AttackWeapon|Skill_BuffRadiusToggled|Skill_SpawnPetMonster,6,Physical|Pierce|Fire|Chaos,Pierce|Fire|Chaos,SlowBleeding|SlowLife,SlowDefensiveAbility,1,ShortRange,ShortRange,ShortRange:3|MediumRange:1|AnyRange:1,charLevel*1+3,0.0,0.0,,chthonianrylok_gabalthunn,BOSS,125.0,10000,80.0,12.0,10.0,Roam,2.0,2.0,2000,2000,0,1000,5000,0.0,2.0,40.0,0.0,NeverFlee,0,50,2.0,2.0,1500,0.0,0,75,0.4000000059604645,0.6000000238418579,0,13,0,Skill_AttackProjectileRing|Skill_AttackRadius|Skill_AttackWave|Skill_AttackWeapon|Skill_BuffRadiusToggled|Skill_OnDeathSpawnActor|Skill_Passive|Skill_SpawnPetMonster,attack:5|buff:1|other:1|passive:5|summon:1,Physical|Pierce|Fire|Chaos|Life,SlowDefensiveAbility,d03_bosschest_dropped.dbr|gabbalthunn_obsidianshard.dbr,2,Physical|Pierce|Fire|Chaos|Life,Pierce|Fire|Chaos|Life,SlowBleeding|SlowLife,SlowDefensiveAbility,1,20,chthonianrylok01b_chaos
records/creatures/enemies/boss&quest/chthonianservitor_lunalvalgoth.dbr,"Lunal'Valgoth, Steward of Darkness",chthonianservitor_lunalvalgoth,boss&quest,OK,gdx1|gdx2|sm1,boss,106,106,159,159,2,0,322.0,322.0,creatures/enemies/chthonianservitor/chthonianservitor01a_chaos.msh,chthonianservitor,chthonianservitor01a_chaos.msh,1.0,creatures/enemies/chthonianservitor/chthonianservitor01f_dif.tex,records/creatures/enemies/anm/anm_chthonian_servitor.dbr,records/controllers/enemy/controller_chthonianservitor.dbr,ControllerMonster,Quest,1.149999976158142,CharacterAttackSpeedAverage,1.0,1.2000000476837158,1.100000023841858,0.0,,3.0,6.0,8,4,5000,250.0,chthonianservitor_attack_a01.anm|chthonianservitor_attack_b01.anm,100.0|100.0,1.0|1.0,1.2333|1.2333,1.2333,1.0725,,Skill_AttackProjectile|Skill_AttackWave|Skill_AttackWeapon|Skill_SpawnPet,4,Physical|Pierce|Chaos|Life,Pierce|Chaos|Life,SlowBleeding,SlowDamageMult|TotalDamageReductionPercent,2,MediumRange,MediumRange,MediumRange:2|ShortRange:1|AnyRange:1,charLevel*1+5,0.0,0.0,,chthonianservitor_lunalvalgoth,BOSS,125.0,10000,80.0,12.0,10.0,Roam,2.0,2.0,2000,2000,0,1000,5000,0.0,2.0,40.0,0.0,NeverFlee,0,,,,,0.0,0,75,0.5,1.2000000476837158,0,12,0,Skill_AttackProjectile|Skill_AttackProjectileAreaEffect|Skill_AttackWave|Skill_AttackWeapon|Skill_BuffOther|Skill_OnDeathSpawnActor|Skill_Passive|Skill_SpawnPet,attack:4|buff:1|other:1|passive:5|summon:1,Physical|Pierce|Chaos|Life,SlowDefensiveAbility|SlowOffensiveAbility|SlowDamageMult|TotalDamageReductionPercent,chthonianservitor_a01_summon.dbr|d03_bosschest_dropped.dbr,2,Physical|Pierce|Chaos|Life,Pierce|Chaos|Life,SlowBleeding,SlowDefensiveAbility|SlowOffensiveAbility|SlowDamageMult|TotalDamageReductionPercent,4,16,chthonianservitor01a_chaos
