record,display_name,stratum,tree_index,skill,status,skill_class,skill_role,skill_level,arz_owners,damage_types_direct,damage_types_dot,control_effects,n_damage_ranks,skill_cooldown_s,skill_active_duration_s,skill_charge_duration_s,skill_radius,skill_max_targets,skill_angle,wave_time_s,wave_distance,time_between_attacks_ms,instant_cast,distance_profile,projectile,spawn_pet,special_anim_ref
records/creatures/enemies/boss&quest/aetherial_enclave_sideboss01.dbr,Dreven Cole,boss&quest,1,records/skills/nonplayerskills/passive/damage_totaladjuster.dbr,OK,Skill_Passive,passive,,base,,,,25,,,,,,,,,,,,,,
records/creatures/enemies/boss&quest/aetherial_enclave_sideboss01.dbr,Dreven Cole,boss&quest,2,records/skills/nonplayerskills/passive/damagebase_physical02.dbr,OK,Skill_Passive,passive,,base,Physical,,,210,,,,,,,,,,,,,,
records/creatures/enemies/boss&quest/aetherial_enclave_sideboss01.dbr,Dreven Cole,boss&quest,3,records/skills/nonplayerskills/passive/armorbase05.dbr,OK,Skill_Passive,passive,,base,,,,200,,,,,,,,,,,,,,
records/creatures/enemies/boss&quest/aetherial_enclave_sideboss01.dbr,Dreven Cole,boss&quest,4,records/skills/nonplayerskills/passive/resists_heroboss.dbr,OK,Skill_Passive,passive,,base,,,,,,,,,,,,,,,,,,
records/creatures/enemies/boss&quest/aetherial_enclave_sideboss01.dbr,Dreven Cole,boss&quest,5,records/skills/nonplayerskillsgdx1/bossskills/passive/malmouthenclave_passiveproperties_01.dbr,OK,Skill_Passive,passive,,gdx1,Aether,,,63,,,,,,,,,,,,,,
records/creatures/enemies/boss&quest/aetherial_enclave_sideboss01.dbr,Dreven Cole,boss&quest,6,records/skills/nonplayerskillsgdx1/bossskills/malmouthenclave_aetherburst.dbr,OK,Skill_AttackProjectileBurst,attack,,gdx1,Aether,SlowLightning,,60,,,,,,,,,,,Long,records/fx/skillsother/itemskills/aethermissile_fxprojectile.dbr,,
records/creatures/enemies/boss&quest/aetherial_enclave_sideboss01.dbr,Dreven Cole,boss&quest,7,records/skills/nonplayerskillsgdx1/bossskills/malmouthcouncil_stormboltnova.dbr,OK,Skill_AttackProjectileRing,attack,,gdx1,Lightning|Aether,SlowLightning,Stun,60,,,,,,,,,,,Long,records/fx/skillsother/projectile/lightningorbburst_fxprojectile.dbr,,Nova
records/creatures/enemies/boss&quest/aetherial_enclave_sideboss01.dbr,Dreven Cole,boss&quest,8,records/skills/nonplayerskillsgdx1/bossskills/malmouthenclave_councilstorm.dbr,OK,Skill_BuffSelfToggled,buff,,gdx1,,,,60,,,,,,,,,,True,Short,,,Summon
records/creatures/enemies/boss&quest/aetherial_enclave_sideboss01.dbr,Dreven Cole,boss&quest,9,records/skills/nonplayerskillsgdx1/bossskills/malmouthenclave_councilstormemote.dbr,OK,Skill_BuffSelfDuration,buff,,gdx1,,,,,1.0,3.0,,,,,,,,False,,,,Summon
records/creatures/enemies/boss&quest/aetherial_enclave_sideboss01.dbr,Dreven Cole,boss&quest,10,records/skills/nonplayerskillsgdx1/bossskills/malmouthcouncil_squall.dbr,OK,Skill_AttackProjectileAreaEffect,attack,,gdx1,Lightning,SlowLightning,,60,,6.0,,,,,,,,,Maximum,records/fx/skillsother/projectile_aoe/fx_harpy_stormcloud_projectile01.dbr,,
