record,wave,G_pct,level_lo,level_hi,ehp_lo,ehp_hi,life_grade
records/creatures/anomalies/aetheranomaly_01_summon.dbr,151,306.0,105,108,59525,61637,MEASURED
records/creatures/anomalies/aetheranomaly_01_summon.dbr,152,308.0,105,108,59646,61762,MEASURED
records/creatures/anomalies/aetheranomaly_01_summon.dbr,153,310.0,105,108,59766,61887,MEASURED
records/creatures/anomalies/aetheranomaly_01_summon.dbr,154,312.0,105,108,59887,62012,MEASURED
records/creatures/anomalies/aetheranomaly_01_summon.dbr,155,314.0,105,108,60008,62137,MEASURED
records/creatures/anomalies/aetheranomaly_01_summon.dbr,156,316.0,105,108,60128,62262,MEASURED
records/creatures/anomalies/aetheranomaly_01_summon.dbr,157,318.0,105,108,60249,62387,MEASURED
records/creatures/anomalies/aetheranomaly_01_summon.dbr,158,320.0,105,108,60370,62512,MEASURED
records/creatures/anomalies/aetheranomaly_01_summon.dbr,159,322.0,105,108,60491,62637,MEASURED
records/creatures/anomalies/aetheranomaly_01_summon.dbr,160,324.0,105,108,60611,62762,MEASURED
records/creatures/anomalies/aetheranomaly_01_summon.dbr,161,326.0,105,108,60732,62887,MEASURED
records/creatures/anomalies/aetheranomaly_01_summon.dbr,162,328.0,105,108,60853,63012,MEASURED
records/creatures/anomalies/aetheranomaly_01_summon.dbr,163,330.0,105,108,60974,63137,MEASURED
records/creatures/anomalies/aetheranomaly_01_summon.dbr,164,332.0,105,108,61094,63262,MEASURED
records/creatures/anomalies/aetheranomaly_01_summon.dbr,165,334.0,105,108,61215,63387,MEASURED
records/creatures/anomalies/aetheranomaly_01_summon.dbr,166,336.0,105,108,61336,63512,MEASURED
records/creatures/anomalies/aetheranomaly_01_summon.dbr,167,338.0,105,108,61457,63637,MEASURED
records/creatures/anomalies/aetheranomaly_01_summon.dbr,168,340.0,105,108,61577,63762,MEASURED
records/creatures/anomalies/aetheranomaly_01_summon.dbr,169,342.0,105,108,61698,63887,MEASURED
records/creatures/anomalies/aetheranomaly_01_summon.dbr,170,344.0,105,108,61819,64012,MEASURED
records/creatures/anomalies/chthonicvoid_groble.dbr,151,306.0,104,106,58824,60227,MEASURED
records/creatures/anomalies/chthonicvoid_groble.dbr,152,308.0,104,106,58943,60349,MEASURED
records/creatures/anomalies/chthonicvoid_groble.dbr,153,310.0,104,106,59063,60472,MEASURED
records/creatures/anomalies/chthonicvoid_groble.dbr,154,312.0,104,106,59182,60594,MEASURED
records/creatures/anomalies/chthonicvoid_groble.dbr,155,314.0,104,106,59301,60716,MEASURED
records/creatures/anomalies/chthonicvoid_groble.dbr,156,316.0,104,106,59421,60838,MEASURED
records/creatures/anomalies/chthonicvoid_groble.dbr,157,318.0,104,106,59540,60960,MEASURED
records/creatures/anomalies/chthonicvoid_groble.dbr,158,320.0,104,106,59659,61082,MEASURED
records/creatures/anomalies/chthonicvoid_groble.dbr,159,322.0,104,106,59779,61205,MEASURED
