record,char_level,base_life,life_passive_pct,passive_sources,ehp_w151,ehp_w160,ehp_w170
records/creatures/anomalies/aetheranomaly_01_summon.dbr,105,6037.0464,0.0,,59525,60611,61819
records/creatures/anomalies/aetheranomaly_01_summon.dbr,106,6108.2862,0.0,,60227,61327,62548
records/creatures/anomalies/aetheranomaly_01_summon.dbr,107,6179.6942,0.0,,60931,62044,63280
records/creatures/anomalies/aetheranomaly_01_summon.dbr,108,6251.2693,0.0,,61637,62762,64012
records/creatures/anomalies/chthonicvoid_groble.dbr,104,5965.976,0.0,,58824,59898,61091
records/creatures/anomalies/chthonicvoid_groble.dbr,105,6037.0464,0.0,,59525,60611,61819
records/creatures/anomalies/chthonicvoid_groble.dbr,106,6108.2862,0.0,,60227,61327,62548
records/creatures/anomalies/eldritchground.dbr,105,6037.0464,0.0,,59525,60611,61819
records/creatures/anomalies/eldritchground.dbr,106,6108.2862,0.0,,60227,61327,62548
records/creatures/anomalies/eldritchground.dbr,107,6179.6942,0.0,,60931,62044,63280
records/creatures/anomalies/eldritchground.dbr,108,6251.2693,0.0,,61637,62762,64012
records/creatures/anomalies/sandstorm.dbr,104,5965.976,0.0,,58824,59898,61091
records/creatures/anomalies/sandstorm.dbr,105,6037.0464,0.0,,59525,60611,61819
records/creatures/anomalies/sandstorm.dbr,106,6108.2862,0.0,,60227,61327,62548
records/creatures/enemies/aetherialbloater_a01.dbr,103,22311.9118,78.0,armorbase03.dbr[102]=78.0,237398,241414,245877
records/creatures/enemies/aetherialbloater_a01.dbr,104,22599.1843,86.0,armorbase03.dbr[103]=86.0,242263,246331,250850
records/creatures/enemies/aetherialbloater_b01.dbr,104,38730.5263,86.0,armorbase04.dbr[103]=86.0,415191,422162,429908
records/creatures/enemies/aetherialbloater_b01.dbr,105,39224.693,94.0,armorbase04.dbr[104]=94.0,423626,430687,438532
records/creatures/enemies/aetherialbloater_b01.dbr,106,39720.4152,103.0,armorbase04.dbr[105]=103.0,432555,439704,447649
