record,in_rolled_20w,in_rolled_10w,in_pool,is_summon_body,level_set,level_lo,level_hi,bio_record,life_equation,monster_class,winner_archive,base_life_lo,base_life_hi,life_passive_pct_lo,life_passive_pct_hi,life_passive_sources_lo,ehp_w151_lo,ehp_w151_hi,ehp_w160_lo,ehp_w160_hi,ehp_w170_lo,ehp_w170_hi,own_characterLifeModifier,own_applied,pool_records,pool_kinds,waves_pooled,waves_rolled,baton_levels,life_grade,level_grade,damage_grade
records/creatures/anomalies/aetheranomaly_01_summon.dbr,0,0,0,1,105|106|107|108,105,108,records/creatures/enemies/bios/bio_trap_fireflare_01.dbr,((charLevel*10)^1.25)+60,Common,gdx1,6037.0464,6251.2693,0.0,0.0,,59525,61637,60611,62762,61819,64012,0.0,NO (L-33(b): falsified on camera; band A does not fold it either),,,,,,MEASURED,DERIVED-INHERITED,NOT-IN-SCOPE — Lap D is the LIFE limb of I-1. Band-B monster damage is a separate decode (PM-4 queue I-2/I-5).
records/creatures/anomalies/chthonicvoid_groble.dbr,0,0,0,1,104|105|106,104,106,records/creatures/enemies/bios/bio_trap_fireflare_01.dbr,((charLevel*10)^1.25)+60,Common,gdx3,5965.976,6108.2862,0.0,0.0,,58824,60227,59898,61327,61091,62548,0.0,NO (L-33(b): falsified on camera; band A does not fold it either),,,,,,MEASURED,DERIVED-INHERITED,NOT-IN-SCOPE — Lap D is the LIFE limb of I-1. Band-B monster damage is a separate decode (PM-4 queue I-2/I-5).
records/creatures/anomalies/eldritchground.dbr,0,0,0,1,105|106|107|108,105,108,records/creatures/enemies/bios/bio_trap_fireflare_01.dbr,((charLevel*10)^1.25)+60,Common,gdx2,6037.0464,6251.2693,0.0,0.0,,59525,61637,60611,62762,61819,64012,0.0,NO (L-33(b): falsified on camera; band A does not fold it either),,,,,,MEASURED,DERIVED-INHERITED,NOT-IN-SCOPE — Lap D is the LIFE limb of I-1. Band-B monster damage is a separate decode (PM-4 queue I-2/I-5).
records/creatures/anomalies/sandstorm.dbr,0,0,0,1,104|105|106,104,106,records/creatures/enemies/bios/bio_trap_fireflare_01.dbr,((charLevel*10)^1.25)+60,Common,gdx2,5965.976,6108.2862,0.0,0.0,,58824,60227,59898,61327,61091,62548,0.0,NO (L-33(b): falsified on camera; band A does not fold it either),,,,,,MEASURED,DERIVED-INHERITED,NOT-IN-SCOPE — Lap D is the LIFE limb of I-1. Band-B monster damage is a separate decode (PM-4 queue I-2/I-5).
records/creatures/enemies/aetherialbloater_a01.dbr,0,0,1,0,103|104,103,104,records/creatures/enemies/bios/bio_aetherialbloater_a01.dbr,((charLevel*18)^1.33)+100,Common,sm1,22311.9118,22599.1843,78.0,86.0,armorbase03.dbr[102]=78.0,237398,242263,241414,246331,245877,250850,0.0,NO (L-33(b): falsified on camera; band A does not fold it either),records/proxies/poolsbasicgdx1/aetherialbloater_t3.dbr,trash,156|157|164|166,,,MEASURED,MEASURED-SET,NOT-IN-SCOPE — Lap D is the LIFE limb of I-1. Band-B monster damage is a separate decode (PM-4 queue I-2/I-5).
records/creatures/enemies/aetherialbloater_b01.dbr,1,0,1,0,104|105|106,104,106,records/creatures/enemies/bios/bio_aetherialbloater_b01.dbr,((charLevel*27)^1.33)+150,Champion,sm1,38730.5263,39720.4152,86.0,103.0,armorbase04.dbr[103]=86.0,415191,432555,422162,439704,429908,447649,50.0,NO (L-33(b): falsified on camera; band A does not fold it either),records/proxies/poolsbasicgdx1/aetherialbloater_t3.dbr,trash,156|157|164|166,166,104,MEASURED,MEASURED-SET,NOT-IN-SCOPE — Lap D is the LIFE limb of I-1. Band-B monster damage is a separate decode (PM-4 queue I-2/I-5).
records/creatures/enemies/aetherialbloater_b01_summon.dbr,0,0,0,1,104|105|106|107|108,104,108,records/creatures/enemies/bios/bio_aetherialbloater_b01.dbr,((charLevel*27)^1.33)+150,Champion,sm1,38730.5263,40716.4871,86.0,121.0,armorbase04.dbr[103]=86.0,415191,450731,422162,458060,429908,466203,50.0,NO (L-33(b): falsified on camera; band A does not fold it either),,,,,,MEASURED,DERIVED-INHERITED,NOT-IN-SCOPE — Lap D is the LIFE limb of I-1. Band-B monster damage is a separate decode (PM-4 queue I-2/I-5).
records/creatures/enemies/aetherialbloater_c01.dbr,1,0,1,0,104|105|106,104,106,records/creatures/enemies/bios/bio_aetherialbloater_c01.dbr,((charLevel*31)^1.33)+150,Champion,sm1,46512.345,47701.8977,86.0,103.0,armorbase04.dbr[103]=86.0,498612,519473,506984,528060,516287,537600,100.0,NO (L-33(b): falsified on camera; band A does not fold it either),records/proxies/poolsbasicgdx1/aetherialbloater_t3.dbr,trash,156|157|164|166,166,104,MEASURED,MEASURED-SET,NOT-IN-SCOPE — Lap D is the LIFE limb of I-1. Band-B monster damage is a separate decode (PM-4 queue I-2/I-5).
records/creatures/enemies/aetherialbloater_c01_summon.dbr,0,0,0,1,106|107|108,106,108,records/creatures/enemies/bios/bio_aetherialbloater_c01.dbr,((charLevel*31)^1.33)+150,Champion,sm1,47701.8977,48898.8806,103.0,121.0,armorbase04.dbr[105]=103.0,519473,541310,528060,550112,537600,559892,100.0,NO (L-33(b): falsified on camera; band A does not fold it either),,,,,,MEASURED,DERIVED-INHERITED,NOT-IN-SCOPE — Lap D is the LIFE limb of I-1. Band-B monster damage is a separate decode (PM-4 queue I-2/I-5).
records/creatures/enemies/aetherialcolossus_a01.dbr,1,0,1,0,104|105|106,104,106,records/creatures/enemies/bios/bio_aetherialcolossus_a01.dbr,((charLevel*15)^1.5)+100,Champion,sm1,61715.0631,63500.9385,86.0,103.0,armorbase04.dbr[103]=86.0,661585,691525,672694,702955,685037,715655,0.0,NO (L-33(b): falsified on camera; band A does not fold it either),records/proxies/poolsbasicgdx1/aetherialcolossus_t3.dbr,trash,164|166|168,164,109,MEASURED,MEASURED-SET,NOT-IN-SCOPE — Lap D is the LIFE limb of I-1. Band-B monster damage is a separate decode (PM-4 queue I-2/I-5).
