wave,G_characterLifeModifier_pct,ultimate_pct,M_without_passives
151,306.0,580.0,9.86
152,308.0,580.0,9.88
153,310.0,580.0,9.9
154,312.0,580.0,9.92
155,314.0,580.0,9.94
156,316.0,580.0,9.96
157,318.0,580.0,9.98
158,320.0,580.0,10.0
159,322.0,580.0,10.02
160,324.0,580.0,10.04
161,326.0,580.0,10.06
162,328.0,580.0,10.08
163,330.0,580.0,10.1
164,332.0,580.0,10.12
165,334.0,580.0,10.14
166,336.0,580.0,10.16
167,338.0,580.0,10.18
168,340.0,580.0,10.2
169,342.0,580.0,10.22
170,344.0,580.0,10.24
