record,body_class,template_name,pak_binding,is_lapb_70,summoners,n_summoners,level_set,level_lo,level_hi,bio_record,life_equation,winner_archive,base_life_lo,base_life_hi,passive_pct_lo,passive_pct_hi,ehp_w151_lo,ehp_w151_hi,ehp_w160_lo,ehp_w160_hi,ehp_w170_lo,ehp_w170_hi,lapb_life,hardening_ratio_lo,own_characterLifeModifier,own_applied,life_grade,level_grade
records/creatures/anomalies/aetheranomaly_01_summon.dbr,Monster,database/templates/monster.tpl,monsterAttributePak -> records/game/balancingadjustment_mp+difficulty_enemies01.dbr,True,records/creatures/enemies/bounties/pm_bounty08.dbr|records/creatures/enemies/hero/human_ascended_h01.dbr|records/creatures/enemies/hero/human_ascended_h02.dbr|records/creatures/enemies/hero/human_ascended_h03.dbr|records/creatures/enemies/hero/human_ascended_h04.dbr|records/creatures/enemies/hero/human_ascended_h05.dbr,7,105|106|107|108,105,108,records/creatures/enemies/bios/bio_trap_fireflare_01.dbr,((charLevel*10)^1.25)+60,gdx1,6037.0464,6251.2693,0.0,0.0,59525,61637,60611,62762,61819,64012,6323.0,9.5858,0.0,NO,MEASURED,DERIVED-INHERITED-FROM-SUMMONER
records/creatures/anomalies/chthonicvoid_groble.dbr,Monster,database/templates/monster.tpl,monsterAttributePak -> records/game/balancingadjustment_mp+difficulty_enemies01.dbr,False,records/creatures/enemies/groblechthonic_c02.dbr,1,104|105|106,104,106,records/creatures/enemies/bios/bio_trap_fireflare_01.dbr,((charLevel*10)^1.25)+60,gdx3,5965.976,6108.2862,0.0,0.0,58824,60227,59898,61327,61091,62548,,,0.0,NO,MEASURED,DERIVED-INHERITED-FROM-SUMMONER
records/creatures/anomalies/eldritchground.dbr,Monster,database/templates/monster.tpl,monsterAttributePak -> records/game/balancingadjustment_mp+difficulty_enemies01.dbr,True,records/creatures/enemies/devotion/gargoyle_h01.dbr|records/creatures/enemies/devotion/gargoyle_h02.dbr|records/creatures/enemies/devotion/gargoyle_h03.dbr|records/creatures/enemies/devotion/gargoyle_h04.dbr|records/creatures/enemies/gargoyle_c01.dbr|records/creatures/enemies/hero/gargoyle_h01.dbr,10,105|106|107|108,105,108,records/creatures/enemies/bios/bio_trap_fireflare_01.dbr,((charLevel*10)^1.25)+60,gdx2,6037.0464,6251.2693,0.0,0.0,59525,61637,60611,62762,61819,64012,6323.0,9.5858,0.0,NO,MEASURED,DERIVED-INHERITED-FROM-SUMMONER
records/creatures/anomalies/sandstorm.dbr,Monster,database/templates/monster.tpl,monsterAttributePak -> records/game/balancingadjustment_mp+difficulty_enemies01.dbr,False,records/creatures/enemies/groblesand_c02.dbr,1,104|105|106,104,106,records/creatures/enemies/bios/bio_trap_fireflare_01.dbr,((charLevel*10)^1.25)+60,gdx2,5965.976,6108.2862,0.0,0.0,58824,60227,59898,61327,61091,62548,,,0.0,NO,MEASURED,DERIVED-INHERITED-FROM-SUMMONER
records/creatures/enemies/aetherialbloater_b01_summon.dbr,Monster,database/templates/monster.tpl,monsterAttributePak -> records/game/balancingadjustment_mp+difficulty_enemies01.dbr,False,records/creatures/enemies/aetherialfleshshaper_c01.dbr|records/creatures/enemies/boss&quest/aetherialcolossus_galakros.dbr|records/creatures/enemies/bounties/pm_bounty07.dbr|records/creatures/enemies/devotion/aetherialfleshshaper_h01.dbr|records/creatures/enemies/devotion/aetherialfleshshaper_h02.dbr|records/creatures/enemies/devotion/aetherialfleshshaper_h03.dbr,12,104|105|106|107|108,104,108,records/creatures/enemies/bios/bio_aetherialbloater_b01.dbr,((charLevel*27)^1.33)+150,sm1,38730.5263,40716.4871,86.0,121.0,415191,450731,422162,458060,429908,466203,,,50.0,NO,MEASURED,DERIVED-INHERITED-FROM-SUMMONER
records/creatures/enemies/aetherialbloater_c01_summon.dbr,Monster,database/templates/monster.tpl,monsterAttributePak -> records/game/balancingadjustment_mp+difficulty_enemies01.dbr,False,records/creatures/enemies/boss&quest/aetherialcolossus_galakros.dbr,1,106|107|108,106,108,records/creatures/enemies/bios/bio_aetherialbloater_c01.dbr,((charLevel*31)^1.33)+150,sm1,47701.8977,48898.8806,103.0,121.0,519473,541310,528060,550112,537600,559892,,,100.0,NO,MEASURED,DERIVED-INHERITED-FROM-SUMMONER
records/creatures/enemies/aetherialcolossus_c02_summon.dbr,Monster,database/templates/monster.tpl,monsterAttributePak -> records/game/balancingadjustment_mp+difficulty_enemies01.dbr,False,records/creatures/enemies/boss&quest/aetherialfleshshaper_hinissius.dbr,1,106|107|108,106,108,records/creatures/enemies/bios/bio_aetherialcolossus_c01.dbr,((charLevel*20)^1.5)+200,sm1,97812.1304,100587.7283,103.0,121.0,1065174,1113506,1082780,1131611,1102342,1151729,,,100.0,NO,MEASURED,DERIVED-INHERITED-FROM-SUMMONER
records/creatures/enemies/aetherialcorruption_a01_summon.dbr,Monster,database/templates/monster.tpl,monsterAttributePak -> records/game/balancingadjustment_mp+difficulty_enemies01.dbr,False,records/creatures/enemies/aetherialfleshshaper_a01.dbr|records/creatures/enemies/aetherialfleshshaper_b01.dbr,2,103|104|105|106,103,106,records/creatures/enemies/bios/bio_aetherialcorruption_a01.dbr,((charLevel*14)^1.33)+50,sm1,15950.9765,16569.8876,69.0,88.0,168282,177960,171153,180943,174344,184257,,,0.0,NO,MEASURED,DERIVED-INHERITED-FROM-SUMMONER
records/creatures/enemies/aetherialcorruption_b01_summon.dbr,Monster,database/templates/monster.tpl,monsterAttributePak -> records/game/balancingadjustment_mp+difficulty_enemies01.dbr,False,records/creatures/enemies/aetherialfleshshaper_c01.dbr|records/creatures/enemies/bounties/pm_bounty07.dbr|records/creatures/enemies/devotion/aetherialfleshshaper_h01.dbr|records/creatures/enemies/devotion/aetherialfleshshaper_h02.dbr|records/creatures/enemies/devotion/aetherialfleshshaper_h03.dbr|records/creatures/enemies/devotion/aetherialfleshshaper_h04.dbr,11,104|105|106|107|108,104,108,records/creatures/enemies/bios/bio_aetherialcorruption_b01.dbr,((charLevel*20)^1.33)+50,sm1,25933.5735,27265.9494,86.0,121.0,278007,301834,282675,306741,287862,312195,,,0.0,NO,MEASURED,DERIVED-INHERITED-FROM-SUMMONER
records/creatures/enemies/aetherialcorruption_b02_summon.dbr,Monster,database/templates/monster.tpl,monsterAttributePak -> records/game/balancingadjustment_mp+difficulty_enemies01.dbr,False,records/creatures/enemies/aetherialfleshshaper_c01.dbr|records/creatures/enemies/boss&quest/aetherialfleshshaper_hinissius.dbr|records/creatures/enemies/bounties/pm_bounty07.dbr|records/creatures/enemies/devotion/aetherialfleshshaper_h01.dbr|records/creatures/enemies/devotion/aetherialfleshshaper_h02.dbr|records/creatures/enemies/devotion/aetherialfleshshaper_h03.dbr,12,104|105|106|107|108,104,108,records/creatures/enemies/bios/bio_aetherialcorruption_b01.dbr,((charLevel*20)^1.33)+50,sm1,25933.5735,27265.9494,86.0,121.0,278007,301834,282675,306741,287862,312195,,,0.0,NO,MEASURED,DERIVED-INHERITED-FROM-SUMMONER
