record,population,radius_m,radius_m_hi,radius_source_field,radius_source_template,grade,grade_hi,collision_flag,body_kind,actor_radius_raw,actor_scale,actor_height,collision_shape,pathing_size,path_mass,physics_mass,force_collision,force_no_collision,monster_class,template_name,archive,mesh,mesh_aabb_half_x,mesh_aabb_half_z,mesh_aabb_height,mesh_arc,basis
records/creatures/anomalies/aetheranomaly_01_summon.dbr,SUMMON-128,0.0,0.0,actorRadius,database/templates/actor.tpl,MEASURED,DERIVED,FORCE-NO-COLLISION,ZERO-RADIUS-DECLARED,0.0,1.0,2.0,,Small,2.0,1.0,,True,Monster,database/templates/monster.tpl,gdx1,creatures/anomalies/anomalya01.msh,0.4676,0.4676,0.93519,resources/Creatures.arc,"MEASURED:actor.tpl actorRadius @Edition-III/gdx1 | HI = x scale (DERIVED, F4 undecided)"
records/creatures/anomalies/chthonicvoid_groble.dbr,SUMMON-128,0.0,0.0,actorRadius,database/templates/actor.tpl,MEASURED,DERIVED,FORCE-NO-COLLISION,ZERO-RADIUS-DECLARED,0.0,1.0,2.0,,Small,2.0,1.0,,True,Monster,database/templates/monster.tpl,gdx3,creatures/anomalies/anomalya01.msh,0.4676,0.4676,0.93519,resources/Creatures.arc,"MEASURED:actor.tpl actorRadius @Edition-III/gdx3 | HI = x scale (DERIVED, F4 undecided)"
records/creatures/anomalies/eldritchground.dbr,SUMMON-128,0.0,0.0,actorRadius,database/templates/actor.tpl,MEASURED,DERIVED,FORCE-NO-COLLISION,ZERO-RADIUS-DECLARED,0.0,1.0,2.0,,Small,2.0,1.0,,True,Monster,database/templates/monster.tpl,gdx2,creatures/anomalies/anomalya01.msh,0.4676,0.4676,0.93519,resources/Creatures.arc,"MEASURED:actor.tpl actorRadius @Edition-III/gdx2 | HI = x scale (DERIVED, F4 undecided)"
records/creatures/anomalies/sandstorm.dbr,SUMMON-128,0.0,0.0,actorRadius,database/templates/actor.tpl,MEASURED,DERIVED,FORCE-NO-COLLISION,ZERO-RADIUS-DECLARED,0.0,1.0,2.0,,Small,2.0,1.0,,True,Monster,database/templates/monster.tpl,gdx2,creatures/anomalies/anomalya01.msh,0.4676,0.4676,0.93519,resources/Creatures.arc,"MEASURED:actor.tpl actorRadius @Edition-III/gdx2 | HI = x scale (DERIVED, F4 undecided)"
records/creatures/enemies/aetherialbloater_b01.dbr,ROSTER-169,0.75,0.8624999821186066,actorRadius,database/templates/actor.tpl,MEASURED,DERIVED,FORCE-COLLISION,PHYSICAL,0.75,1.149999976158142,2.0,,Medium,1.0,5.0,True,,Monster,database/templates/monster.tpl,sm1,creatures/enemies/aetherialbloater/aetherialbloater01a.msh,1.96967,2.03658,4.15771,gdx1/resources/Creatures.arc,"MEASURED:actor.tpl actorRadius @Edition-III/sm1 | HI = x scale (DERIVED, F4 undecided)"
records/creatures/enemies/aetherialbloater_b01_summon.dbr,SUMMON-128,0.75,0.8624999821186066,actorRadius,database/templates/actor.tpl,MEASURED,DERIVED,FORCE-COLLISION,PHYSICAL,0.75,1.149999976158142,2.0,,Medium,1.0,5.0,True,,Monster,database/templates/monster.tpl,sm1,creatures/enemies/aetherialbloater/aetherialbloater01a.msh,1.96967,2.03658,4.15771,gdx1/resources/Creatures.arc,"MEASURED:actor.tpl actorRadius @Edition-III/sm1 | HI = x scale (DERIVED, F4 undecided)"
records/creatures/enemies/aetherialbloater_c01.dbr,ROSTER-169,0.75,0.9375,actorRadius,database/templates/actor.tpl,MEASURED,DERIVED,FORCE-COLLISION,PHYSICAL,0.75,1.25,2.0,,Medium,1.0,5.0,True,,Monster,database/templates/monster.tpl,sm1,creatures/enemies/aetherialbloater/aetherialbloater01a.msh,1.96967,2.03658,4.15771,gdx1/resources/Creatures.arc,"MEASURED:actor.tpl actorRadius @Edition-III/sm1 | HI = x scale (DERIVED, F4 undecided)"
records/creatures/enemies/aetherialbloater_c01_summon.dbr,SUMMON-128,0.75,0.9375,actorRadius,database/templates/actor.tpl,MEASURED,DERIVED,FORCE-COLLISION,PHYSICAL,0.75,1.25,2.0,,Medium,1.0,5.0,True,,Monster,database/templates/monster.tpl,sm1,creatures/enemies/aetherialbloater/aetherialbloater01a.msh,1.96967,2.03658,4.15771,gdx1/resources/Creatures.arc,"MEASURED:actor.tpl actorRadius @Edition-III/sm1 | HI = x scale (DERIVED, F4 undecided)"
records/creatures/enemies/aetherialcolossus_a01.dbr,ROSTER-169,0.75,0.9000000357627869,actorRadius,database/templates/actor.tpl,MEASURED,DERIVED,FORCE-COLLISION,PHYSICAL,0.75,1.2000000476837158,2.0,,Medium,1.0,5.0,True,,Monster,database/templates/monster.tpl,sm1,creatures/enemies/aetherialcolossus/aetherialcolossus01a.msh,1.95342,0.94348,4.90739,gdx1/resources/Creatures.arc,"MEASURED:actor.tpl actorRadius @Edition-III/sm1 | HI = x scale (DERIVED, F4 undecided)"
records/creatures/enemies/aetherialcolossus_c02.dbr,ROSTER-169,0.75,1.1399999856948853,actorRadius,database/templates/actor.tpl,MEASURED,DERIVED,FORCE-COLLISION,PHYSICAL,0.75,1.5199999809265137,2.0,,Medium,1.0,5.0,True,,Monster,database/templates/monster.tpl,sm1,creatures/enemies/aetherialcolossus/aetherialcolossus02a.msh,1.95342,1.11899,5.73577,gdx1/resources/Creatures.arc,"MEASURED:actor.tpl actorRadius @Edition-III/sm1 | HI = x scale (DERIVED, F4 undecided)"
records/creatures/enemies/aetherialcolossus_c02_summon.dbr,SUMMON-128,0.75,1.1399999856948853,actorRadius,database/templates/actor.tpl,MEASURED,DERIVED,FORCE-COLLISION,PHYSICAL,0.75,1.5199999809265137,2.0,,Medium,1.0,5.0,True,,Monster,database/templates/monster.tpl,sm1,creatures/enemies/aetherialcolossus/aetherialcolossus02a.msh,1.95342,1.11899,5.73577,gdx1/resources/Creatures.arc,"MEASURED:actor.tpl actorRadius @Edition-III/sm1 | HI = x scale (DERIVED, F4 undecided)"
records/creatures/enemies/aetherialcorruption_a01.dbr,ROSTER-169,0.44999998807907104,0.5624999850988388,actorRadius,database/templates/actor.tpl,MEASURED,DERIVED,DEFAULT-HOSTILITY-DEPENDENT-UNDECODABLE,PHYSICAL,0.44999998807907104,1.25,2.0,,Small,1.0,5.0,,,Monster,database/templates/monster.tpl,sm1,creatures/enemies/aetherialcorruption/aetherialcorruption01a.msh,1.27014,0.59174,2.98132,gdx1/resources/Creatures.arc,"MEASURED:actor.tpl actorRadius @Edition-III/sm1 | HI = x scale (DERIVED, F4 undecided)"
records/creatures/enemies/aetherialcorruption_a01_summon.dbr,SUMMON-128,0.44999998807907104,0.5624999850988388,actorRadius,database/templates/actor.tpl,MEASURED,DERIVED,DEFAULT-HOSTILITY-DEPENDENT-UNDECODABLE,PHYSICAL,0.44999998807907104,1.25,2.0,,Small,1.0,5.0,,,Monster,database/templates/monster.tpl,sm1,creatures/enemies/aetherialcorruption/aetherialcorruption01a.msh,1.27014,0.59174,2.98132,gdx1/resources/Creatures.arc,"MEASURED:actor.tpl actorRadius @Edition-III/sm1 | HI = x scale (DERIVED, F4 undecided)"
records/creatures/enemies/aetherialcorruption_b01.dbr,ROSTER-169,0.44999998807907104,0.6659999909400938,actorRadius,database/templates/actor.tpl,MEASURED,DERIVED,DEFAULT-HOSTILITY-DEPENDENT-UNDECODABLE,PHYSICAL,0.44999998807907104,1.4800000190734863,2.0,,Small,1.0,5.0,,,Monster,database/templates/monster.tpl,sm1,creatures/enemies/aetherialcorruption/aetherialcorruption01a.msh,1.27014,0.59174,2.98132,gdx1/resources/Creatures.arc,"MEASURED:actor.tpl actorRadius @Edition-III/sm1 | HI = x scale (DERIVED, F4 undecided)"
records/creatures/enemies/aetherialcorruption_b01_summon.dbr,SUMMON-128,0.44999998807907104,0.6659999909400938,actorRadius,database/templates/actor.tpl,MEASURED,DERIVED,DEFAULT-HOSTILITY-DEPENDENT-UNDECODABLE,PHYSICAL,0.44999998807907104,1.4800000190734863,2.0,,Small,1.0,5.0,,,Monster,database/templates/monster.tpl,sm1,creatures/enemies/aetherialcorruption/aetherialcorruption01a.msh,1.27014,0.59174,2.98132,gdx1/resources/Creatures.arc,"MEASURED:actor.tpl actorRadius @Edition-III/sm1 | HI = x scale (DERIVED, F4 undecided)"
records/creatures/enemies/aetherialcorruption_b02.dbr,ROSTER-169,0.44999998807907104,0.6659999909400938,actorRadius,database/templates/actor.tpl,MEASURED,DERIVED,DEFAULT-HOSTILITY-DEPENDENT-UNDECODABLE,PHYSICAL,0.44999998807907104,1.4800000190734863,2.0,,Small,1.0,5.0,,,Monster,database/templates/monster.tpl,sm1,creatures/enemies/aetherialcorruption/aetherialcorruption01a.msh,1.27014,0.59174,2.98132,gdx1/resources/Creatures.arc,"MEASURED:actor.tpl actorRadius @Edition-III/sm1 | HI = x scale (DERIVED, F4 undecided)"
