record,mesh,mesh_arc,half_x,half_z,height,actor_radius,actor_scale
records/creatures/anomalies/aetheranomaly_01_summon.dbr,creatures/anomalies/anomalya01.msh,resources/Creatures.arc,0.4676,0.4676,0.93519,0.0,1.0
records/creatures/anomalies/chthonicvoid_groble.dbr,creatures/anomalies/anomalya01.msh,resources/Creatures.arc,0.4676,0.4676,0.93519,0.0,1.0
records/creatures/anomalies/eldritchground.dbr,creatures/anomalies/anomalya01.msh,resources/Creatures.arc,0.4676,0.4676,0.93519,0.0,1.0
records/creatures/anomalies/sandstorm.dbr,creatures/anomalies/anomalya01.msh,resources/Creatures.arc,0.4676,0.4676,0.93519,0.0,1.0
records/creatures/enemies/aetherialbloater_b01.dbr,creatures/enemies/aetherialbloater/aetherialbloater01a.msh,gdx1/resources/Creatures.arc,1.96967,2.03658,4.15771,0.75,1.149999976158142
records/creatures/enemies/aetherialbloater_b01_summon.dbr,creatures/enemies/aetherialbloater/aetherialbloater01a.msh,gdx1/resources/Creatures.arc,1.96967,2.03658,4.15771,0.75,1.149999976158142
records/creatures/enemies/aetherialbloater_c01.dbr,creatures/enemies/aetherialbloater/aetherialbloater01a.msh,gdx1/resources/Creatures.arc,1.96967,2.03658,4.15771,0.75,1.25
records/creatures/enemies/aetherialbloater_c01_summon.dbr,creatures/enemies/aetherialbloater/aetherialbloater01a.msh,gdx1/resources/Creatures.arc,1.96967,2.03658,4.15771,0.75,1.25
records/creatures/enemies/aetherialcolossus_a01.dbr,creatures/enemies/aetherialcolossus/aetherialcolossus01a.msh,gdx1/resources/Creatures.arc,1.95342,0.94348,4.90739,0.75,1.2000000476837158
records/creatures/enemies/aetherialcolossus_c02.dbr,creatures/enemies/aetherialcolossus/aetherialcolossus02a.msh,gdx1/resources/Creatures.arc,1.95342,1.11899,5.73577,0.75,1.5199999809265137
records/creatures/enemies/aetherialcolossus_c02_summon.dbr,creatures/enemies/aetherialcolossus/aetherialcolossus02a.msh,gdx1/resources/Creatures.arc,1.95342,1.11899,5.73577,0.75,1.5199999809265137
records/creatures/enemies/aetherialcorruption_a01.dbr,creatures/enemies/aetherialcorruption/aetherialcorruption01a.msh,gdx1/resources/Creatures.arc,1.27014,0.59174,2.98132,0.44999998807907104,1.25
records/creatures/enemies/aetherialcorruption_a01_summon.dbr,creatures/enemies/aetherialcorruption/aetherialcorruption01a.msh,gdx1/resources/Creatures.arc,1.27014,0.59174,2.98132,0.44999998807907104,1.25
records/creatures/enemies/aetherialcorruption_b01.dbr,creatures/enemies/aetherialcorruption/aetherialcorruption01a.msh,gdx1/resources/Creatures.arc,1.27014,0.59174,2.98132,0.44999998807907104,1.4800000190734863
