skill_record,display_name,engine_class,arc,canUseWhileMoving,delayMovement,rotationSpeedMultiplier,duration,useResetsDuration,timeBetweenAttacks,characterRunSpeedModifier,is_dev_base_template,grade
records/skills/base_template skills/skill_attackradiusgrow.dbr,Blitz,Skill_AttackRadiusGrow,gdx3,True,,0.33000001311302185,0.20000000298023224,True,200,,True,MEASURED
records/skills/base_template skills/skill_attackradiusspin.dbr,Blitz,Skill_AttackRadiusSpin,gdx2,True,,0.33000001311302185,0.20000000298023224,True,200,,True,MEASURED
records/skills/itemskillsgdx2/relics/hungeringreach.dbr,Voracious Reach,Skill_AttackRadiusSpin,gdx2,True,True,0.3499999940395355,0.25,True,200,,False,MEASURED
records/skills/playerclass09/eyeofreckoning1.dbr,Eye of Reckoning,Skill_AttackRadiusSpin,gdx2,True,True,0.3499999940395355,0.25,True,200,,False,MEASURED
records/skills/base_template skills/skill_attackspellbeam.dbr,Rename Me,Skill_AttackSpellBeam,gdx1,False,,0.25,0.25,True,50,,True,MEASURED
records/skills/base_template skills/skill_attackspellcone.dbr,Rename Me,Skill_AttackSpellCone,gdx1,False,,0.3499999940395355,0.25,True,300,,True,MEASURED
records/skills/base_template skills/skill_attackspelldrain.dbr,,Skill_AttackSpellDrain,gdx1,False,,0.33000001311302185,0.25,True,300,,True,MEASURED
records/skills/base_template skills/skill_skillchanneled.dbr,Rename Me,SkillChanneled,gdx1,False,,,0.25,True,,,True,MEASURED
records/skills/itemskills/legendary/item_obliteration.dbr,Obliteration,Skill_AttackSpellBeam,gdx1,False,,0.5,0.25,True,300,,False,MEASURED
records/skills/itemskills/relics/relic_conflagration.dbr,Conflagration,Skill_AttackSpellBeam,base,False,,0.5,0.25,True,300,,False,MEASURED
records/skills/itemskillsgdx1/componentskills/compa_acidspray.dbr,Acid Purge,Skill_AttackSpellCone,gdx1,False,,0.5,0.25,True,300,,False,MEASURED
records/skills/playerclass05/aetherray1.dbr,Albrecht's Aether Ray,Skill_AttackSpellBeam,base,False,,0.5,0.25,True,300,,False,MEASURED
records/skills/playerclass07/purifyingflame1.dbr,Flames of Ignaffar,Skill_AttackSpellCone,gdx1,False,,0.5,0.25,True,300,,False,MEASURED
records/skills/playerclass08/lifetap1.dbr,Drain Essence,Skill_AttackSpellDrain,gdx1,False,,0.33000001311302185,0.25,True,300,,False,MEASURED
records/skills/playerclass10/windsofasterkarn1.dbr,Winds of Asterkarn,Skill_AttackRadiusGrow,gdx3,False,,0.3499999940395355,0.25,True,200,,False,MEASURED
