record,display_name,engine_class,arc,kind,corpus_status,present_in_edition_III,heal_flat,heal_pct,heal_pct_slow,energy_flat,energy_pct,constitution_pct,cooldown_s,cooldown_field,charges,instant_cast,max_stack,in_played_save_block8,grade,rank_allocated_played,locked_flag_b2
records/skills/default/defaulthealthpotion.dbr,Tonic of Mending,Skill_ChargePotion,gdx3,health,CURRENT-1.3.0.0,True,800.0,25.0,,,,,12.0,skillCooldownTime,1,True,100,True,MEASURED,,
records/skills/default/defaultmanapotion.dbr,Elixir of Spirit,Skill_ChargePotion,gdx3,energy,CURRENT-1.3.0.0,True,,,,120.0,15.0,,12.0,skillCooldownTime,1,True,100,True,MEASURED,,
records/items/misc/potions/_oldpotion_healtha01.dbr,Tonic of Mending,OneShot_PotionHealth,base,health,DEPRECATED-ITEM,True,800.0,25.0,25.0,0.0,0.0,,12.0,useDelayTime,,,100,False,MEASURED,,
records/items/misc/potions/_oldpotion_healtha02.dbr,Tonic of Mending,OneShot_PotionHealth,base,health,DEPRECATED-ITEM,True,1500.0,50.0,,0.0,0.0,,12.0,useDelayTime,,,100,False,MEASURED,,
records/items/misc/potions/_oldpotion_healtha03.dbr,Tonic of Mending,OneShot_PotionHealth,base,health,DEPRECATED-ITEM,True,3000.0,66.0,,0.0,0.0,,12.0,useDelayTime,,,100,False,MEASURED,,
records/items/misc/potions/_oldpotion_healthb01.dbr,Tonic of Mending,OneShot_PotionHealth,base,health,DEPRECATED-ITEM,True,0.0,100.0,,0.0,100.0,,8.0,useDelayTime,,,100,False,MEASURED,,
records/items/misc/potions/_oldpotion_energya01.dbr,Elixir of Spirit,OneShot_PotionMana,base,energy,DEPRECATED-ITEM,True,0.0,0.0,,250.0,35.0,,25.0,useDelayTime,,,100,False,MEASURED,,
records/items/misc/potions/potion_constitutiona01.dbr,Food Ration,OneShot_Food,base,constitution,CURRENT-ITEM,True,,,,0.0,0.0,75.0,3.0,useDelayTime,,,,False,MEASURED,,
records/items/misc/potions/potion_healtha01.dbr,,,,health/energy (2022 save inventory),SAVE-NAMED-CORPUS-ABSENT,False,,,,,,,,,,,,False,"DECLARED-ABSENT: named by the pristine save, not in the 1.3.0.0 corpus",,
records/items/misc/potions/potion_energya01.dbr,,,,health/energy (2022 save inventory),SAVE-NAMED-CORPUS-ABSENT,False,,,,,,,,,,,,False,"DECLARED-ABSENT: named by the pristine save, not in the 1.3.0.0 corpus",,
records/skills/itemskillsgdx3/potionmodifiers/_bac/healthpotion_amplification_buff.dbr,Amplicorum,SkillBuff_Passive,gdx3,"potion-modifier (present, not allocated)",CURRENT-1.3.0.0,True,,,,,,,,,,,,False,MEASURED,,
records/skills/itemskillsgdx3/potionmodifiers/_bac/healthpotion_bloodrite_buff.dbr,Sanginis,SkillBuff_Passive,gdx3,"potion-modifier (present, not allocated)",CURRENT-1.3.0.0,True,,,,,,,,,,,,False,MEASURED,,
records/skills/itemskillsgdx3/potionmodifiers/_bac/healthpotion_freezeimmunity_buff.dbr,Geliodis,SkillBuff_Passive,gdx3,"potion-modifier (present, not allocated)",CURRENT-1.3.0.0,True,,,,,,,,,,,,False,MEASURED,,
records/skills/itemskillsgdx3/potionmodifiers/_bac/healthpotion_pure_buff.dbr,Primordis,SkillBuff_Passive,gdx3,"potion-modifier (present, not allocated)",CURRENT-1.3.0.0,True,,,,,,,,,,,,False,MEASURED,,
records/skills/itemskillsgdx3/potionmodifiers/_bac/healthpotion_stoneskin_buff.dbr,Terrobullum,SkillBuff_Passive,gdx3,"potion-modifier (present, not allocated)",CURRENT-1.3.0.0,True,,,,,,,,,,,,False,MEASURED,,
records/skills/itemskillsgdx3/potionmodifiers/_bac/healthpotion_swift_buff.dbr,Ventorus,SkillBuff_Passive,gdx3,"potion-modifier (present, not allocated)",CURRENT-1.3.0.0,True,,,,,,,,,,,,False,MEASURED,,
records/skills/itemskillsgdx3/potionmodifiers/_bac/healthpotion_truesight_buff.dbr,Occullorum,SkillBuff_Passive,gdx3,"potion-modifier (present, not allocated)",CURRENT-1.3.0.0,True,,,,,,,,,,,,False,MEASURED,,
records/skills/itemskillsgdx3/potionmodifiers/_bac/healthpotion_vampire_buff.dbr,Draculus,SkillBuff_Passive,gdx3,"potion-modifier (present, not allocated)",CURRENT-1.3.0.0,True,,,,,,,,,,,,False,MEASURED,,
records/skills/itemskillsgdx3/potionmodifiers/_bac/healthpotion_wealth_buff.dbr,Phillom,SkillBuff_Passive,gdx3,"potion-modifier (present, not allocated)",CURRENT-1.3.0.0,True,,,,,,,,,,,,False,MEASURED,,
records/skills/itemskillsgdx3/potionmodifiers/_energypotion_blank.dbr,,Skill_PotionModifier,gdx3,"potion-modifier (present, not allocated)",CURRENT-1.3.0.0,True,,,,,,,,,,,,False,MEASURED,,
records/skills/itemskillsgdx3/potionmodifiers/_healthpotion_blank.dbr,,Skill_PotionModifier,gdx3,"potion-modifier (present, not allocated)",CURRENT-1.3.0.0,True,,,,,,,,,,,,False,MEASURED,,
records/skills/itemskillsgdx3/potionmodifiers/energypotion_absorbing.dbr,Menhirus,Skill_PotionModifier,gdx3,"potion-modifier (present, not allocated)",CURRENT-1.3.0.0,True,,,,,,,,,,,,True,MEASURED,0,1
records/skills/itemskillsgdx3/potionmodifiers/energypotion_amplification.dbr,,SkillSecondary_BuffSelfDuration,gdx3,"potion-modifier (present, not allocated)",CURRENT-1.3.0.0,True,,,,,,,,,,,,True,MEASURED,0,1
records/skills/itemskillsgdx3/potionmodifiers/energypotion_amplification_buff.dbr,Amplicorum,SkillBuff_Passive,gdx3,"potion-modifier (present, not allocated)",CURRENT-1.3.0.0,True,,,,,,,,,,,,False,MEASURED,,
records/skills/itemskillsgdx3/potionmodifiers/energypotion_bloodrite.dbr,,SkillSecondary_BuffSelfDuration,gdx3,"potion-modifier (present, not allocated)",CURRENT-1.3.0.0,True,,,,,,,,,,,,True,MEASURED,0,1
records/skills/itemskillsgdx3/potionmodifiers/energypotion_bloodrite_buff.dbr,Sanginis,SkillBuff_Passive,gdx3,"potion-modifier (present, not allocated)",CURRENT-1.3.0.0,True,,,,,,,,,,,,False,MEASURED,,
records/skills/itemskillsgdx3/potionmodifiers/energypotion_electrified.dbr,Potentis,SkillSecondary_AttackProjectileRing,gdx3,"potion-modifier (present, not allocated)",CURRENT-1.3.0.0,True,,,,,,,,,,,,True,MEASURED,0,1
records/skills/itemskillsgdx3/potionmodifiers/energypotion_energyovertime.dbr,Navitochromatis,Skill_PotionModifier,gdx3,"potion-modifier (present, not allocated)",CURRENT-1.3.0.0,True,,,,,,,,,,,,True,MEASURED,0,1
records/skills/itemskillsgdx3/potionmodifiers/energypotion_explosive.dbr,Expulsimum,SkillSecondary_AttackRadius,gdx3,"potion-modifier (present, not allocated)",CURRENT-1.3.0.0,True,,,,,,,,,,,,True,MEASURED,0,1
records/skills/itemskillsgdx3/potionmodifiers/energypotion_freezeimmunity.dbr,,SkillSecondary_BuffSelfDuration,gdx3,"potion-modifier (present, not allocated)",CURRENT-1.3.0.0,True,,,,,,,,,,,,True,MEASURED,0,1
records/skills/itemskillsgdx3/potionmodifiers/energypotion_freezeimmunity_buff.dbr,Geliodis,SkillBuff_Passive,gdx3,"potion-modifier (present, not allocated)",CURRENT-1.3.0.0,True,,,,,,,,,,,,False,MEASURED,,
records/skills/itemskillsgdx3/potionmodifiers/energypotion_healovertime.dbr,Sansochromatis,Skill_PotionModifier,gdx3,"potion-modifier (present, not allocated)",CURRENT-1.3.0.0,True,,,25.0,,,,,,,,,True,MEASURED,0,0
records/skills/itemskillsgdx3/potionmodifiers/energypotion_infusion.dbr,Chromatorrum,Skill_PotionModifier,gdx3,"potion-modifier (present, not allocated)",CURRENT-1.3.0.0,True,,,,,,,,,,,,True,MEASURED,0,1
records/skills/itemskillsgdx3/potionmodifiers/energypotion_instantenergy.dbr,Navito,Skill_PotionModifier,gdx3,"potion-modifier (present, not allocated)",CURRENT-1.3.0.0,True,,,,,20.0,,,,,,,True,MEASURED,0,1
records/skills/itemskillsgdx3/potionmodifiers/energypotion_instantheal.dbr,Sanso,Skill_PotionModifier,gdx3,"potion-modifier (present, not allocated)",CURRENT-1.3.0.0,True,,12.0,,,,,,,,,,True,MEASURED,0,1
records/skills/itemskillsgdx3/potionmodifiers/energypotion_pure.dbr,,SkillSecondary_BuffSelfDuration,gdx3,"potion-modifier (present, not allocated)",CURRENT-1.3.0.0,True,,,,,,,,,,,,True,MEASURED,0,1
records/skills/itemskillsgdx3/potionmodifiers/energypotion_pure_buff.dbr,Primordis,SkillBuff_Passive,gdx3,"potion-modifier (present, not allocated)",CURRENT-1.3.0.0,True,,,,,,,,,,,,False,MEASURED,,
records/skills/itemskillsgdx3/potionmodifiers/energypotion_savior.dbr,Savillis,Skill_PotionModifier,gdx3,"potion-modifier (present, not allocated)",CURRENT-1.3.0.0,True,,,,,,,8.0,skillCooldownTime,,,,True,MEASURED,0,1
records/skills/itemskillsgdx3/potionmodifiers/energypotion_selfless.dbr,Alterom,Skill_PotionModifier,gdx3,"potion-modifier (present, not allocated)",CURRENT-1.3.0.0,True,,,,,,,,,,,,True,MEASURED,0,1
records/skills/itemskillsgdx3/potionmodifiers/energypotion_stoneskin.dbr,,SkillSecondary_BuffSelfDuration,gdx3,"potion-modifier (present, not allocated)",CURRENT-1.3.0.0,True,,,,,,,,,,,,True,MEASURED,0,1
records/skills/itemskillsgdx3/potionmodifiers/energypotion_stoneskin_buff.dbr,Terrobullum,SkillBuff_Passive,gdx3,"potion-modifier (present, not allocated)",CURRENT-1.3.0.0,True,,,,,,,,,,,,False,MEASURED,,
records/skills/itemskillsgdx3/potionmodifiers/energypotion_swift.dbr,,SkillSecondary_BuffSelfDuration,gdx3,"potion-modifier (present, not allocated)",CURRENT-1.3.0.0,True,,,,,,,,,,,,True,MEASURED,0,1
records/skills/itemskillsgdx3/potionmodifiers/energypotion_swift_buff.dbr,Ventorus,SkillBuff_Passive,gdx3,"potion-modifier (present, not allocated)",CURRENT-1.3.0.0,True,,,,,,,,,,,,False,MEASURED,,
records/skills/itemskillsgdx3/potionmodifiers/energypotion_transfusion.dbr,Revurrum,Skill_PotionModifier,gdx3,"potion-modifier (present, not allocated)",CURRENT-1.3.0.0,True,,,,,,,,,,,,True,MEASURED,0,1
records/skills/itemskillsgdx3/potionmodifiers/energypotion_truesight.dbr,,SkillSecondary_BuffSelfDuration,gdx3,"potion-modifier (present, not allocated)",CURRENT-1.3.0.0,True,,,,,,,,,,,,True,MEASURED,0,1
records/skills/itemskillsgdx3/potionmodifiers/energypotion_truesight_buff.dbr,Occullorum,SkillBuff_Passive,gdx3,"potion-modifier (present, not allocated)",CURRENT-1.3.0.0,True,,,,,,,,,,,,False,MEASURED,,
records/skills/itemskillsgdx3/potionmodifiers/energypotion_vampire.dbr,,SkillSecondary_BuffSelfDuration,gdx3,"potion-modifier (present, not allocated)",CURRENT-1.3.0.0,True,,,,,,,,,,,,True,MEASURED,0,1
records/skills/itemskillsgdx3/potionmodifiers/energypotion_vampire_buff.dbr,Draculus,SkillBuff_Passive,gdx3,"potion-modifier (present, not allocated)",CURRENT-1.3.0.0,True,,,,,,,,,,,,False,MEASURED,,
records/skills/itemskillsgdx3/potionmodifiers/energypotion_wealth.dbr,,SkillSecondary_BuffSelfDuration,gdx3,"potion-modifier (present, not allocated)",CURRENT-1.3.0.0,True,,,,,,,,,,,,True,MEASURED,0,1
records/skills/itemskillsgdx3/potionmodifiers/energypotion_wealth_buff.dbr,Phillom,SkillBuff_Passive,gdx3,"potion-modifier (present, not allocated)",CURRENT-1.3.0.0,True,,,,,,,,,,,,False,MEASURED,,
records/skills/itemskillsgdx3/potionmodifiers/healthpotion_absorbing.dbr,Menhirus,Skill_PotionModifier,gdx3,"potion-modifier (present, not allocated)",CURRENT-1.3.0.0,True,,,,,,,,,,,,True,MEASURED,0,1
records/skills/itemskillsgdx3/potionmodifiers/healthpotion_amplification.dbr,,SkillSecondary_BuffSelfDuration,gdx3,"potion-modifier (present, not allocated)",CURRENT-1.3.0.0,True,,,,,,,,,,,,True,MEASURED,0,1
records/skills/itemskillsgdx3/potionmodifiers/healthpotion_bloodrite.dbr,,SkillSecondary_BuffSelfDuration,gdx3,"potion-modifier (present, not allocated)",CURRENT-1.3.0.0,True,,,,,,,,,,,,True,MEASURED,0,1
records/skills/itemskillsgdx3/potionmodifiers/healthpotion_electrified.dbr,Potentis,SkillSecondary_AttackProjectileRing,gdx3,"potion-modifier (present, not allocated)",CURRENT-1.3.0.0,True,,,,,,,,,,,,True,MEASURED,0,1
records/skills/itemskillsgdx3/potionmodifiers/healthpotion_energyovertime.dbr,Navitochromatis,Skill_PotionModifier,gdx3,"potion-modifier (present, not allocated)",CURRENT-1.3.0.0,True,,,,,,,,,,,,True,MEASURED,0,1
records/skills/itemskillsgdx3/potionmodifiers/healthpotion_explosive.dbr,Expulsimum,SkillSecondary_AttackRadius,gdx3,"potion-modifier (present, not allocated)",CURRENT-1.3.0.0,True,,,,,,,,,,,,True,MEASURED,0,1
records/skills/itemskillsgdx3/potionmodifiers/healthpotion_freezeimmunity.dbr,,SkillSecondary_BuffSelfDuration,gdx3,"potion-modifier (present, not allocated)",CURRENT-1.3.0.0,True,,,,,,,,,,,,True,MEASURED,0,1
records/skills/itemskillsgdx3/potionmodifiers/healthpotion_healovertime.dbr,Sansochromatis,Skill_PotionModifier,gdx3,potion-modifier ALLOCATED,CURRENT-1.3.0.0,True,,,25.0,,,,,,,,,True,MEASURED,1,0
records/skills/itemskillsgdx3/potionmodifiers/healthpotion_infusion.dbr,Chromatorrum,Skill_PotionModifier,gdx3,"potion-modifier (present, not allocated)",CURRENT-1.3.0.0,True,,,,,,,,,,,,True,MEASURED,0,1
records/skills/itemskillsgdx3/potionmodifiers/healthpotion_instantenergy.dbr,Navito,Skill_PotionModifier,gdx3,"potion-modifier (present, not allocated)",CURRENT-1.3.0.0,True,,,,,20.0,,,,,,,True,MEASURED,0,1
records/skills/itemskillsgdx3/potionmodifiers/healthpotion_instantheal.dbr,Sanso,Skill_PotionModifier,gdx3,"potion-modifier (present, not allocated)",CURRENT-1.3.0.0,True,,12.0,,,,,,,,,,True,MEASURED,0,1
records/skills/itemskillsgdx3/potionmodifiers/healthpotion_pure.dbr,,SkillSecondary_BuffSelfDuration,gdx3,"potion-modifier (present, not allocated)",CURRENT-1.3.0.0,True,,,,,,,,,,,,True,MEASURED,0,1
records/skills/itemskillsgdx3/potionmodifiers/healthpotion_savior.dbr,Savillis,Skill_PotionModifier,gdx3,"potion-modifier (present, not allocated)",CURRENT-1.3.0.0,True,,,,,,,8.0,skillCooldownTime,,,,True,MEASURED,0,1
records/skills/itemskillsgdx3/potionmodifiers/healthpotion_selfless.dbr,Alterom,Skill_PotionModifier,gdx3,"potion-modifier (present, not allocated)",CURRENT-1.3.0.0,True,,,,,,,,,,,,True,MEASURED,0,1
records/skills/itemskillsgdx3/potionmodifiers/healthpotion_stoneskin.dbr,,SkillSecondary_BuffSelfDuration,gdx3,"potion-modifier (present, not allocated)",CURRENT-1.3.0.0,True,,,,,,,,,,,,True,MEASURED,0,1
records/skills/itemskillsgdx3/potionmodifiers/healthpotion_swift.dbr,,SkillSecondary_BuffSelfDuration,gdx3,"potion-modifier (present, not allocated)",CURRENT-1.3.0.0,True,,,,,,,,,,,,True,MEASURED,0,1
records/skills/itemskillsgdx3/potionmodifiers/healthpotion_transfusion.dbr,Revurrum,Skill_PotionModifier,gdx3,"potion-modifier (present, not allocated)",CURRENT-1.3.0.0,True,,,,,,,,,,,,True,MEASURED,0,1
records/skills/itemskillsgdx3/potionmodifiers/healthpotion_truesight.dbr,,SkillSecondary_BuffSelfDuration,gdx3,"potion-modifier (present, not allocated)",CURRENT-1.3.0.0,True,,,,,,,,,,,,True,MEASURED,0,1
records/skills/itemskillsgdx3/potionmodifiers/healthpotion_vampire.dbr,,SkillSecondary_BuffSelfDuration,gdx3,"potion-modifier (present, not allocated)",CURRENT-1.3.0.0,True,,,,,,,,,,,,True,MEASURED,0,1
records/skills/itemskillsgdx3/potionmodifiers/healthpotion_wealth.dbr,,SkillSecondary_BuffSelfDuration,gdx3,"potion-modifier (present, not allocated)",CURRENT-1.3.0.0,True,,,,,,,,,,,,True,MEASURED,0,1
records/skills/itemskillsgdx3/potionmodifiers/container_energypotion_flask.dbr,Flask,Skill_PotionContainer,gdx3,potion-container (FoA customisation),CURRENT-1.3.0.0,True,,,,,,,"[10.0, 9.0, 8.0, 7.0, 6.0]",skillCooldownTime (per-rank DELTA),"[1, 1, 2, 2, 2]",,,True,MEASURED (availability to THIS character NOT decodable -- see README),,
