skill_record,display_name,engine_class,arc,kind,host_skill,rank,rank_basis,trigger,trigger_param,trigger_chance_pct,trigger_target,trigger_radius_m,controller_record,duration_s,cooldown_s,mana_cost,instant_cast,aura_radius_m,magnitudes,grade
records/skills/playerclass09/ascension1.dbr,Ascension,Skill_BuffSelfDuration,gdx2,active-buff,,2,"DERIVED: allocated+1 (+all 1, +Oathkeeper 0; sheet frame 512)",manual,,,,,,10.0,24.0,36.0,True,,damageAbsorption=30.0 ; offensiveTotalDamageModifier=38.0 ; retaliationTotalDamageModifier=39.0,MEASURED
records/skills/playerclass09/ascension2.dbr,Clarity of Purpose,Skill_Modifier,gdx2,active-buff-modifier,,2,"DERIVED: allocated+1 (+all 1, +Oathkeeper 0; sheet frame 512)",manual,,,,,,,,5.0,,,,MEASURED
records/skills/playerclass01/warcry1.dbr,War Cry,Skill_AttackRadius,base,active-debuff,,16,"DERIVED: allocated+4 (+all 1, +Soldier 3; sheet frame 512)",manual,,,,,,,7.5,50.0,True,"[5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 16.200000762939453, 16.399999618530273, 16.600000381469727, 16.799999237060547, 17.0, 17.200000762939453, 17.399999618530273, 17.600000381469727, 17.799999237060547, 18.0]",offensiveTotalDamageReductionPercentMin=29.0,MEASURED
records/skills/playerclass01/warcry2.dbr,Break Morale,Skill_Modifier,base,active-debuff-modifier,,16,"DERIVED: allocated+4 (+all 1, +Soldier 3; sheet frame 512)",manual,,,,,,,,50.0,,,,MEASURED
records/skills/playerclass01/willtolive1.dbr,Menhir's Will,Skill_PassiveOnLifeBuffSelf,base,auto-circuit-breaker,,5,"DERIVED: allocated+4 (+all 1, +Soldier 3; sheet frame 512)",LowHealth,33.0,,,,,10.0,21.0,,,,characterLifeRegen=120.0 ; skillLifePercent=35.0,MEASURED
records/skills/playerclass01/fightingspirit1.dbr,Fighting Spirit,Skill_PassiveOnHitBuffSelf,base,auto-on-hit-buff,,5,"DERIVED: allocated+4 (+all 1, +Soldier 3; sheet frame 512)",OnHit,,30.0,,,,6.199999809265137,5.0,,,,characterOffensiveAbility=108.0 ; offensiveTotalDamageModifier=95.0,MEASURED
records/skills/playerclass01/fieldcommand1buff.dbr,Field Command,SkillBuff_Passive,base,passive-aura,,14,"DERIVED: allocated+4 (+all 1, +Soldier 3; sheet frame 512)",manual,,,,,,,,,,12.0,characterDefensiveAbility=100.0 ; characterOffensiveAbility=100.0 ; defensiveProtectionModifier=22.0,MEASURED
records/skills/playerclass09/presenceofvirtue1_buff.dbr,Presence of Virtue,SkillBuff_Passive,gdx2,passive-aura,,13,"DERIVED: allocated+1 (+all 1, +Oathkeeper 0; sheet frame 512)",manual,,,,,,,,,,12.0,characterOffensiveAbility=141.0,MEASURED
records/skills/playerclass09/divinemandate1.dbr,Divine Mandate,Skill_BuffSelfToggled,gdx2,toggled-buff,,13,"DERIVED: allocated+1 (+all 1, +Oathkeeper 0; sheet frame 512)",manual,,,,,,,,,False,,,MEASURED
records/skills/itemskillsgdx1/componentskills/compa_presenceofmight_01.dbr,Presence of Might,Skill_BuffSelfToggled,gdx1,toggled-buff,,1,"MEASURED: item-granted, rank 1",manual,,,,,,,,,False,,defensiveProtectionModifier=8.0,MEASURED
records/skills/playerclass09/summon_celestialguardian1.dbr,Summon Guardian of Empyrion,Skill_TargetedSpawnPet,gdx2,summon,,2,"DERIVED: allocated+1 (+all 1, +Oathkeeper 0; sheet frame 512)",manual,,,,,,,20.0,,,,petLimit=2,MEASURED
records/skills/itemskillsgdx1/relics/summondeathstalker.dbr,Summon Deathstalker,Skill_SpawnPet,gdx1,summon,,1,"MEASURED: item-granted, rank 1",manual,,,,,,,15.0,200.0,True,,petLimit=1,MEASURED
records/skills/devotion/tier1_29e_skill.dbr,Turtle Shell,Skill_BuffSelfShield,gdx3,bound-devotion-proc,records/skills/playerclass01/fieldcommand1.dbr,25,MEASURED: devotion_level 25 from player.gdc block 8,LowHealth,50.0,100,Self,,records/controllers/itemskills/cast_@selfat50%health_100%.dbr,,8.0,,True,,damageAbsorption=6100.0,MEASURED
records/skills/devotion/tier2_37d_skill.dbr,Ulzaad's Decree,Skill_BuffSelfDuration,gdx3,bound-devotion-proc,records/skills/playerclass01/warcry1.dbr,20,MEASURED: devotion_level 20 from player.gdc block 8,AttackEnemy,,20,Self,5.0,records/controllers/itemskills/cast_@selfonattack_20%.dbr,10.0,22.0,,True,,,MEASURED
records/skills/devotion/tier2_17c_skill.dbr,Arcane Barrier,Skill_BuffSelfShield,gdx3,bound-devotion-proc,records/skills/playerclass09/divinemandate1.dbr,20,MEASURED: devotion_level 20 from player.gdc block 8,HitByEnemy,,30,Self,5.0,records/controllers/itemskills/cast_@selfonanyhit_30%.dbr,,3.0,,True,,damageAbsorption=2900.0,MEASURED
records/skills/devotion/tier2_02f_skill.dbr,Tip the Scales,Skill_AttackSpell,gdx3,bound-devotion-proc,records/skills/playerclass09/presenceofvirtue1.dbr,20,MEASURED: devotion_level 20 from player.gdc block 8,HitByEnemy,,33,Enemy,22.0,records/controllers/itemskills/cast_@enemyonanyhit_33%.dbr,,1.0,,,,offensiveLifeLeechMin=132.0 ; offensiveLifeMin=310.0,MEASURED
records/skills/devotion/tier3_20e_skill.dbr,Shifting Sands,Skill_AttackProjectile,gdx3,bound-devotion-proc,records/skills/playerclass09/summon_celestialguardian1.dbr,15,MEASURED: devotion_level 15 from player.gdc block 8,AttackEnemy,,20,Enemy,22.0,records/controllers/itemskills/cast_@enemyonattack_20%.dbr,1.0,0.5,,,,,MEASURED
records/skills/devotion/tier2_05f_skill.dbr,,Skill_AttackBuffRadius,gdx3,bound-devotion-proc,records/skills/playerclass09/viremight1.dbr,20,MEASURED: devotion_level 20 from player.gdc block 8,AttackEnemy,,20,Self,5.0,records/controllers/itemskills/cast_@selfonattack_20%.dbr,,,,,,,MEASURED
records/skills/devotion/tier2_05f_skill_buff.dbr,Maul,SkillBuff_Debuf,gdx3,bound-devotion-proc-payload,records/skills/playerclass09/viremight1.dbr,20,MEASURED: devotion_level 20 (payload of tier2_05f_skill.dbr),AttackEnemy,,20,Self,5.0,records/controllers/itemskills/cast_@selfonattack_20%.dbr,5.0,,,,4.5,defensiveProtectionModifier=-35.0 ; offensiveLifeLeechMin=45.0,MEASURED
records/skills/devotion/tier1_08e_skill.dbr,Assassin Blade - Assassin's Mark,Skill_AttackBuff,gdx3,bound-devotion-proc,records/skills/playerclass09/eyeofreckoning1.dbr,25,MEASURED: devotion_level 25 from player.gdc block 8,AttackEnemyCrit,,100,Enemy,22.0,records/controllers/itemskills/cast_@enemyonattackcrit_100%.dbr,,,,,,,MEASURED
records/skills/devotion/tier1_08e_skill_buff.dbr,Assassin's Mark,SkillBuff_Debuf,gdx3,bound-devotion-proc-payload,records/skills/playerclass09/eyeofreckoning1.dbr,25,MEASURED: devotion_level 25 (payload of tier1_08e_skill.dbr),AttackEnemyCrit,,100,Enemy,22.0,records/controllers/itemskills/cast_@enemyonattackcrit_100%.dbr,18.0,,,,,,MEASURED
