skill_record,display_name,mastery,engine_class,arc,rank_allocated,rank_effective,rank_effective_basis,devotion_level,skill_max_level,skill_ultimate_level,bound_on_bar,binding_ordinals,n_bindings,is_item_skill,item_record,equip_location,autocast_devotion_skill,autocast_controller,pristine_rank_allocated,pristine_bound_on_bar,rank_changed_vs_pristine,binding_changed_vs_pristine,source,grade
records/skills/playerclass09/viremight1.dbr,Vire's Might,Oathkeeper,Skill_AttackPathCharge,gdx2,1,2,"DERIVED: allocated+1 (+all 1, +Oathkeeper 0; sheet frame 512)",0,16,26,True,0,1,False,,,records/skills/devotion/tier2_05f_skill.dbr,records/controllers/itemskills/cast_@selfonattack_20%.dbr,1,True,False,False,player.gdc block 8 (+ block 14 for bindings),MEASURED
records/skills/playerclass01/warcry1.dbr,War Cry,Soldier,Skill_AttackRadius,base,12,16,"DERIVED: allocated+4 (+all 1, +Soldier 3; sheet frame 512)",0,12,22,True,1,1,False,,,records/skills/devotion/tier2_37d_skill.dbr,records/controllers/itemskills/cast_@selfonattack_20%.dbr,12,True,False,False,player.gdc block 8 (+ block 14 for bindings),MEASURED
records/skills/playerclass09/ascension1.dbr,Ascension,Oathkeeper,Skill_BuffSelfDuration,gdx2,1,2,"DERIVED: allocated+1 (+all 1, +Oathkeeper 0; sheet frame 512)",0,12,22,True,2,1,False,,,,,1,True,False,False,player.gdc block 8 (+ block 14 for bindings),MEASURED
records/skills/itemskillsgdx2/runes/rush_d203.dbr,Violent Delights,default,Skill_AttackPathCharge,gdx2,,,"MEASURED: default skill, no rank bonus",0,1,,True,3,1,True,records/items/enchants/runes/d203_rune.dbr,14,,,,True,False,False,player.gdc block 14,MEASURED
records/skills/playerclass01/blitz1.dbr,Blitz,Soldier,Skill_AttackWeaponCharge,base,1,5,"DERIVED: allocated+4 (+all 1, +Soldier 3; sheet frame 512)",0,16,26,True,4,1,False,,,,,1,True,False,False,player.gdc block 8 (+ block 14 for bindings),MEASURED
records/skills/default/defaultweaponattack.dbr,Weapon Attack,default,Skill_WeaponPool_Default,base,1,1,MEASURED: no rank bonus applies (item-granted / devotion / default skill),0,1,,True,5,1,False,,,,,1,True,False,False,player.gdc block 8 (+ block 14 for bindings),MEASURED
records/skills/playerclass09/eyeofreckoning1.dbr,Eye of Reckoning,Oathkeeper,Skill_AttackRadiusSpin,gdx2,15,16,"DERIVED: allocated+1 (+all 1, +Oathkeeper 0; sheet frame 512)",0,16,26,True,6|7,2,False,,,records/skills/devotion/tier1_08e_skill.dbr,records/controllers/itemskills/cast_@enemyonattackcrit_100%.dbr,15,True,False,False,player.gdc block 8 (+ block 14 for bindings),MEASURED
records/skills/playerclass09/summon_celestialguardian1.dbr,Summon Guardian of Empyrion,Oathkeeper,Skill_TargetedSpawnPet,gdx2,1,2,"DERIVED: allocated+1 (+all 1, +Oathkeeper 0; sheet frame 512)",0,16,26,True,8,1,False,,,records/skills/devotion/tier3_20e_skill.dbr,records/controllers/itemskills/cast_@enemyonattack_20%.dbr,1,True,False,False,player.gdc block 8 (+ block 14 for bindings),MEASURED
records/skills/itemskillsgdx1/relics/summondeathstalker.dbr,Summon Deathstalker,default,Skill_SpawnPet,gdx1,,,"MEASURED: default skill, no rank bonus",0,1,,True,9,1,True,records/items/gearrelic/d114_relic.dbr,11,,,,True,False,False,player.gdc block 14,MEASURED
records/skills/default/defaultevade.dbr,Evade,default,Skill_Evade,base,1,1,MEASURED: no rank bonus applies (item-granted / devotion / default skill),0,1,1,False,,0,False,,,,,,False,False,False,player.gdc block 8 (+ block 14 for bindings),MEASURED
records/skills/default/defaulthealthpotion.dbr,Tonic of Mending,default,Skill_ChargePotion,gdx3,1,1,MEASURED: no rank bonus applies (item-granted / devotion / default skill),0,1,,False,,0,False,,,,,,False,False,False,player.gdc block 8 (+ block 14 for bindings),MEASURED
records/skills/default/defaultkickattack.dbr,,default,Skill_Kick,base,1,1,MEASURED: no rank bonus applies (item-granted / devotion / default skill),0,1,,False,,0,False,,,,,1,False,False,False,player.gdc block 8 (+ block 14 for bindings),MEASURED
records/skills/default/defaultmanapotion.dbr,Elixir of Spirit,default,Skill_ChargePotion,gdx3,1,1,MEASURED: no rank bonus applies (item-granted / devotion / default skill),0,1,,False,,0,False,,,,,,False,False,False,player.gdc block 8 (+ block 14 for bindings),MEASURED
records/skills/default/defaultmoveto.dbr,Move To,default,Skill_Move,base,1,1,MEASURED: no rank bonus applies (item-granted / devotion / default skill),0,1,,False,,0,False,,,,,1,False,False,False,player.gdc block 8 (+ block 14 for bindings),MEASURED
records/skills/default/defaultpetattack.dbr,Pet Attack,default,Skill_PetAttack,base,1,1,MEASURED: no rank bonus applies (item-granted / devotion / default skill),0,1,,False,,0,False,,,,,1,False,False,False,player.gdc block 8 (+ block 14 for bindings),MEASURED
records/skills/default/defaultwpbasicattack.dbr,Weapon Attack,default,Skill_WPAttack_BasicAttack,base,1,1,MEASURED: no rank bonus applies (item-granted / devotion / default skill),0,1,,False,,0,False,,,,,1,False,False,False,player.gdc block 8 (+ block 14 for bindings),MEASURED
records/skills/devotion/tier1_01a.dbr,Bat,devotion,Skill_Passive,base,0,0,n/a (rank 0),1,1,,False,,0,False,,,,,0,False,False,False,player.gdc block 8 (+ block 14 for bindings),MEASURED
