window,t_start,t_end,dur_s,moving_frac_th60,moving_frac_th200,moving_frac_th400,n_bouts,median_bout_dur_s,median_bout_net_gpx,median_bout_path_gpx,total_path_gpx,mean_speed_gpx_s,n_dash_class_950,n_dash_class_1800,longest_stationary_s
wave 151,683.0,698.6,15.6,0.863,0.75,0.459,7,1.383,439.1,617.6,5791.0,371.2,2,1,0.98
wave 152,698.6,714.9,16.3,0.918,0.838,0.564,11,1.1,211.1,488.1,6969.0,427.5,2,1,0.25
wave 153,714.9,729.8,14.9,0.899,0.794,0.55,6,2.133,461.3,1211.6,6540.0,438.9,4,3,0.65
wave 154,729.8,744.0,14.2,0.853,0.663,0.37,12,0.517,33.5,141.4,4787.0,337.1,3,1,0.42
wave 155,744.0,760.2,16.2,0.932,0.813,0.563,9,0.567,218.1,240.8,7265.0,448.5,4,3,0.55
wave 156,760.2,780.4,20.2,0.872,0.79,0.488,12,1.708,227.0,662.8,7628.0,377.6,2,0,0.6
wave 157,780.4,799.7,19.3,0.921,0.78,0.533,15,0.833,237.3,472.4,8335.0,431.8,3,2,0.2
wave 158,799.7,812.7,13.0,0.887,0.791,0.554,4,2.225,148.7,1128.8,5447.0,419.0,4,1,1.4
wave 159,812.7,839.0,26.3,0.894,0.715,0.443,15,0.65,145.7,348.7,9879.0,375.6,6,3,0.92
wave 160,839.0,864.0,25.0,0.817,0.687,0.459,22,0.6,182.6,349.7,9320.0,372.8,4,4,0.48
wave ALL,683.0,864.0,181.0,0.883,0.757,0.494,107,1.033,226.9,472.4,71960.0,397.6,34,19,1.4
