window,wave,t_start,t_end,n_instants,max_contact,typical_contact,median_contact,p90_contact,mean_contact,max_R120,mode_R120,max_R150,mode_R150,max_R180,mode_R180,occlusion_caveat
W151-early,wave 151,688.0,698.5,553,8,0,1.0,3.0,1.11,5,0,8,0,12,0,"LOWER BOUND: counts nameplated monsters only; nameplate presence proves a living monster, absence does not prove absence. Large-bodied monsters are under-counted because their plate sits high above the head, far from the ground contact point. Contact criterion = plate anchor within 150 ground px of the player plate anchor (ground plane de-projected by K=0.537)."
PM4H-E1,wave 151,689.0,694.0,273,4,0,0.0,1.0,0.54,3,0,4,0,6,0,"LOWER BOUND: counts nameplated monsters only; nameplate presence proves a living monster, absence does not prove absence. Large-bodied monsters are under-counted because their plate sits high above the head, far from the ground contact point. Contact criterion = plate anchor within 150 ground px of the player plate anchor (ground plane de-projected by K=0.537)."
PM4H-E2,wave 156,770.0,774.0,241,8,1,2.0,5.0,2.46,7,1,8,1,8,2,"LOWER BOUND: counts nameplated monsters only; nameplate presence proves a living monster, absence does not prove absence. Large-bodied monsters are under-counted because their plate sits high above the head, far from the ground contact point. Contact criterion = plate anchor within 150 ground px of the player plate anchor (ground plane de-projected by K=0.537)."
PM4H-E3,wave 158,810.5,813.25,132,5,0,1.0,2.0,0.87,5,0,5,0,5,1,"LOWER BOUND: counts nameplated monsters only; nameplate presence proves a living monster, absence does not prove absence. Large-bodied monsters are under-counted because their plate sits high above the head, far from the ground contact point. Contact criterion = plate anchor within 150 ground px of the player plate anchor (ground plane de-projected by K=0.537)."
PM4H-E4,wave 157,779.0,784.0,220,5,0,0.0,1.0,0.5,4,0,5,0,6,0,"LOWER BOUND: counts nameplated monsters only; nameplate presence proves a living monster, absence does not prove absence. Large-bodied monsters are under-counted because their plate sits high above the head, far from the ground contact point. Contact criterion = plate anchor within 150 ground px of the player plate anchor (ground plane de-projected by K=0.537)."
PM4H-E5,wave 158-159,813.0,817.0,227,3,0,0.0,1.0,0.53,3,0,3,0,3,0,"LOWER BOUND: counts nameplated monsters only; nameplate presence proves a living monster, absence does not prove absence. Large-bodied monsters are under-counted because their plate sits high above the head, far from the ground contact point. Contact criterion = plate anchor within 150 ground px of the player plate anchor (ground plane de-projected by K=0.537)."
PM4H-E6,wave 159-160,838.0,846.0,349,5,0,1.0,2.1999999999999886,1.03,5,0,5,0,6,1,"LOWER BOUND: counts nameplated monsters only; nameplate presence proves a living monster, absence does not prove absence. Large-bodied monsters are under-counted because their plate sits high above the head, far from the ground contact point. Contact criterion = plate anchor within 150 ground px of the player plate anchor (ground plane de-projected by K=0.537)."
wave151,wave 151,688.0,698.5,553,8,0,1.0,3.0,1.11,5,0,8,0,12,0,"LOWER BOUND: counts nameplated monsters only; nameplate presence proves a living monster, absence does not prove absence. Large-bodied monsters are under-counted because their plate sits high above the head, far from the ground contact point. Contact criterion = plate anchor within 150 ground px of the player plate anchor (ground plane de-projected by K=0.537)."
wave152,wave 152,699.0,714.7,923,7,0,0.0,2.0,0.78,5,0,7,0,8,0,"LOWER BOUND: counts nameplated monsters only; nameplate presence proves a living monster, absence does not prove absence. Large-bodied monsters are under-counted because their plate sits high above the head, far from the ground contact point. Contact criterion = plate anchor within 150 ground px of the player plate anchor (ground plane de-projected by K=0.537)."
wave153,wave 153,715.2,729.5,775,4,0,0.0,2.0,0.64,4,0,4,0,5,0,"LOWER BOUND: counts nameplated monsters only; nameplate presence proves a living monster, absence does not prove absence. Large-bodied monsters are under-counted because their plate sits high above the head, far from the ground contact point. Contact criterion = plate anchor within 150 ground px of the player plate anchor (ground plane de-projected by K=0.537)."
wave154,wave 154,730.2,743.8,753,8,0,2.0,5.0,2.11,7,0,8,0,10,0,"LOWER BOUND: counts nameplated monsters only; nameplate presence proves a living monster, absence does not prove absence. Large-bodied monsters are under-counted because their plate sits high above the head, far from the ground contact point. Contact criterion = plate anchor within 150 ground px of the player plate anchor (ground plane de-projected by K=0.537)."
wave155,wave 155,744.3,760.0,906,8,0,0.0,3.0,1.04,6,0,8,0,8,0,"LOWER BOUND: counts nameplated monsters only; nameplate presence proves a living monster, absence does not prove absence. Large-bodied monsters are under-counted because their plate sits high above the head, far from the ground contact point. Contact criterion = plate anchor within 150 ground px of the player plate anchor (ground plane de-projected by K=0.537)."
wave156,wave 156,760.5,780.2,1103,9,0,1.0,4.0,1.38,8,0,9,0,9,1,"LOWER BOUND: counts nameplated monsters only; nameplate presence proves a living monster, absence does not prove absence. Large-bodied monsters are under-counted because their plate sits high above the head, far from the ground contact point. Contact criterion = plate anchor within 150 ground px of the player plate anchor (ground plane de-projected by K=0.537)."
wave157,wave 157,780.7,799.5,1021,10,0,1.0,4.0,1.48,8,0,10,0,11,0,"LOWER BOUND: counts nameplated monsters only; nameplate presence proves a living monster, absence does not prove absence. Large-bodied monsters are under-counted because their plate sits high above the head, far from the ground contact point. Contact criterion = plate anchor within 150 ground px of the player plate anchor (ground plane de-projected by K=0.537)."
wave158,wave 158,800.0,812.5,717,8,0,1.0,3.0,1.01,7,0,8,0,8,0,"LOWER BOUND: counts nameplated monsters only; nameplate presence proves a living monster, absence does not prove absence. Large-bodied monsters are under-counted because their plate sits high above the head, far from the ground contact point. Contact criterion = plate anchor within 150 ground px of the player plate anchor (ground plane de-projected by K=0.537)."
wave159,wave 159,813.0,838.8,1452,9,1,1.0,4.0,1.78,9,0,9,1,11,1,"LOWER BOUND: counts nameplated monsters only; nameplate presence proves a living monster, absence does not prove absence. Large-bodied monsters are under-counted because their plate sits high above the head, far from the ground contact point. Contact criterion = plate anchor within 150 ground px of the player plate anchor (ground plane de-projected by K=0.537)."
wave160,wave 160,839.3,864.0,1300,8,1,1.0,4.0,1.66,7,0,8,1,10,1,"LOWER BOUND: counts nameplated monsters only; nameplate presence proves a living monster, absence does not prove absence. Large-bodied monsters are under-counted because their plate sits high above the head, far from the ground contact point. Contact criterion = plate anchor within 150 ground px of the player plate anchor (ground plane de-projected by K=0.537)."
WHOLE-FIGHT,151-160,683.0,864.0,10036,10,0,1.0,3.0,1.31,9,0,10,0,12,0,"LOWER BOUND: counts nameplated monsters only; nameplate presence proves a living monster, absence does not prove absence. Large-bodied monsters are under-counted because their plate sits high above the head, far from the ground contact point. Contact criterion = plate anchor within 150 ground px of the player plate anchor (ground plane de-projected by K=0.537)."
