track_id,wave,t_start,t_end,dur_s,n_frames,classification,r_start_gpx,r_end_gpx,r_min_gpx,blocked_frac,still_frac,max_blocked_dwell_s,med_speed_gpx_s,med_v_radial_gpx_s,med_v_tangential_gpx_s,tang_ratio_moving,tang_path_gpx,radial_path_gpx
W151-T01,151,691.1,697.6,6.5,400,INDETERMINATE,806.0,172.2,98.2,0.44,0.355,0.233,92.4,10.4,47.5,0.675,402.0,484.0
W151-T02,151,690.867,697.867,7.0,377,INDETERMINATE,663.1,346.2,56.3,0.397,0.413,0.5,65.3,21.2,52.8,0.792,683.0,702.0
W151-T03,151,690.967,697.0,6.033,359,APPROACH-DIRECT,1136.9,380.3,126.2,0.675,0.125,0.567,173.4,96.5,94.7,0.643,781.0,832.0
W151-T04,151,691.417,696.217,4.8,298,R2-LATERAL-RESOLVED,1131.8,490.6,306.4,0.764,0.243,0.117,187.0,2.7,179.5,0.967,798.0,406.0
W151-T05,151,690.7,694.183,3.483,206,APPROACH-DIRECT,723.7,434.3,434.3,0.339,0.24,0.1,221.1,102.1,163.1,0.825,594.0,385.0
W151-T06,151,693.0,696.367,3.367,199,INDETERMINATE,855.9,845.0,823.6,0.595,0.276,0.2,120.0,-1.0,110.3,0.943,564.0,233.0
W151-T07,151,689.683,691.983,2.3,143,APPROACH-DIRECT,990.6,200.9,21.5,0.558,0.023,0.0,199.6,187.6,62.3,0.28,165.0,514.0
W151-T08,151,694.9,696.967,2.067,139,APPROACH-DIRECT,908.9,420.1,420.1,0.816,0.0,0.0,290.0,281.7,53.6,0.201,122.0,595.0
W151-T09,151,690.933,693.0,2.067,126,APPROACH-DIRECT,602.0,75.3,49.2,0.357,0.116,0.0,161.3,147.1,58.7,0.435,255.0,303.0
W151-T10,151,690.6,692.133,1.533,107,INDETERMINATE,945.9,892.7,464.6,0.376,0.0,0.0,270.9,-77.5,254.3,0.929,468.0,247.0
W151-T11,151,689.683,691.35,1.667,102,APPROACH-DIRECT,931.6,225.7,158.0,0.273,0.0,0.0,349.4,249.8,76.6,0.237,176.0,589.0
W151-T12,151,691.367,692.717,1.35,92,APPROACH-DIRECT,791.7,787.9,769.5,0.705,0.0,0.0,412.5,388.0,89.5,0.198,131.0,498.0
W151-T13,151,688.117,689.567,1.45,79,INDETERMINATE,378.8,239.8,228.7,0.6,0.492,0.167,50.3,41.9,34.8,0.269,89.0,250.0
