record,wave,content_tier,G_pct,D_total_damage_modifier_pct,level_lo,level_hi,ehp_lo,ehp_hi,total_damage_modifier_pct_lo,total_damage_modifier_pct_hi,life_grade,damage_grade
records/creatures/anomalies/aetheranomaly_01_summon.dbr,171,18,420.0,56.0,107,108,67976,68763,96.0,96.0,MEASURED,MEASURED components; total = DERIVED-SUM-ADDITIVE-BY-PARALLEL
records/creatures/anomalies/aetheranomaly_01_summon.dbr,172,18,430.0,57.0,107,108,68594,69389,97.0,97.0,MEASURED,MEASURED components; total = DERIVED-SUM-ADDITIVE-BY-PARALLEL
records/creatures/anomalies/aetheranomaly_01_summon.dbr,173,18,440.0,58.0,107,108,69212,70014,98.0,98.0,MEASURED,MEASURED components; total = DERIVED-SUM-ADDITIVE-BY-PARALLEL
records/creatures/anomalies/aetheranomaly_01_summon.dbr,174,18,450.0,59.0,107,108,69830,70639,99.0,99.0,MEASURED,MEASURED components; total = DERIVED-SUM-ADDITIVE-BY-PARALLEL
records/creatures/anomalies/aetheranomaly_01_summon.dbr,175,18,460.0,60.0,107,108,70448,71264,100.0,100.0,MEASURED,MEASURED components; total = DERIVED-SUM-ADDITIVE-BY-PARALLEL
records/creatures/anomalies/aetheranomaly_01_summon.dbr,176,18,470.0,71.0,107,108,71066,71889,111.0,111.0,MEASURED,MEASURED components; total = DERIVED-SUM-ADDITIVE-BY-PARALLEL
records/creatures/anomalies/aetheranomaly_01_summon.dbr,177,18,480.0,72.0,107,108,71684,72514,112.0,112.0,MEASURED,MEASURED components; total = DERIVED-SUM-ADDITIVE-BY-PARALLEL
records/creatures/anomalies/aetheranomaly_01_summon.dbr,178,18,490.0,73.0,107,108,72302,73139,113.0,113.0,MEASURED,MEASURED components; total = DERIVED-SUM-ADDITIVE-BY-PARALLEL
records/creatures/anomalies/aetheranomaly_01_summon.dbr,179,18,500.0,74.0,107,108,72920,73764,114.0,114.0,MEASURED,MEASURED components; total = DERIVED-SUM-ADDITIVE-BY-PARALLEL
records/creatures/anomalies/aetheranomaly_01_summon.dbr,180,18,510.0,75.0,107,108,73538,74390,115.0,115.0,MEASURED,MEASURED components; total = DERIVED-SUM-ADDITIVE-BY-PARALLEL
records/creatures/anomalies/eldritchground.dbr,171,18,420.0,56.0,107,108,67976,68763,112.0,112.0,MEASURED,MEASURED components; total = DERIVED-SUM-ADDITIVE-BY-PARALLEL
records/creatures/anomalies/eldritchground.dbr,172,18,430.0,57.0,107,108,68594,69389,113.0,113.0,MEASURED,MEASURED components; total = DERIVED-SUM-ADDITIVE-BY-PARALLEL
records/creatures/anomalies/eldritchground.dbr,173,18,440.0,58.0,107,108,69212,70014,114.0,114.0,MEASURED,MEASURED components; total = DERIVED-SUM-ADDITIVE-BY-PARALLEL
records/creatures/anomalies/eldritchground.dbr,174,18,450.0,59.0,107,108,69830,70639,115.0,115.0,MEASURED,MEASURED components; total = DERIVED-SUM-ADDITIVE-BY-PARALLEL
records/creatures/anomalies/eldritchground.dbr,175,18,460.0,60.0,107,108,70448,71264,116.0,116.0,MEASURED,MEASURED components; total = DERIVED-SUM-ADDITIVE-BY-PARALLEL
