record,in_pool,is_summon_body,summoner,level_set,level_lo,level_hi,level_grade,bio_record,life_equation,monster_class,winner_archive,base_life_lo,base_life_hi,life_passive_pct_lo,life_passive_pct_hi,own_total_damage_modifier_pct_lo,own_total_damage_modifier_sources_lo,pool_records,pool_kinds,waves_pooled,life_grade,damage_grade
records/creatures/anomalies/aetheranomaly_01_summon.dbr,0,1,records/creatures/enemies/hero/human_ascended_h01.dbr|records/creatures/enemies/hero/human_ascended_h02.dbr|records/creatures/enemies/hero/human_ascended_h03.dbr|records/creatures/enemies/hero/human_ascended_h04.dbr|records/creatures/enemies/hero/human_ascended_h05.dbr,107|108,107,108,DERIVED-INHERITED,records/creatures/enemies/bios/bio_trap_fireflare_01.dbr,((charLevel*10)^1.25)+60,Common,gdx1,6179.6942,6251.2693,0.0,0.0,0.0,,,,,MEASURED,MEASURED
records/creatures/anomalies/eldritchground.dbr,0,1,records/creatures/enemies/devotion/gargoyle_h01.dbr|records/creatures/enemies/devotion/gargoyle_h02.dbr|records/creatures/enemies/devotion/gargoyle_h03.dbr|records/creatures/enemies/devotion/gargoyle_h04.dbr|records/creatures/enemies/hero/gargoyle_h01.dbr|records/creatures/enemies/hero/gargoyle_h02.dbr|records/creatures/enemies/hero/gargoyle_h03.dbr|records/creatures/enemies/hero/gargoyle_h04.dbr|records/creatures/enemies/hero/gargoyle_h05.dbr,107|108,107,108,DERIVED-INHERITED,records/creatures/enemies/bios/bio_trap_fireflare_01.dbr,((charLevel*10)^1.25)+60,Common,gdx2,6179.6942,6251.2693,0.0,0.0,16.0,damage_totaladjuster.dbr[3]=16.0(IN-RANGE),,,,MEASURED,MEASURED
records/creatures/anomalies/sandstorm.dbr,0,1,records/creatures/enemies/boss&quest/scorpion_desertboss.dbr|records/creatures/enemies/boss&quest/scorpion_desertboss_02.dbr,106|107|108,106,108,DERIVED-INHERITED,records/creatures/enemies/bios/bio_trap_fireflare_01.dbr,((charLevel*10)^1.25)+60,Common,gdx2,6108.2862,6251.2693,0.0,0.0,16.0,damage_totaladjuster.dbr[3]=16.0(IN-RANGE),,,,MEASURED,MEASURED
records/creatures/enemies/aetherialbloater_b01_summon.dbr,0,1,records/creatures/enemies/boss&quest/aetherialcolossus_galakros.dbr,106|107|108,106,108,DERIVED-INHERITED,records/creatures/enemies/bios/bio_aetherialbloater_b01.dbr,((charLevel*27)^1.33)+150,Champion,sm1,39720.4152,40716.4871,103.0,121.0,49.0,damage_totaladjuster.dbr[5]=24.0(IN-RANGE) armorbase04.dbr[105]=25.0(IN-RANGE),,,,MEASURED,MEASURED
records/creatures/enemies/aetherialbloater_c01_summon.dbr,0,1,records/creatures/enemies/boss&quest/aetherialcolossus_galakros.dbr,106|107|108,106,108,DERIVED-INHERITED,records/creatures/enemies/bios/bio_aetherialbloater_c01.dbr,((charLevel*31)^1.33)+150,Champion,sm1,47701.8977,48898.8806,103.0,121.0,49.0,damage_totaladjuster.dbr[5]=24.0(IN-RANGE) armorbase04.dbr[105]=25.0(IN-RANGE),,,,MEASURED,MEASURED
records/creatures/enemies/aetherialcorruption_a01.dbr,1,0,,102|103,102,103,MEASURED-SET,records/creatures/enemies/bios/bio_aetherialcorruption_a01.dbr,((charLevel*14)^1.33)+50,Common,sm1,15745.9829,15950.9765,61.0,69.0,46.0,damage_totaladjuster.dbr[3]=16.0(IN-RANGE) armorbase02.dbr[101]=30.0(IN-RANGE),records/proxies/poolsbasicgdx1/aetherialcorruption_t3.dbr,trash,174,MEASURED,MEASURED
records/creatures/enemies/aetherialcorruption_b01.dbr,1,0,,103|104,103,104,MEASURED-SET,records/creatures/enemies/bios/bio_aetherialcorruption_b01.dbr,((charLevel*20)^1.33)+50,Champion,sm1,25603.0887,25933.5735,78.0,86.0,45.0,damage_totaladjuster.dbr[4]=20.0(IN-RANGE) armorbase03.dbr[102]=25.0(IN-RANGE),records/proxies/poolsbasicgdx1/aetherialcorruption_t3.dbr,trash,174,MEASURED,MEASURED
records/creatures/enemies/aetherialcorruption_b02.dbr,1,0,,103|104,103,104,MEASURED-SET,records/creatures/enemies/bios/bio_aetherialcorruption_b01.dbr,((charLevel*20)^1.33)+50,Champion,sm1,25603.0887,25933.5735,78.0,86.0,45.0,damage_totaladjuster.dbr[4]=20.0(IN-RANGE) armorbase03.dbr[102]=25.0(IN-RANGE),records/proxies/poolsbasicgdx1/aetherialcorruption_t3.dbr,trash,174,MEASURED,MEASURED
records/creatures/enemies/aetherialcorruption_b03.dbr,1,0,,103|104,103,104,MEASURED-SET,records/creatures/enemies/bios/bio_aetherialcorruption_b01.dbr,((charLevel*20)^1.33)+50,Champion,sm1,25603.0887,25933.5735,78.0,86.0,45.0,damage_totaladjuster.dbr[4]=20.0(IN-RANGE) armorbase03.dbr[102]=25.0(IN-RANGE),records/proxies/poolsbasicgdx1/aetherialcorruption_t3.dbr,trash,174,MEASURED,MEASURED
records/creatures/enemies/aetherialcorruption_c01.dbr,1,0,,104|105|106,104,106,MEASURED-SET,records/creatures/enemies/bios/bio_aetherialcorruption_c01.dbr,((charLevel*28)^1.33)+50,Champion,sm1,40542.4937,41581.4393,86.0,103.0,45.0,damage_totaladjuster.dbr[4]=20.0(IN-RANGE) armorbase03.dbr[103]=25.0(IN-RANGE),records/proxies/poolsbasicgdx1/aetherialcorruption_t3.dbr,trash,174,MEASURED,MEASURED
records/creatures/enemies/beaverriver_a01.dbr,1,0,,103|104,103,104,MEASURED-SET,records/creatures/enemies/bios/bio_beaver_a01.dbr,((charLevel*6)^1.28)+15,Common,sm3,3751.5023,3797.9994,69.0,74.0,38.0,damage_totaladjuster.dbr[1]=8.0(IN-RANGE) armorbase01.dbr[102]=30.0(IN-RANGE),records/proxies/poolsbasicgdx3/beaver_t3.dbr,trash,178,MEASURED,MEASURED
records/creatures/enemies/beaverriver_b01.dbr,1,0,,104|105|106,104,106,MEASURED-SET,records/creatures/enemies/bios/bio_beaver_b01.dbr,((charLevel*12)^1.28)+30,Champion,sm3,9216.5971,9443.3347,74.0,88.0,38.0,damage_totaladjuster.dbr[1]=8.0(IN-RANGE) armorbase02.dbr[103]=30.0(IN-RANGE),records/proxies/poolsbasicgdx3/beaver_t3.dbr,trash,178,MEASURED,MEASURED
records/creatures/enemies/beetle_a00_summon.dbr,0,1,records/creatures/enemies/beetle_b01.dbr,103|104,103,104,DERIVED-INHERITED,records/creatures/enemies/bios/bio_beetle_a00_summon.dbr,((charLevel*6)^1.28)+25,Common,sm2,3761.5023,3807.9994,69.0,74.0,113.0,damage_totaladjuster.dbr[1]=8.0(IN-RANGE) armorbase02.dbr[102]=30.0(IN-RANGE) genericphysical_charge.dbr[4]=75.0(CLAMPED-HIGH),,,,MEASURED,MEASURED
records/creatures/enemies/beetle_a01.dbr,1,0,,103|104,103,104,MEASURED-SET,records/creatures/enemies/bios/bio_beetle_a01.dbr,((charLevel*9)^1.33)+25,Common,sm2,8860.1931,8974.461,69.0,74.0,113.0,damage_totaladjuster.dbr[1]=8.0(IN-RANGE) armorbase02.dbr[102]=30.0(IN-RANGE) genericphysical_charge.dbr[4]=75.0(CLAMPED-HIGH),records/proxies/poolsbasicgdx2/beetle_t3.dbr,trash,178,MEASURED,MEASURED
records/creatures/enemies/beetle_b01.dbr,1,0,,103|104,103,104,MEASURED-SET,records/creatures/enemies/bios/bio_beetle_b01.dbr,((charLevel*14)^1.33)+45,Champion,sm2,15945.9765,16151.628,78.0,86.0,33.0,damage_totaladjuster.dbr[1]=8.0(IN-RANGE) armorbase04.dbr[102]=25.0(IN-RANGE),records/proxies/poolsbasicgdx2/beetle_t3.dbr,trash,178,MEASURED,MEASURED
records/creatures/enemies/beetle_b02.dbr,1,0,,103|104,103,104,MEASURED-SET,records/creatures/enemies/bios/bio_beetle_b01.dbr,((charLevel*14)^1.33)+45,Champion,sm2,15945.9765,16151.628,78.0,86.0,33.0,damage_totaladjuster.dbr[1]=8.0(IN-RANGE) armorbase04.dbr[102]=25.0(IN-RANGE),records/proxies/poolsbasicgdx2/beetle_t3.dbr,trash,178,MEASURED,MEASURED
records/creatures/enemies/beetle_c01.dbr,1,0,,104|105|106,104,106,MEASURED-SET,records/creatures/enemies/bios/bio_beetle_c01.dbr,((charLevel*20)^1.33)+60,Champion,sm2,25943.5735,26607.6874,86.0,103.0,49.0,damage_totaladjuster.dbr[5]=24.0(IN-RANGE) armorbase04.dbr[103]=25.0(IN-RANGE),records/proxies/poolsbasicgdx2/beetle_t3.dbr,trash,178,MEASURED,MEASURED
records/creatures/enemies/beetlemaggotsmall_generator.dbr,0,1,records/creatures/enemies/mummy_c01.dbr,104|105|106,104,106,DERIVED-INHERITED,records/creatures/enemies/bios/bio_beetle_a00_summon.dbr,((charLevel*6)^1.28)+25,Common,sm2,3807.9994,3901.369,74.0,88.0,38.0,damage_totaladjuster.dbr[1]=8.0(IN-RANGE) armorbase01.dbr[103]=30.0(IN-RANGE),,,,MEASURED,MEASURED
records/creatures/enemies/beetlemaggotsmallfire_generator.dbr,0,1,records/creatures/enemies/mummy_c02.dbr,104|105|106,104,106,DERIVED-INHERITED,records/creatures/enemies/bios/bio_beetle_a00_summon.dbr,((charLevel*6)^1.28)+25,Common,sm2,3807.9994,3901.369,74.0,88.0,38.0,damage_totaladjuster.dbr[1]=8.0(IN-RANGE) armorbase01.dbr[103]=30.0(IN-RANGE),,,,MEASURED,MEASURED
