wave,content_tier,band,n_pool_rows,n_spawn_points,n_proxies,n_distinct_pools,n_roster_records,n_champ_records,n_distinct_records,sum_spawn_min,sum_spawn_max,sum_champion_min,sum_champion_max,pool_kinds,spawnMinAdj,spawnMaxAdj,spawnChampionMinAdj,spawnChampionMaxAdj,G_life_pct,D_damage_pct,grade,basis
151,16,B (Lap D),8,5,5,6,11,15,26,27.0,32.0,3.0,3.0,HERO|trash,0.0,0.0,1.0,1.0,306.0,42.0,MEASURED,"data/kc2/pe6_crucible_wave_pools_v2.csv (legolas pe6 emission, re-verified below) + balancingadjustment_survivalmode_enemies03.dbr@sm_mod"
152,16,B (Lap D),18,6,6,18,11,107,118,14.0,16.0,12.0,12.0,BOSS|DEVOTION|HERO|trash,0.0,0.0,1.0,1.0,308.0,42.0,MEASURED,"data/kc2/pe6_crucible_wave_pools_v2.csv (legolas pe6 emission, re-verified below) + balancingadjustment_survivalmode_enemies03.dbr@sm_mod"
153,16,B (Lap D),17,6,6,12,18,80,98,18.0,21.0,13.0,13.0,BOUNTY|HERO|trash,0.0,0.0,1.0,1.0,310.0,42.0,MEASURED,"data/kc2/pe6_crucible_wave_pools_v2.csv (legolas pe6 emission, re-verified below) + balancingadjustment_survivalmode_enemies03.dbr@sm_mod"
154,16,B (Lap D),10,4,4,10,19,0,19,25.0,28.0,0.0,0.0,BOSS|trash,0.0,0.0,1.0,1.0,312.0,42.0,MEASURED,"data/kc2/pe6_crucible_wave_pools_v2.csv (legolas pe6 emission, re-verified below) + balancingadjustment_survivalmode_enemies03.dbr@sm_mod"
155,16,B (Lap D),14,5,5,11,9,59,68,33.0,41.0,5.0,5.0,BOSS|BOUNTY|trash,0.0,0.0,1.0,1.0,314.0,42.0,MEASURED,"data/kc2/pe6_crucible_wave_pools_v2.csv (legolas pe6 emission, re-verified below) + balancingadjustment_survivalmode_enemies03.dbr@sm_mod"
156,16,B (Lap D),13,6,6,13,34,0,34,41.0,50.0,0.0,0.0,BOSS|trash,0.0,0.0,1.0,1.0,316.0,43.0,MEASURED,"data/kc2/pe6_crucible_wave_pools_v2.csv (legolas pe6 emission, re-verified below) + balancingadjustment_survivalmode_enemies03.dbr@sm_mod"
157,16,B (Lap D),21,6,6,21,39,87,126,39.0,46.0,10.0,10.0,BOSS|DEVOTION|HERO|trash,0.0,0.0,1.0,1.0,318.0,43.0,MEASURED,"data/kc2/pe6_crucible_wave_pools_v2.csv (legolas pe6 emission, re-verified below) + balancingadjustment_survivalmode_enemies03.dbr@sm_mod"
158,16,B (Lap D),19,6,6,15,18,97,115,60.0,72.0,10.0,10.0,DEVOTION|HERO|trash,0.0,0.0,1.0,1.0,320.0,43.0,MEASURED,"data/kc2/pe6_crucible_wave_pools_v2.csv (legolas pe6 emission, re-verified below) + balancingadjustment_survivalmode_enemies03.dbr@sm_mod"
159,16,B (Lap D),13,5,5,13,16,0,16,15.0,15.0,0.0,0.0,BOSS,0.0,0.0,1.0,1.0,322.0,43.0,MEASURED,"data/kc2/pe6_crucible_wave_pools_v2.csv (legolas pe6 emission, re-verified below) + balancingadjustment_survivalmode_enemies03.dbr@sm_mod"
160,16,B (Lap D),6,5,5,6,18,5,23,5.0,5.0,1.0,1.0,BOSS|HERO,0.0,0.0,1.0,1.0,324.0,43.0,MEASURED,"data/kc2/pe6_crucible_wave_pools_v2.csv (legolas pe6 emission, re-verified below) + balancingadjustment_survivalmode_enemies03.dbr@sm_mod"
161,17,B (Lap D),11,6,6,10,16,28,44,19.0,23.0,5.0,5.0,BOSS|HERO|trash,0.0,0.0,1.0,1.0,326.0,44.0,MEASURED,"data/kc2/pe6_crucible_wave_pools_v2.csv (legolas pe6 emission, re-verified below) + balancingadjustment_survivalmode_enemies03.dbr@sm_mod"
162,17,B (Lap D),17,5,5,17,10,167,177,8.0,8.0,12.0,12.0,BOSS|DEVOTION|trash,0.0,0.0,1.0,1.0,328.0,44.0,MEASURED,"data/kc2/pe6_crucible_wave_pools_v2.csv (legolas pe6 emission, re-verified below) + balancingadjustment_survivalmode_enemies03.dbr@sm_mod"
