wave,n_actors,n_distinct_records,n_dot_bearing_actors,board_dot_dps_if_total,board_dot_dps_if_per_second,dot_per_actor_if_total,top_record,top_record_dps_if_total,board_poison_dps_if_total,board_bleeding_dps_if_total,board_life_dps_if_total,board_fire_dps_if_total,board_cold_dps_if_total,board_lightning_dps_if_total,board_physical_dps_if_total,board_lifeleach_dps_if_total,grade,basis
151,28,13,10,3622.0,7557.0,129.357,records/creatures/enemies/hero/wendigo_h01.dbr,1539.867,1149.0,2214.8,169.0,89.2,0.0,0.0,0.0,0.0,MEASURED (magnitudes) — the two dps columns bracket the DECLARED GAP on the total-vs-per-second field convention (method.md § 5),"pm4i_dot_riders.csv x frozen baton actors[] at wave w, each body's summon closure included"
152,18,11,16,4558.733,10781.0,253.263,records/creatures/enemies/hero/basilisk_h02.dbr,1757.6,3239.8,0.0,0.0,290.6,791.333,0.0,237.0,0.0,MEASURED (magnitudes) — the two dps columns bracket the DECLARED GAP on the total-vs-per-second field convention (method.md § 5),"pm4i_dot_riders.csv x frozen baton actors[] at wave w, each body's summon closure included"
153,24,16,24,12923.692,25923.0,538.487,records/creatures/enemies/giant_b01.dbr,2969.867,7997.758,3295.0,415.067,48.2,121.333,304.0,742.333,0.0,MEASURED (magnitudes) — the two dps columns bracket the DECLARED GAP on the total-vs-per-second field convention (method.md § 5),"pm4i_dot_riders.csv x frozen baton actors[] at wave w, each body's summon closure included"
154,13,6,11,5443.367,12185.0,418.721,records/creatures/enemies/nemesis/nemesis_beast_01_p1.dbr,2291.9,0.0,2504.7,797.0,1781.333,0.0,151.333,0.0,209.0,MEASURED (magnitudes) — the two dps columns bracket the DECLARED GAP on the total-vs-per-second field convention (method.md § 5),"pm4i_dot_riders.csv x frozen baton actors[] at wave w, each body's summon closure included"
155,18,3,18,6294.8,15258.0,349.711,records/creatures/enemies/aetherialcorruption_c01.dbr,4195.8,3279.8,0.0,0.0,2268.333,0.0,0.0,746.667,0.0,MEASURED (magnitudes) — the two dps columns bracket the DECLARED GAP on the total-vs-per-second field convention (method.md § 5),"pm4i_dot_riders.csv x frozen baton actors[] at wave w, each body's summon closure included"
156,19,8,9,6307.2,13333.0,331.958,records/creatures/enemies/chthonianwretch_b01.dbr,2081.5,4299.533,1589.667,0.0,0.0,0.0,0.0,0.0,418.0,MEASURED (magnitudes) — the two dps columns bracket the DECLARED GAP on the total-vs-per-second field convention (method.md § 5),"pm4i_dot_riders.csv x frozen baton actors[] at wave w, each body's summon closure included"
157,21,14,7,3999.067,9743.0,190.432,records/creatures/enemies/boss&quest/aetherialbloater_malmouthdocks_01.dbr,2589.533,959.2,1744.867,317.0,268.0,442.0,268.0,0.0,0.0,MEASURED (magnitudes) — the two dps columns bracket the DECLARED GAP on the total-vs-per-second field convention (method.md § 5),"pm4i_dot_riders.csv x frozen baton actors[] at wave w, each body's summon closure included"
158,33,15,18,3835.9,10316.0,116.239,records/creatures/enemies/hero/hypporaven_h03.dbr,858.133,848.0,1429.0,539.8,726.767,187.833,0.0,0.0,104.5,MEASURED (magnitudes) — the two dps columns bracket the DECLARED GAP on the total-vs-per-second field convention (method.md § 5),"pm4i_dot_riders.csv x frozen baton actors[] at wave w, each body's summon closure included"
159,9,5,9,8210.767,17659.0,912.307,records/creatures/enemies/boss&quest/humanwendigo_darkwood_01.dbr,3121.867,559.333,5309.2,350.4,1314.833,0.0,0.0,0.0,677.0,MEASURED (magnitudes) — the two dps columns bracket the DECLARED GAP on the total-vs-per-second field convention (method.md § 5),"pm4i_dot_riders.csv x frozen baton actors[] at wave w, each body's summon closure included"
160,5,4,5,1698.2,5804.0,339.64,records/creatures/enemies/boss&quest/statue_korvaaktombguardian.dbr,847.85,404.25,181.0,0.0,200.35,223.6,220.0,0.0,469.0,MEASURED (magnitudes) — the two dps columns bracket the DECLARED GAP on the total-vs-per-second field convention (method.md § 5),"pm4i_dot_riders.csv x frozen baton actors[] at wave w, each body's summon closure included"
