record,body_kind,summoner,waves_rolled,n_actors,n_champion_actors,char_level_lo,char_level_hi,level_grade,skill_record,skill_archive,skill_class,depth,via,rank_grade,dot_family,display_name,is_dot,rank_lo,array_index_min_lo,index_state_lo,magnitude_min_lo,magnitude_max_lo,rank_hi,magnitude_min_hi,magnitude_max_hi,duration_min_s,duration_max_s,dps_if_field_is_total_lo,dps_if_field_is_per_second_lo,chance_pct,is_global,is_xor,skill_modifier_pct,skill_duration_modifier_pct,skill_max_level,array_len,magnitude_grade,stacking_rule_grade,basis
records/creatures/enemies/aetherialcorruption_c01.dbr,ROSTER,,155,14,0,103,104,MEASURED-SET,records/skills/nonplayerskillsgdx1/attackmelee/aetherialcorruption_poisonpincer.dbr,gdx1,Skill_WeaponPool_ChargedFinale,0,skillName-slot,MEASURED-RANK,Poison,{^E}Poison Damage,True,26,25,IN-RANGE,192.0,,27,201.0,,2.0,,96.0,192.0,,,,,,60,60,MEASURED,"UNDECODABLE-FROM-SUBSTRATE — the .dbr carries Chance / Global / XOR / DurationModifier but no stack-count or same-source-replacement rule; the semantics live in the engine, not the record",records/skills/nonplayerskillsgdx1/attackmelee/aetherialcorruption_poisonpincer.dbr :: offensiveSlowPoisonMin/Max[25]
records/creatures/enemies/aetherialcorruption_c01.dbr,ROSTER,,155,14,0,103,104,MEASURED-SET,records/skills/nonplayerskillsgdx1/attackmelee/aetherialcorruption_poisonpincer.dbr,gdx1,Skill_WeaponPool_ChargedFinale,0,skillName-slot,MEASURED-RANK,Poison-INSTANT,,False,26,25,IN-RANGE,1090.0,,27,1134.0,,,,,,,,,,,60,60,MEASURED,"UNDECODABLE-FROM-SUBSTRATE — the .dbr carries Chance / Global / XOR / DurationModifier but no stack-count or same-source-replacement rule; the semantics live in the engine, not the record",records/skills/nonplayerskillsgdx1/attackmelee/aetherialcorruption_poisonpincer.dbr :: offensiveSlowPoison-INSTANTMin/Max[25]
records/creatures/enemies/aetherialcorruption_c01.dbr,ROSTER,,155,14,0,103,104,MEASURED-SET,records/skills/nonplayerskillsgdx1/attackprojectilering/aetherialcorruption_poisonprojectilenova.dbr,gdx1,Skill_AttackProjectileRing,0,skillName-slot,MEASURED-RANK,Poison,{^E}Poison Damage,True,26,25,IN-RANGE,141.0,,27,147.0,,5.0,,28.2,141.0,,,,,,60,60,MEASURED,"UNDECODABLE-FROM-SUBSTRATE — the .dbr carries Chance / Global / XOR / DurationModifier but no stack-count or same-source-replacement rule; the semantics live in the engine, not the record",records/skills/nonplayerskillsgdx1/attackprojectilering/aetherialcorruption_poisonprojectilenova.dbr :: offensiveSlowPoisonMin/Max[25]
records/creatures/enemies/aetherialcorruption_c01.dbr,ROSTER,,155,14,0,103,104,MEASURED-SET,records/skills/nonplayerskillsgdx1/attackprojectilering/aetherialcorruption_poisonprojectilenova.dbr,gdx1,Skill_AttackProjectileRing,0,skillName-slot,MEASURED-RANK,Poison-INSTANT,,False,26,25,IN-RANGE,335.0,,27,350.0,,,,,,,,,,,60,60,MEASURED,"UNDECODABLE-FROM-SUBSTRATE — the .dbr carries Chance / Global / XOR / DurationModifier but no stack-count or same-source-replacement rule; the semantics live in the engine, not the record",records/skills/nonplayerskillsgdx1/attackprojectilering/aetherialcorruption_poisonprojectilenova.dbr :: offensiveSlowPoison-INSTANTMin/Max[25]
records/creatures/enemies/aetherialcorruption_c01.dbr,ROSTER,,155,14,0,103,104,MEASURED-SET,records/skills/nonplayerskillsgdx1/buffattackradius/aetherialcorruption_aetherorbitalretaliation.dbr,gdx1,Skill_AttackProjectileOrbiting,1,autoCastSkill,DERIVED-INHERITED-RANK,Fire,{^E}Burn Damage,True,26,25,IN-RANGE,159.0,,27,164.0,,2.0,,79.5,159.0,,,,,,60,60,MEASURED,"UNDECODABLE-FROM-SUBSTRATE — the .dbr carries Chance / Global / XOR / DurationModifier but no stack-count or same-source-replacement rule; the semantics live in the engine, not the record",records/skills/nonplayerskillsgdx1/buffattackradius/aetherialcorruption_aetherorbitalretaliation.dbr :: offensiveSlowFireMin/Max[25]
records/creatures/enemies/aetherialcorruption_c01.dbr,ROSTER,,155,14,0,103,104,MEASURED-SET,records/skills/nonplayerskillsgdx1/buffattackradius/aetherialcorruption_rotskin.dbr,gdx1,Skill_BuffAttackRadiusToggled,0,skillName-slot,MEASURED-RANK,Poison,{^E}Poison Damage,True,26,25,IN-RANGE,192.0,,27,197.0,,2.0,,96.0,192.0,,,,,,60,60,MEASURED,"UNDECODABLE-FROM-SUBSTRATE — the .dbr carries Chance / Global / XOR / DurationModifier but no stack-count or same-source-replacement rule; the semantics live in the engine, not the record",records/skills/nonplayerskillsgdx1/buffattackradius/aetherialcorruption_rotskin.dbr :: offensiveSlowPoisonMin/Max[25]
records/creatures/enemies/aetherialworm_b01_summon.dbr,PET-SUMMON,records/creatures/enemies/boss&quest/aetherialbloater_malmouthdocks_01.dbr,,0,0,106,108,DERIVED-INHERITED,records/skills/nonplayerskillsgdx1/attackmelee/aetherialworm_poisonstrike.dbr,gdx1,Skill_AttackWeapon,0,skillName-slot,MEASURED-RANK,Poison-INSTANT,,False,27,26,IN-RANGE,700.0,,28,728.0,,,,,,,,,,,60,60,MEASURED,"UNDECODABLE-FROM-SUBSTRATE — the .dbr carries Chance / Global / XOR / DurationModifier but no stack-count or same-source-replacement rule; the semantics live in the engine, not the record",records/skills/nonplayerskillsgdx1/attackmelee/aetherialworm_poisonstrike.dbr :: offensiveSlowPoison-INSTANTMin/Max[26]
records/creatures/enemies/aetherialworm_b01_summon.dbr,PET-SUMMON,records/creatures/enemies/boss&quest/aetherialbloater_malmouthdocks_01.dbr,,0,0,106,108,DERIVED-INHERITED,records/skills/nonplayerskillsgdx1/attackprojectile/aetherialworm_poisonburst.dbr,gdx1,Skill_AttackProjectileBurst,0,skillName-slot,MEASURED-RANK,Poison,{^E}Poison Damage,True,27,26,IN-RANGE,201.0,,28,210.0,,3.0,,67.0,201.0,,,,,,60,60,MEASURED,"UNDECODABLE-FROM-SUBSTRATE — the .dbr carries Chance / Global / XOR / DurationModifier but no stack-count or same-source-replacement rule; the semantics live in the engine, not the record",records/skills/nonplayerskillsgdx1/attackprojectile/aetherialworm_poisonburst.dbr :: offensiveSlowPoisonMin/Max[26]
records/creatures/enemies/aetherialworm_b01_summon.dbr,PET-SUMMON,records/creatures/enemies/boss&quest/aetherialbloater_malmouthdocks_01.dbr,,0,0,106,108,DERIVED-INHERITED,records/skills/nonplayerskillsgdx1/attackprojectile/aetherialworm_poisonburst.dbr,gdx1,Skill_AttackProjectileBurst,0,skillName-slot,MEASURED-RANK,Poison-INSTANT,,False,27,26,IN-RANGE,616.0,,28,648.0,,,,,,,,,,,60,60,MEASURED,"UNDECODABLE-FROM-SUBSTRATE — the .dbr carries Chance / Global / XOR / DurationModifier but no stack-count or same-source-replacement rule; the semantics live in the engine, not the record",records/skills/nonplayerskillsgdx1/attackprojectile/aetherialworm_poisonburst.dbr :: offensiveSlowPoison-INSTANTMin/Max[26]
records/creatures/enemies/aetherialworm_b01_summon.dbr,PET-SUMMON,records/creatures/enemies/boss&quest/aetherialbloater_malmouthdocks_01.dbr,,0,0,106,108,DERIVED-INHERITED,records/skills/nonplayerskillsgdx1/attackprojectile/aetherialworm_poisonspit.dbr,gdx1,Skill_AttackProjectile,0,skillName-slot,MEASURED-RANK,Poison,{^E}Poison Damage,True,27,26,IN-RANGE,201.0,,28,210.0,,3.0,,67.0,201.0,,,,,,60,60,MEASURED,"UNDECODABLE-FROM-SUBSTRATE — the .dbr carries Chance / Global / XOR / DurationModifier but no stack-count or same-source-replacement rule; the semantics live in the engine, not the record",records/skills/nonplayerskillsgdx1/attackprojectile/aetherialworm_poisonspit.dbr :: offensiveSlowPoisonMin/Max[26]
