wave,content_tier,record,archive,field,value,grade
151,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterAttackSpeedModifier,11.0,MEASURED
151,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterDefensiveAbility,61.0,MEASURED
151,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterDefensiveAbilityModifier,5.0,MEASURED
151,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterLifeModifier,306.0,MEASURED
151,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterLifeRegenModifier,66.0,MEASURED
151,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterManaRegenModifier,66.0,MEASURED
151,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterOffensiveAbility,48.0,MEASURED
151,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterOffensiveAbilityModifier,3.5,MEASURED
151,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterPercentHealIncreaseModifier,-60.0,MEASURED
151,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterSpellCastSpeedModifier,11.0,MEASURED
151,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,defensivePercentCurrentLife,8.0,MEASURED
151,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveCritDamageModifier,27.0,MEASURED
151,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensivePhysicalModifier,-18.0,MEASURED
151,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveSlowBleedingModifier,-61.0,MEASURED
151,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveSlowColdModifier,-61.0,MEASURED
151,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveSlowFireModifier,-61.0,MEASURED
151,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveSlowLifeModifier,-61.0,MEASURED
151,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveSlowLightningModifier,-61.0,MEASURED
151,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveSlowPhysicalModifier,-61.0,MEASURED
151,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveSlowPoisonModifier,-61.0,MEASURED
151,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveTotalDamageModifier,42.0,MEASURED
151,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,retaliationTotalDamageModifier,74.0,MEASURED
151,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,skillCooldownReduction,0.0,MEASURED
151,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,spawnChampionMaxAdj,1.0,MEASURED
151,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,spawnChampionMinAdj,1.0,MEASURED
151,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,spawnMaxAdj,0.0,MEASURED
151,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,spawnMinAdj,0.0,MEASURED
152,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterAttackSpeedModifier,11.0,MEASURED
152,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterDefensiveAbility,61.0,MEASURED
152,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterDefensiveAbilityModifier,5.0,MEASURED
152,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterLifeModifier,308.0,MEASURED
152,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterLifeRegenModifier,67.0,MEASURED
152,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterManaRegenModifier,67.0,MEASURED
152,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterOffensiveAbility,48.0,MEASURED
152,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterOffensiveAbilityModifier,3.5,MEASURED
152,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterPercentHealIncreaseModifier,-60.0,MEASURED
152,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterSpellCastSpeedModifier,11.0,MEASURED
152,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,defensivePercentCurrentLife,8.0,MEASURED
152,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveCritDamageModifier,27.0,MEASURED
152,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensivePhysicalModifier,-18.0,MEASURED
152,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveSlowBleedingModifier,-61.0,MEASURED
152,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveSlowColdModifier,-61.0,MEASURED
152,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveSlowFireModifier,-61.0,MEASURED
152,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveSlowLifeModifier,-61.0,MEASURED
152,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveSlowLightningModifier,-61.0,MEASURED
152,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveSlowPhysicalModifier,-61.0,MEASURED
152,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveSlowPoisonModifier,-61.0,MEASURED
152,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveTotalDamageModifier,42.0,MEASURED
152,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,retaliationTotalDamageModifier,74.0,MEASURED
152,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,skillCooldownReduction,0.0,MEASURED
152,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,spawnChampionMaxAdj,1.0,MEASURED
152,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,spawnChampionMinAdj,1.0,MEASURED
152,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,spawnMaxAdj,0.0,MEASURED
152,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,spawnMinAdj,0.0,MEASURED
153,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterAttackSpeedModifier,11.0,MEASURED
