field,cell_index,difficulty,player_count,value,is_ultimate_solo,is_offense_field,record,archive,grade,note
characterAttackSpeedModifier,0,Normal,1,-10.0,False,True,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterAttackSpeedModifier,1,Normal,2,-10.0,False,True,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterAttackSpeedModifier,2,Normal,3,-10.0,False,True,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterAttackSpeedModifier,3,Normal,4,-10.0,False,True,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterAttackSpeedModifier,4,Elite,1,0.0,False,True,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterAttackSpeedModifier,5,Elite,2,0.0,False,True,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterAttackSpeedModifier,6,Elite,3,0.0,False,True,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterAttackSpeedModifier,7,Elite,4,0.0,False,True,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterAttackSpeedModifier,8,Ultimate,1,0.0,True,True,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,cell Lap D read characterLifeModifier[8]=580.0 from
characterAttackSpeedModifier,9,Ultimate,2,0.0,False,True,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterAttackSpeedModifier,10,Ultimate,3,0.0,False,True,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterAttackSpeedModifier,11,Ultimate,4,0.0,False,True,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterDefensiveAbility,0,Normal,1,35.0,False,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterDefensiveAbility,1,Normal,2,35.0,False,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterDefensiveAbility,2,Normal,3,35.0,False,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterDefensiveAbility,3,Normal,4,35.0,False,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterDefensiveAbility,4,Elite,1,60.0,False,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterDefensiveAbility,5,Elite,2,60.0,False,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterDefensiveAbility,6,Elite,3,60.0,False,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterDefensiveAbility,7,Elite,4,60.0,False,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterDefensiveAbility,8,Ultimate,1,75.0,True,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,cell Lap D read characterLifeModifier[8]=580.0 from
characterDefensiveAbility,9,Ultimate,2,75.0,False,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterDefensiveAbility,10,Ultimate,3,75.0,False,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterDefensiveAbility,11,Ultimate,4,75.0,False,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterDefensiveAbilityModifier,0,Normal,1,-15.0,False,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterDefensiveAbilityModifier,1,Normal,2,-15.0,False,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterDefensiveAbilityModifier,2,Normal,3,-15.0,False,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterDefensiveAbilityModifier,3,Normal,4,-15.0,False,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterDefensiveAbilityModifier,4,Elite,1,-8.0,False,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterDefensiveAbilityModifier,5,Elite,2,-8.0,False,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterDefensiveAbilityModifier,6,Elite,3,-8.0,False,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterDefensiveAbilityModifier,7,Elite,4,-8.0,False,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterDefensiveAbilityModifier,8,Ultimate,1,-8.0,True,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,cell Lap D read characterLifeModifier[8]=580.0 from
characterDefensiveAbilityModifier,9,Ultimate,2,-8.0,False,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterDefensiveAbilityModifier,10,Ultimate,3,-8.0,False,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterDefensiveAbilityModifier,11,Ultimate,4,-8.0,False,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterDefensiveBlockRecoveryReduction,0,Normal,1,0.0,False,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterDefensiveBlockRecoveryReduction,1,Normal,2,0.0,False,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterDefensiveBlockRecoveryReduction,2,Normal,3,0.0,False,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterDefensiveBlockRecoveryReduction,3,Normal,4,0.0,False,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterDefensiveBlockRecoveryReduction,4,Elite,1,25.0,False,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterDefensiveBlockRecoveryReduction,5,Elite,2,25.0,False,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterDefensiveBlockRecoveryReduction,6,Elite,3,25.0,False,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterDefensiveBlockRecoveryReduction,7,Elite,4,25.0,False,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterDefensiveBlockRecoveryReduction,8,Ultimate,1,50.0,True,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,cell Lap D read characterLifeModifier[8]=580.0 from
characterDefensiveBlockRecoveryReduction,9,Ultimate,2,50.0,False,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterDefensiveBlockRecoveryReduction,10,Ultimate,3,50.0,False,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterDefensiveBlockRecoveryReduction,11,Ultimate,4,50.0,False,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterDexterityModifier,0,Normal,1,-5.0,False,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterDexterityModifier,1,Normal,2,-4.0,False,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterDexterityModifier,2,Normal,3,-4.0,False,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterDexterityModifier,3,Normal,4,-3.0,False,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterDexterityModifier,4,Elite,1,5.0,False,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterDexterityModifier,5,Elite,2,5.5,False,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterDexterityModifier,6,Elite,3,6.0,False,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterDexterityModifier,7,Elite,4,6.5,False,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterDexterityModifier,8,Ultimate,1,10.0,True,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,cell Lap D read characterLifeModifier[8]=580.0 from
characterDexterityModifier,9,Ultimate,2,11.0,False,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterDexterityModifier,10,Ultimate,3,11.5,False,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterDexterityModifier,11,Ultimate,4,12.0,False,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterIntelligenceModifier,0,Normal,1,-5.0,False,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterIntelligenceModifier,1,Normal,2,-4.0,False,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterIntelligenceModifier,2,Normal,3,-4.0,False,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterIntelligenceModifier,3,Normal,4,-3.0,False,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterIntelligenceModifier,4,Elite,1,5.0,False,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterIntelligenceModifier,5,Elite,2,5.5,False,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterIntelligenceModifier,6,Elite,3,6.0,False,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterIntelligenceModifier,7,Elite,4,6.5,False,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterIntelligenceModifier,8,Ultimate,1,10.0,True,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,cell Lap D read characterLifeModifier[8]=580.0 from
characterIntelligenceModifier,9,Ultimate,2,11.0,False,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterIntelligenceModifier,10,Ultimate,3,11.5,False,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterIntelligenceModifier,11,Ultimate,4,12.0,False,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterLifeModifier,0,Normal,1,50.0,False,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterLifeModifier,1,Normal,2,50.0,False,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterLifeModifier,2,Normal,3,50.0,False,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterLifeModifier,3,Normal,4,50.0,False,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterLifeModifier,4,Elite,1,320.0,False,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterLifeModifier,5,Elite,2,320.0,False,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterLifeModifier,6,Elite,3,320.0,False,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterLifeModifier,7,Elite,4,320.0,False,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterLifeModifier,8,Ultimate,1,580.0,True,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,cell Lap D read characterLifeModifier[8]=580.0 from
characterLifeModifier,9,Ultimate,2,580.0,False,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterLifeModifier,10,Ultimate,3,580.0,False,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
characterLifeModifier,11,Ultimate,4,580.0,False,False,records/game/balancingadjustment_mp+difficulty_enemies01.dbr,base,MEASURED,
