wave,content_tier,D_offensiveTotalDamageModifier_pct,U_offensiveTotalDamageModifier_pct,sum_total_damage_modifier_pct,D_offensivePhysicalModifier_pct,U_offensivePhysicalModifier_pct,D_offensiveCritDamageModifier_pct,D_offensiveSlowPoisonModifier_pct,D_offensiveSlowBleedingModifier_pct,D_offensiveSlowFireModifier_pct,D_offensiveSlowColdModifier_pct,D_offensiveSlowLightningModifier_pct,D_offensiveSlowLifeModifier_pct,D_offensiveSlowPhysicalModifier_pct,U_offensiveSlowAllTypes_pct,sum_dot_modifier_poison_pct,D_characterOffensiveAbility_pct,D_characterOffensiveAbilityModifier_pct,U_characterOffensiveAbility_pct,U_characterOffensiveAbilityModifier_pct,D_characterAttackSpeedModifier_pct,D_characterSpellCastSpeedModifier_pct,U_characterAttackSpeedModifier_pct,U_characterSpellCastSpeedModifier_pct,D_skillCooldownReduction_pct,D_retaliationTotalDamageModifier_pct,D_characterDefensiveAbility_pct,D_characterDefensiveAbilityModifier_pct,G_characterLifeModifier_pct,U_characterLifeModifier_pct,damage_grade,life_grade,basis
151,16,42.0,40.0,82.0,-18.0,0.0,27.0,-61.0,-61.0,-61.0,-61.0,-61.0,-61.0,-61.0,-28.0,-89.0,48.0,3.5,50.0,-8.0,11.0,11.0,0.0,5.0,0.0,74.0,61.0,5.0,306.0,580.0,MEASURED (components); sum_* = DERIVED-SUM-ADDITIVE-BY-PARALLEL,MEASURED — reproduces pm4d_band_b_wave_life_modifier.csv on 151..170,records/game/balancingadjustment_survivalmode_enemies03.dbr@sm_mod [index wave-1] + records/game/balancingadjustment_mp+difficulty_enemies01.dbr@base [index 8 = Ultimate/1-player]
152,16,42.0,40.0,82.0,-18.0,0.0,27.0,-61.0,-61.0,-61.0,-61.0,-61.0,-61.0,-61.0,-28.0,-89.0,48.0,3.5,50.0,-8.0,11.0,11.0,0.0,5.0,0.0,74.0,61.0,5.0,308.0,580.0,MEASURED (components); sum_* = DERIVED-SUM-ADDITIVE-BY-PARALLEL,MEASURED — reproduces pm4d_band_b_wave_life_modifier.csv on 151..170,records/game/balancingadjustment_survivalmode_enemies03.dbr@sm_mod [index wave-1] + records/game/balancingadjustment_mp+difficulty_enemies01.dbr@base [index 8 = Ultimate/1-player]
153,16,42.0,40.0,82.0,-19.0,0.0,27.0,-61.0,-61.0,-61.0,-61.0,-61.0,-61.0,-61.0,-28.0,-89.0,49.0,3.5,50.0,-8.0,11.0,11.0,0.0,5.0,0.0,74.0,62.0,5.0,310.0,580.0,MEASURED (components); sum_* = DERIVED-SUM-ADDITIVE-BY-PARALLEL,MEASURED — reproduces pm4d_band_b_wave_life_modifier.csv on 151..170,records/game/balancingadjustment_survivalmode_enemies03.dbr@sm_mod [index wave-1] + records/game/balancingadjustment_mp+difficulty_enemies01.dbr@base [index 8 = Ultimate/1-player]
154,16,42.0,40.0,82.0,-19.0,0.0,27.0,-61.0,-61.0,-61.0,-61.0,-61.0,-61.0,-61.0,-28.0,-89.0,49.0,3.5,50.0,-8.0,11.0,11.0,0.0,5.0,0.0,74.0,63.0,5.0,312.0,580.0,MEASURED (components); sum_* = DERIVED-SUM-ADDITIVE-BY-PARALLEL,MEASURED — reproduces pm4d_band_b_wave_life_modifier.csv on 151..170,records/game/balancingadjustment_survivalmode_enemies03.dbr@sm_mod [index wave-1] + records/game/balancingadjustment_mp+difficulty_enemies01.dbr@base [index 8 = Ultimate/1-player]
155,16,42.0,40.0,82.0,-19.0,0.0,27.0,-62.0,-62.0,-62.0,-62.0,-62.0,-62.0,-62.0,-28.0,-90.0,49.0,3.5,50.0,-8.0,11.0,11.0,0.0,5.0,0.0,74.0,63.0,5.0,314.0,580.0,MEASURED (components); sum_* = DERIVED-SUM-ADDITIVE-BY-PARALLEL,MEASURED — reproduces pm4d_band_b_wave_life_modifier.csv on 151..170,records/game/balancingadjustment_survivalmode_enemies03.dbr@sm_mod [index wave-1] + records/game/balancingadjustment_mp+difficulty_enemies01.dbr@base [index 8 = Ultimate/1-player]
156,16,43.0,40.0,83.0,-20.0,0.0,27.0,-62.0,-62.0,-62.0,-62.0,-62.0,-62.0,-62.0,-28.0,-90.0,50.0,3.5,50.0,-8.0,11.0,11.0,0.0,5.0,0.0,74.0,64.0,5.0,316.0,580.0,MEASURED (components); sum_* = DERIVED-SUM-ADDITIVE-BY-PARALLEL,MEASURED — reproduces pm4d_band_b_wave_life_modifier.csv on 151..170,records/game/balancingadjustment_survivalmode_enemies03.dbr@sm_mod [index wave-1] + records/game/balancingadjustment_mp+difficulty_enemies01.dbr@base [index 8 = Ultimate/1-player]
157,16,43.0,40.0,83.0,-20.0,0.0,27.0,-62.0,-62.0,-62.0,-62.0,-62.0,-62.0,-62.0,-28.0,-90.0,50.0,3.5,50.0,-8.0,11.0,11.0,0.0,5.0,0.0,74.0,65.0,5.0,318.0,580.0,MEASURED (components); sum_* = DERIVED-SUM-ADDITIVE-BY-PARALLEL,MEASURED — reproduces pm4d_band_b_wave_life_modifier.csv on 151..170,records/game/balancingadjustment_survivalmode_enemies03.dbr@sm_mod [index wave-1] + records/game/balancingadjustment_mp+difficulty_enemies01.dbr@base [index 8 = Ultimate/1-player]
158,16,43.0,40.0,83.0,-20.0,0.0,27.0,-62.0,-62.0,-62.0,-62.0,-62.0,-62.0,-62.0,-28.0,-90.0,50.0,3.5,50.0,-8.0,11.0,11.0,0.0,5.0,0.0,74.0,65.0,5.0,320.0,580.0,MEASURED (components); sum_* = DERIVED-SUM-ADDITIVE-BY-PARALLEL,MEASURED — reproduces pm4d_band_b_wave_life_modifier.csv on 151..170,records/game/balancingadjustment_survivalmode_enemies03.dbr@sm_mod [index wave-1] + records/game/balancingadjustment_mp+difficulty_enemies01.dbr@base [index 8 = Ultimate/1-player]
159,16,43.0,40.0,83.0,-21.0,0.0,27.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-28.0,-91.0,50.0,3.5,50.0,-8.0,11.0,11.0,0.0,5.0,0.0,74.0,66.0,5.0,322.0,580.0,MEASURED (components); sum_* = DERIVED-SUM-ADDITIVE-BY-PARALLEL,MEASURED — reproduces pm4d_band_b_wave_life_modifier.csv on 151..170,records/game/balancingadjustment_survivalmode_enemies03.dbr@sm_mod [index wave-1] + records/game/balancingadjustment_mp+difficulty_enemies01.dbr@base [index 8 = Ultimate/1-player]
160,16,43.0,40.0,83.0,-21.0,0.0,27.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-28.0,-91.0,50.0,3.5,50.0,-8.0,11.0,11.0,0.0,5.0,0.0,74.0,67.0,5.0,324.0,580.0,MEASURED (components); sum_* = DERIVED-SUM-ADDITIVE-BY-PARALLEL,MEASURED — reproduces pm4d_band_b_wave_life_modifier.csv on 151..170,records/game/balancingadjustment_survivalmode_enemies03.dbr@sm_mod [index wave-1] + records/game/balancingadjustment_mp+difficulty_enemies01.dbr@base [index 8 = Ultimate/1-player]
