record,population,n_actors,path_mass,path_mass_grade,path_mass_effective_locomoting,path_mass_effective_static,avoid_force,pathing_size,actor_radius,physics_mass,physics_friction,physics_restitution,monster_class,template_name,archive,basis
records/creatures/enemies/aetherialbloater_b01.dbr,P-ROLLED-20,2,1.0,MEASURED,1.0,2.0,0.5,Medium,0.75,5.0,10.0,0.0,Champion,database/templates/monster.tpl,sm1,MEASURED:arz-record-field:pathMass|effective=DERIVED:Game.dll!Character::GetPathMass@rva0x59850
records/creatures/enemies/aetherialbloater_c01.dbr,P-ROLLED-20,2,1.0,MEASURED,1.0,2.0,0.5,Medium,0.75,5.0,10.0,0.0,Champion,database/templates/monster.tpl,sm1,MEASURED:arz-record-field:pathMass|effective=DERIVED:Game.dll!Character::GetPathMass@rva0x59850
records/creatures/enemies/aetherialcolossus_a01.dbr,P-ROLLED-20,1,1.0,MEASURED,1.0,2.0,0.5,Medium,0.75,5.0,10.0,0.0,Champion,database/templates/monster.tpl,sm1,MEASURED:arz-record-field:pathMass|effective=DERIVED:Game.dll!Character::GetPathMass@rva0x59850
records/creatures/enemies/aetherialcolossus_c02.dbr,P-ROLLED-20,1,1.0,MEASURED,1.0,2.0,0.5,Medium,0.75,5.0,10.0,0.0,Champion,database/templates/monster.tpl,sm1,MEASURED:arz-record-field:pathMass|effective=DERIVED:Game.dll!Character::GetPathMass@rva0x59850
records/creatures/enemies/aetherialcorruption_a01.dbr,P-ROLLED-20,3,1.0,MEASURED,1.0,2.0,0.5,Small,0.44999998807907104,5.0,10.0,0.0,Common,database/templates/monster.tpl,sm1,MEASURED:arz-record-field:pathMass|effective=DERIVED:Game.dll!Character::GetPathMass@rva0x59850
records/creatures/enemies/aetherialcorruption_b01.dbr,P-ROLLED-20,8,1.0,MEASURED,1.0,2.0,0.5,Small,0.44999998807907104,5.0,10.0,0.0,Champion,database/templates/monster.tpl,sm1,MEASURED:arz-record-field:pathMass|effective=DERIVED:Game.dll!Character::GetPathMass@rva0x59850
records/creatures/enemies/aetherialcorruption_b02.dbr,P-ROLLED-20,2,1.0,MEASURED,1.0,2.0,0.5,Small,0.44999998807907104,5.0,10.0,0.0,Champion,database/templates/monster.tpl,sm1,MEASURED:arz-record-field:pathMass|effective=DERIVED:Game.dll!Character::GetPathMass@rva0x59850
records/creatures/enemies/aetherialcorruption_c01.dbr,P-ROLLED-20,14,1.0,MEASURED,1.0,2.0,0.5,Small,0.44999998807907104,5.0,10.0,0.0,Champion,database/templates/monster.tpl,sm1,MEASURED:arz-record-field:pathMass|effective=DERIVED:Game.dll!Character::GetPathMass@rva0x59850
records/creatures/enemies/avian_a01.dbr,P-ROLLED-20,4,1.0,MEASURED,1.0,2.0,0.5,Medium,0.550000011920929,5.0,10.0,0.0,Champion,database/templates/monster.tpl,sm3,MEASURED:arz-record-field:pathMass|effective=DERIVED:Game.dll!Character::GetPathMass@rva0x59850
records/creatures/enemies/avian_b01.dbr,P-ROLLED-20,2,1.0,MEASURED,1.0,2.0,0.5,Medium,0.550000011920929,5.0,10.0,0.0,Champion,database/templates/monster.tpl,sm3,MEASURED:arz-record-field:pathMass|effective=DERIVED:Game.dll!Character::GetPathMass@rva0x59850
